,JSAT-1:P_TOTAL_SJN,JSAT-2:P_TOTAL_SJN,JSAT-3:P_TOTAL_SJN,JSAT-4:P_TOTAL_SJN,FSAT-1:P_TOTAL_SJN,FSAT-2:P_TOTAL_SJN,FSAT-3:P_TOTAL_SJN
06:00:00,11853.051,11018.438,11460.174,11910.074,10249.45,9837.402,9911.014
06:15:00,11593.001,10778.356,11601.092,11767.985,10084.48,9644.061,9702.042
06:30:00,11499.938,10598.709,11191.646,11635.024,9781.483,9270.47,9301.867
06:45:00,11310.304,10431.66,11462.976,11584.049,9814.072,9343.292,9342.992
07:00:00,11435.837,10715.997,11234.935,9201.562,9821.283,9471.794,9436.549
07:15:00,11595.319,10842.026,11377.33,7943.707,9895.373,9641.781,9730.278
07:30:00,12062.633,11205.581,11637.731,8158.959,10042.996,9797.401,9754.887
07:45:00,12255.797,11555.513,11709.573,8271.084,10246.853,10181.174,10229.039
08:00:00,12362.448,11807.374,11811.541,8616.744,10717.449,10554.916,10481.451
08:15:00,12615.955,12526.373,12427.674,8854.261,10999.397,10923.762,10935.646
08:30:00,12924.039,12773.292,12719.614,10250.84,10948.261,11209.471,11310.443
08:45:00,13254.389,12727.878,12924.243,10449.727,10912.206,11334.216,11445.247
09:00:00,13328.749,13050.854,12972.503,10806.396,11210.7,11538.996,11567.171
09:15:00,13487.191,13350.806,13610.275,10968.297,11345.841,11644.024,11767.95
09:30:00,13562.517,13352.499,13581.378,10877.197,11611.877,11871.886,11917.788
09:45:00,13771.872,13519.646,13733.219,11121.708,11688.703,11944.65,12103.025
10:00:00,14074.901,13677.996,13518.399,11026.44,11955.015,12210.166,12124.661
10:15:00,14157.299,13892.796,13679.158,11153.632,11901.068,12256.539,12471.126
10:30:00,14418.166,14059.211,13827.223,11229.768,12061.91,12379.791,12689.488
10:45:00,14523.848,14223.283,14016.148,11535.04,12171.089,12554.162,12522.705
11:00:00,14557.306,14237.35,13990.214,11272.653,12190.589,12409.051,12974.188
11:15:00,14941.782,14446.972,14102.034,11374.307,12366.487,12523.154,12970.92
11:30:00,14816.854,14558.964,14333.844,11429.169,12410.221,12701.943,13121.247
11:45:00,14834.226,14676.325,13803.042,11453.474,12339.145,12799.543,13074.256
12:00:00,14959.908,14830.768,13595.949,11465.808,12413.002,12736.495,13179.498
12:15:00,14938.565,14955.237,14146.041,11452.228,12431.651,12873.457,13026.568
12:30:00,14906.117,14888.332,13927.185,11500.208,12300.579,12839.27,13206.773
12:45:00,14762.508,14754.339,14007.334,11455.019,12436.532,12762.462,13173.657
13:00:00,15070.219,14724.106,14154.327,11585.031,12553.119,12992.606,13275.756
13:15:00,14948.054,14821.787,14076.277,11506.485,12312.167,12664.621,13281.715
13:30:00,14911.059,14824.896,14135.518,11630.823,12464.473,12755.178,13271.039
13:45:00,15087.19,14895.194,14193.508,11625.543,12338.929,12803.609,13239.453
14:00:00,14805.152,14883.569,14065.053,11678.257,12207.103,12618.031,13260.525
14:15:00,14872.414,14623.669,13909.202,11434.179,12377.192,12607.277,13019.797
14:30:00,14886.413,14719.575,13877.343,11681.633,12294.033,12654.867,13002.609
14:45:00,14807.391,14657.27,13686.285,11539.115,12219.884,12676.058,12980.424
15:00:00,14753.294,14717.951,13798.192,11539.551,12255.696,12606.847,13029.542
15:15:00,14540.242,14637.693,13704.386,11487.781,12128.925,12411.303,13108.609
15:30:00,14580.524,14584.619,13745.627,11476.894,12243.49,12563.501,13001.608
15:45:00,14757.09,14561.162,13714.042,11543.437,12223.954,12451.265,13010.399
16:00:00,14686.494,14408.28,13673.982,11658.617,12372.671,12265.545,12855.772
16:15:00,14698.869,14247.159,13556.803,11562.535,11954.244,12173.561,12728.114
16:30:00,14626.896,14340.377,13506.466,11434.218,11949.741,12297.466,12711.311
16:45:00,14493.992,14121.839,13482.638,11410.564,11950.449,12230.243,12747.787
17:00:00,14451.407,14174.832,13517.192,11396.65,12018.787,11959.611,12749.941
17:15:00,14404.534,14287.985,13557.622,11455.896,12002.82,12037.729,12517.871
17:30:00,14520.372,14207.61,13583.17,11515.035,12159.022,12019.825,12415.268
17:45:00,14717.247,14303.425,13794.702,11461.703,12144.52,12213.737,12401.707
18:00:00,14834.795,14678.755,13993.298,11687.387,12284.166,12277.235,12366.37
18:15:00,15536.508,15220.414,14464.148,12096.845,12670.94,12624.83,12741.751
18:30:00,16324.705,16211.89,15483.685,12655.517,13343.232,13097.052,13500.334
18:45:00,16356.181,16206.473,15640.689,13180.651,13672.379,13714.47,14077.14
19:00:00,16441.77,16260.736,15742.031,12913.443,13694.38,13808.088,14110.566
19:15:00,16622.67,16418.014,15632.7,12950.139,13850.646,13717.644,14038.716
19:30:00,16572.375,16182.44,15829.971,13135.923,14022.159,13949.749,14237.225
19:45:00,16567.951,16299.625,15659.041,12944.687,14054.875,13996.211,14072.718
20:00:00,16303.793,15885.716,15670.434,12960.415,13828.435,13919.938,13970.625
20:15:00,16349.578,15933.298,15368.225,12680.88,13793.091,13686.314,13806.169
20:30:00,16111.938,15976.921,15459.461,12749.5,13701.639,13736.33,13770.209
20:45:00,16353.51,15800.367,15394.557,12669.677,13403.692,13734.625,13965.706
21:00:00,15991.734,15769.734,15384.784,12576.708,13205.963,13361.098,13723.54
21:15:00,15917.355,15549.208,15211.316,12349.279,13177.387,13459.754,13640.066
21:30:00,15814.361,15161.343,14995.424,12390.848,13224.59,13296.772,13524.802
21:45:00,15652.248,14668.831,14542.584,12280.619,13114.836,13214.505,13186.994
22:00:00,15443.448,14708.75,14535.166,11940.187,13000.462,12969.36,13150.902
22:15:00,15076.391,14467.221,14207.786,11904.159,12708.618,12790.838,12906.793
22:30:00,14851.461,14113.488,13935.628,11676.052,12530.207,12538.789,12518.382
22:45:00,14615.882,13960.315,13773.818,11639.894,12401.864,12330.473,12278.583
23:00:00,14299.758,13753.207,13464.441,11255.811,12354.88,12236.686,12278.427
23:15:00,14211.807,13587.685,13353.616,11202.059,11956.427,11996.169,12029.969
23:30:00,14084.133,13208.014,13144.803,10911.399,11914.34,11833.993,11832.486
23:45:00,13812.475,13037.455,13035.701,10774.076,11608.074,11649.768,11631.144
