,JSAT-1:P_TOTAL_SJN,JSAT-2:P_TOTAL_SJN,JSAT-3:P_TOTAL_SJN,JSAT-4:P_TOTAL_SJN
00:00:00,13379.846,12999.328,13099.324,12843.784
00:15:00,13317.077,12786.743,12804.797,12724.683
00:30:00,13120.735,12604.169,12616.431,12547.708
00:45:00,12988.136,12348.617,12471.733,12308.572
01:00:00,12757.538,12254.184,12399.197,11390.617
01:15:00,12647.984,11967.361,12160.241,11230.616
01:30:00,12554.894,11927.236,12028.886,8157.353
01:45:00,12391.451,11751.074,11849.087,7949.737
02:00:00,12203.126,11570.137,11675.447,7995.59
02:15:00,12033.298,11418.243,11550.63,9713.448
02:30:00,12111.394,11329.812,11473.067,11491.515
02:45:00,12037.102,11285.138,11422.514,11343.628
03:00:00,11949.716,11077.172,11248.86,11211.194
03:15:00,11945.32,10954.026,11089.465,11273.766
03:30:00,11743.94,10905.108,11140.177,11148.037
03:45:00,11646.88,10773.435,11106.254,11182.484
04:00:00,11598.117,10853.708,11165.474,11065.498
04:15:00,11771.201,10737.72,11018.518,11109.386
04:30:00,11591.994,10738.205,11114.531,10970.141
04:45:00,11654.28,10828.863,11069.68,11284.919
05:00:00,11655.011,10925.977,11185.629,11303.387
05:15:00,11938.624,10938.282,11312.952,11424.442
05:30:00,11968.041,10953.561,11323.263,11567.349
05:45:00,11864.257,10942.086,11333.615,11728.488
06:00:00,11853.051,11018.438,11460.174,11910.074
06:15:00,11593.001,10778.356,11601.092,11767.985
06:30:00,11499.938,10598.709,11191.646,11635.024
06:45:00,11310.304,10431.66,11462.976,11584.049
07:00:00,11435.837,10715.997,11234.935,9201.562
07:15:00,11595.319,10842.026,11377.33,7943.707
07:30:00,12062.633,11205.581,11637.731,8158.959
07:45:00,12255.797,11555.513,11709.573,8271.084
08:00:00,12362.448,11807.374,11811.541,8616.744
08:15:00,12615.955,12526.373,12427.674,8854.261
08:30:00,12924.039,12773.292,12719.614,10250.84
08:45:00,13254.389,12727.878,12924.243,10449.727
09:00:00,13328.749,13050.854,12972.503,10806.396
09:15:00,13487.191,13350.806,13610.275,10968.297
09:30:00,13562.517,13352.499,13581.378,10877.197
09:45:00,13771.872,13519.646,13733.219,11121.708
10:00:00,14074.901,13677.996,13518.399,11026.44
10:15:00,14157.299,13892.796,13679.158,11153.632
10:30:00,14418.166,14059.211,13827.223,11229.768
10:45:00,14523.848,14223.283,14016.148,11535.04
11:00:00,14557.306,14237.35,13990.214,11272.653
11:15:00,14941.782,14446.972,14102.034,11374.307
11:30:00,14816.854,14558.964,14333.844,11429.169
11:45:00,14834.226,14676.325,13803.042,11453.474
12:00:00,14959.908,14830.768,13595.949,11465.808
12:15:00,14938.565,14955.237,14146.041,11452.228
12:30:00,14906.117,14888.332,13927.185,11500.208
12:45:00,14762.508,14754.339,14007.334,11455.019
13:00:00,15070.219,14724.106,14154.327,11585.031
13:15:00,14948.054,14821.787,14076.277,11506.485
13:30:00,14911.059,14824.896,14135.518,11630.823
13:45:00,15087.19,14895.194,14193.508,11625.543
14:00:00,14805.152,14883.569,14065.053,11678.257
14:15:00,14872.414,14623.669,13909.202,11434.179
14:30:00,14886.413,14719.575,13877.343,11681.633
14:45:00,14807.391,14657.27,13686.285,11539.115
15:00:00,14753.294,14717.951,13798.192,11539.551
15:15:00,14540.242,14637.693,13704.386,11487.781
15:30:00,14580.524,14584.619,13745.627,11476.894
15:45:00,14757.09,14561.162,13714.042,11543.437
16:00:00,14686.494,14408.28,13673.982,11658.617
16:15:00,14698.869,14247.159,13556.803,11562.535
16:30:00,14626.896,14340.377,13506.466,11434.218
16:45:00,14493.992,14121.839,13482.638,11410.564
17:00:00,14451.407,14174.832,13517.192,11396.65
17:15:00,14404.534,14287.985,13557.622,11455.896
17:30:00,14520.372,14207.61,13583.17,11515.035
17:45:00,14717.247,14303.425,13794.702,11461.703
18:00:00,14834.795,14678.755,13993.298,11687.387
18:15:00,15536.508,15220.414,14464.148,12096.845
18:30:00,16324.705,16211.89,15483.685,12655.517
18:45:00,16356.181,16206.473,15640.689,13180.651
19:00:00,16441.77,16260.736,15742.031,12913.443
19:15:00,16622.67,16418.014,15632.7,12950.139
19:30:00,16572.375,16182.44,15829.971,13135.923
19:45:00,16567.951,16299.625,15659.041,12944.687
20:00:00,16303.793,15885.716,15670.434,12960.415
20:15:00,16349.578,15933.298,15368.225,12680.88
20:30:00,16111.938,15976.921,15459.461,12749.5
20:45:00,16353.51,15800.367,15394.557,12669.677
21:00:00,15991.734,15769.734,15384.784,12576.708
21:15:00,15917.355,15549.208,15211.316,12349.279
21:30:00,15814.361,15161.343,14995.424,12390.848
21:45:00,15652.248,14668.831,14542.584,12280.619
22:00:00,15443.448,14708.75,14535.166,11940.187
22:15:00,15076.391,14467.221,14207.786,11904.159
22:30:00,14851.461,14113.488,13935.628,11676.052
22:45:00,14615.882,13960.315,13773.818,11639.894
23:00:00,14299.758,13753.207,13464.441,11255.811
23:15:00,14211.807,13587.685,13353.616,11202.059
23:30:00,14084.133,13208.014,13144.803,10911.399
23:45:00,13812.475,13037.455,13035.701,10774.076
