,WK4-Monday,WK4-Tuesday,WK4-Wednesday,WK4-Thursday,WK4-Friday,WK4-Saturday,WK4-Sunday
00:00:00,13160.015,12707.131,13033.479,12890.003,12809.756,12843.784,10691.086
00:15:00,12933.261,12491.876,12695.124,12572.427,12559.645,12724.683,10454.954
00:30:00,12733.229,12381.685,12490.831,12378.081,12385.375,12547.708,10497.888
00:45:00,12434.646,12158.326,12281.729,12342.307,12213.371,12308.572,10208.295
01:00:00,12285.742,11964.842,12082.677,12079.341,12034.547,11390.617,10101.498
01:15:00,12036.637,11813.974,11875.938,12064.636,12020.454,11230.616,9927.5
01:30:00,11884.633,11629.179,11665.626,11769.519,11783.438,8157.353,9879.262
01:45:00,11708.819,11666.585,11656.003,11779.864,11605.822,7949.737,9729.664
02:00:00,11618.197,11476.432,11486.204,11567.55,11481.953,7995.59,9641.415
02:15:00,11487.956,11459.954,11470.053,11530.051,11372.813,9713.448,9502.959
02:30:00,11308.642,11372.96,11542.327,11318.247,11243.574,11491.515,9528.348
02:45:00,11311.128,11297.219,11475.322,11369.247,11242.225,11343.628,9481.323
03:00:00,11307.872,11249.358,11509.083,11356.399,11128.333,11211.194,9314.656
03:15:00,11164.379,11059.171,11283.33,11363.732,11000.136,11273.766,9287.94
03:30:00,11199.35,11109.431,11332.699,11388.066,10983.787,11148.037,9245.156
03:45:00,11100.07,11023.624,11339.464,11255.576,11058.982,11182.484,9207.655
04:00:00,10999.759,10921.37,11201.267,11205.536,11015.653,11065.498,9156.14
04:15:00,10970.734,11101.803,11280.85,11409.097,11005.494,11109.386,9132.95
04:30:00,11246.597,11279.947,11438.369,11578.271,11174.498,10970.141,9146.837
04:45:00,11423.074,11433.658,11545.325,11673.292,11402.917,11284.919,9136.686
05:00:00,11631.436,11642.644,11732.685,12054.806,11715.982,11303.387,9071.575
05:15:00,11952.618,11919.229,12202.794,12259.268,11877.375,11424.442,8540.056
05:30:00,12206.667,12290.919,12508.326,12583.244,12411.71,11567.349,9050.045
05:45:00,12521.051,12547.213,12871.172,12921.799,12763.139,11728.488,8993.691
06:00:00,12902.679,12653.43,13073.853,13163.892,12956.213,11910.074,8971.284
06:15:00,13192.305,13140.323,12979.128,13443.353,12909.522,11767.985,8874.407
06:30:00,12716.451,13079.481,13161.312,13254.376,12757.751,11635.024,8817.939
06:45:00,12730.227,12755.335,12922.158,13096.333,12740.692,11584.049,8990.05
07:00:00,12602.602,12584.412,12720.039,12952.457,12608.317,9201.562,8846.727
07:15:00,12437.58,12536.113,12615.063,12685.398,12604.1,7943.707,9168.922
07:30:00,12360.169,12563.496,12618.469,12724.947,12575.608,8158.959,9165.462
07:45:00,12358.041,12565.753,12499.835,12752.611,12429.193,8271.084,9343.062
08:00:00,12293.905,12697.483,12733.34,12671.04,12646.699,8616.744,9586.379
08:15:00,12505.164,12762.643,12723.938,12608.265,12887.868,8854.261,9727.517
08:30:00,12932.384,12866.408,12865.51,12956.686,13158.809,10250.84,9927.736
08:45:00,13111.037,13038.031,13060.402,12974.879,13435.02,10449.727,10025.525
