modified_index,Q-JW4-MON,Q-JW4-TUE,Q-JW4-WED,Q-JW4-THU,Q-JW4-FRI,Q-JW4-SAT,Q-JW4-SUN,Euclidean Barycenter
00:00:00,276.263,291.43,274.091,307.063,310.046,287.7,99.186,263.68271428571427
00:15:00,312.537,278.137,281.022,308.046,318.931,298.649,96.046,270.48114285714286
00:30:00,319.809,313.667,269.383,268.849,310.092,307.946,75.468,266.4591428571428
00:45:00,312.991,276.616,291.538,288.056,335.069,333.644,78.414,273.76114285714283
01:00:00,319.946,310.257,257.719,269.592,308.704,75.73,67.282,229.89000000000001
01:15:00,307.224,284.074,288.004,268.696,332.19,49.553,78.347,229.72685714285714
01:30:00,299.717,324.908,252.759,275.641,292.864,59.142,73.837,225.55257142857144
01:45:00,296.766,304.221,242.297,261.774,303.578,66.271,79.864,222.11014285714285
02:00:00,304.621,322.236,252.671,260.123,288.992,54.577,83.269,223.78414285714285
02:15:00,282.559,298.638,256.977,261.771,301.039,28.173,37.791,209.564
02:30:00,283.443,302.487,236.497,236.151,284.693,52.406,55.948,207.37500000000003
02:45:00,280.584,308.011,252.079,223.472,282.693,20.133,77.162,206.30485714285714
03:00:00,271.769,259.14,227.524,239.96,312.698,37.559,59.701,201.19299999999998
03:15:00,284.98,301.212,272.609,252.337,287.416,11.87,58.692,209.87371428571424
03:30:00,259.268,265.813,235.737,248.086,290.51,40.033,43.584,197.5758571428571
03:45:00,274.197,279.216,251.7,261.661,257.042,12.008,61.359,199.59757142857143
04:00:00,266.936,270.188,255.886,223.626,303.489,27.426,32.648,197.1712857142857
04:15:00,242.506,290.897,237.39,268.261,264.471,20.892,52.474,196.6987142857143
04:30:00,276.648,264.532,232.61,232.363,288.058,29.58,61.761,197.93599999999998
04:45:00,256.909,253.374,246.998,253.343,291.886,30.73,42.534,196.53914285714288
05:00:00,242.64,265.387,238.893,222.168,265.508,19.21,42.239,185.14928571428572
05:15:00,228.331,253.562,212.757,250.977,268.948,19.881,8.928,177.62628571428576
05:30:00,259.824,263.168,246.98,217.444,269.5,0.89,87.747,192.22185714285715
05:45:00,234.102,273.433,248.948,261.661,307.598,36.896,4.559,195.31385714285713
