modified_index,P-JW2-MON,P-JW2-TUE,P-JW2-WED,P-JW2-THU,P-JW2-FRI,P-JW2-SAT,P-JW2-SUN,Euclidean Barycenter
00:00:00,2951.033,2840.51,2658.008,2889.853,2722.92,2965.012,2889.863,2845.314142857143
00:15:00,2902.292,2765.533,2634.021,2826.231,2713.214,2972.911,2831.269,2806.495857142857
00:30:00,2857.068,2684.652,2582.411,2819.613,2673.573,2885.05,2741.191,2749.0797142857145
00:45:00,2797.825,2629.461,2531.903,2734.671,2650.744,2818.93,2737.191,2700.1035714285717
01:00:00,2741.989,2614.501,2518.444,2710.816,2587.968,2769.048,2708.741,2664.5009999999997
01:15:00,2715.699,2553.239,2450.556,2645.12,2589.223,2718.885,2715.091,2626.830428571429
01:30:00,2647.099,2531.918,2427.04,2588.152,2569.223,2650.411,2711.502,2589.3349999999996
01:45:00,2655.711,2474.796,2385.948,2583.618,2556.903,2583.229,2625.723,2552.2754285714286
02:00:00,2632.214,2474.558,2359.361,2544.553,2534.152,2619.397,2595.004,2537.0341428571433
02:15:00,2568.089,2467.585,2340.419,2515.422,2533.377,2548.986,2545.858,2502.8194285714285
02:30:00,2518.793,2443.971,2330.343,2490.234,2501.344,2506.425,2505.575,2470.9550000000004
02:45:00,2533.835,2427.589,2327.987,2423.046,2502.429,2517.949,2449.456,2454.6130000000003
03:00:00,2505.921,2427.918,2295.966,2436.194,2452.367,2457.822,2413.246,2427.0620000000004
03:15:00,2456.45,2415.893,2267.97,2419.11,2475.196,2414.431,2419.28,2409.761428571429
03:30:00,2444.538,2373.437,2262.377,2349.739,2419.933,2374.954,2350.605,2367.940428571429
03:45:00,2446.163,2350.885,2236.37,2361.301,2424.478,2381.204,2327.666,2361.1524285714286
04:00:00,2427.06,2368.611,2255.07,2347.502,2365.64,2357.591,2353.587,2353.580142857143
04:15:00,2433.048,2353.921,2209.239,2339.276,2390.704,2356.349,2309.648,2341.740714285714
04:30:00,2425.653,2372.276,2232.757,2368.369,2454.981,2340.39,2306.301,2357.246714285714
04:45:00,2518.661,2375.128,2273.544,2421.858,2463.881,2368.54,2337.286,2394.128285714286
05:00:00,2515.82,2409.744,2281.463,2506.08,2519.276,2413.556,2344.625,2427.2234285714285
05:15:00,2556.37,2462.172,2387.526,2468.395,2531.489,2357.297,2348.77,2444.5741428571428
05:30:00,2602.16,2489.474,2380.391,2545.824,2615.325,2406.516,2352.717,2484.629571428571
05:45:00,2622.197,2562.368,2504.645,2574.489,2604.284,2399.686,2339.692,2515.337285714286
06:00:00,2712.461,2675.503,2583.61,2663.484,2720.673,2439.72,2343.08,2591.218714285714
06:15:00,2760.048,2699.771,2548.601,2668.311,2771.847,2431.53,2369.138,2607.0351428571425
06:30:00,2806.494,2739.865,2610.391,2667.751,2725.684,2293.299,2216.338,2579.9745714285714
06:45:00,2756.585,2717.388,2598.337,2704.657,2842.151,2231.9,2149.843,2571.5515714285716
07:00:00,2756.379,2645.993,2633.849,2666.686,2849.697,2240.017,2134.219,2560.977142857143
