P-FW1-MON,P-FW1-TUE,P-FW1-WED,P-FW1-THU,P-FW1-FRI,P-FW1-SAT,P-FW1-SUN,P-FW2-MON,P-FW2-TUE,P-FW2-WED,P-FW2-THU,P-FW2-FRI,P-FW2-SAT,P-FW2-SUN,P-FW3-MON,P-FW3-TUE,P-FW3-WED,P-FW3-THU,P-FW3-FRI,P-FW3-SAT,P-FW3-SUN,Euclidean Barycenter
10594.921,10417.618,10458.44,10332.52,7895.282,9781.483,9770.78,8961.308,9113.561,10798.622,11355.592,11404.68,9270.47,9221.254,11310.111,11603.067,13470.405,11374.961,11156.495,9301.867,9180.834,10322.584333333336
10430.347,10273.154,10456.016,10281.394,7999.128,9814.072,9709.391,8997.707,9008.472,10807.875,11193.081,11422.689,9343.292,9244.158,11224.289,11640.009,13278.874,11242.623,11064.795,9342.992,9189.264,10283.981999999998
10370.358,10403.326,10322.879,10418.266,7981.236,9821.283,9673.774,8801.862,8990.424,10916.381,11206.541,11286.187,9471.794,9238.711,11257.465,11428.0,13161.447,11175.904,11314.234,9436.549,9367.7,10287.82480952381
10287.968,10111.35,10242.47,10400.686,7901.293,9895.373,9680.748,8906.615,9048.881,10986.401,11194.289,11312.757,9641.781,9257.04,11209.668,11387.628,13322.347,10996.235,11037.415,9730.278,9404.854,10283.622714285715
10153.076,10072.89,10146.883,10282.979,8009.991,10042.996,9637.994,8969.861,9130.626,10978.296,11064.775,11359.507,9797.401,9583.18,11277.864,11422.596,13259.473,11177.654,11041.597,9754.887,9722.639,10327.960238095238
10178.688,10004.828,9949.066,10194.412,11277.132,10246.853,10077.159,9092.299,9259.245,11050.974,11336.182,11275.896,10181.174,9628.507,11387.889,11390.644,13275.967,11070.911,11129.446,10229.039,9824.865,10574.341714285712
10276.098,9909.97,10014.114,10343.784,10898.924,10717.449,10138.397,9233.807,9442.283,11417.956,11586.889,11509.355,10554.916,9847.592,11368.593,11649.786,13394.975,11184.116,11389.186,10481.451,10091.205,10735.754571428572
10416.752,10132.835,10191.279,10474.961,11200.236,10999.397,10597.954,9495.839,9634.202,11719.804,11668.729,11797.033,10923.762,9933.269,11563.356,11757.738,13739.893,11554.459,11632.336,10935.646,10273.31,10982.990000000002
10829.315,10487.236,10377.488,10603.086,11294.32,10948.261,10686.661,9721.574,9989.297,11859.337,12055.745,12169.178,11209.471,10315.73,11890.685,12100.44,14173.684,11824.393,11839.502,11310.443,10599.989,11251.70642857143
10906.558,10695.668,10490.313,10854.922,11324.882,10912.206,10935.262,9841.406,10178.64,12000.217,12117.241,12350.745,11334.216,10516.652,11968.185,12220.812,14290.701,11894.05,11983.682,11445.247,10780.309,11382.948285714287
