modified_index,P-JW1-MON,P-JW1-TUE,P-JW1-WED,P-JW1-THU,P-JW1-FRI,P-JW1-SAT,P-JW1-SUN,P-JW2-MON,P-JW2-TUE,P-JW2-WED,P-JW2-THU,P-JW2-FRI,P-JW2-SAT,P-JW2-SUN,P-JW3-MON,P-JW3-TUE,P-JW3-WED,P-JW3-THU,P-JW3-FRI,P-JW3-SAT,P-JW3-SUN,P-JW4-MON,P-JW4-TUE,P-JW4-WED,P-JW4-THU,P-JW4-FRI,P-JW4-SAT,P-JW4-SUN,P-FW1-MON,P-FW1-TUE,P-FW1-WED,P-FW1-THU,P-FW1-FRI,P-FW1-SAT,P-FW1-SUN,P-FW2-MON,P-FW2-TUE,P-FW2-WED,P-FW2-THU,P-FW2-FRI,P-FW2-SAT,P-FW2-SUN,P-FW3-MON,P-FW3-TUE,P-FW3-WED,P-FW3-THU,P-FW3-FRI,P-FW3-SAT,P-FW3-SUN,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
02:30:00,2679.201,2602.68,2535.219,2541.956,2573.768,2693.99,2649.577,2518.793,2443.971,2330.343,2490.234,2501.344,2506.425,2505.575,2604.875,2417.165,2582.536,2448.551,2556.32,2563.919,2527.432,2540.327,2540.84,2568.196,2519.953,2480.093,1854.922,1852.391,1819.713,1807.649,1814.189,1904.14,1944.132,2465.73,2593.803,2503.849,2573.741,2604.544,2720.12,2617.653,2620.842,2548.428,2573.947,2622.383,2665.534,2560.76,2532.257,2618.119,2592.173,2455.802081632653,2540.84,2679.201,2406.8806424646777,2406.269960727228
02:45:00,2651.943,2565.744,2523.4,2571.585,2544.504,2676.211,2611.792,2533.835,2427.589,2327.987,2423.046,2502.429,2517.949,2449.456,2597.639,2389.768,2546.972,2461.821,2598.707,2499.597,2497.078,2493.222,2553.072,2565.251,2507.546,2464.047,1819.491,1870.782,1816.482,1789.13,1839.709,1850.479,1916.47,2457.432,2583.541,2475.556,2508.198,2555.883,2630.183,2553.381,2572.458,2496.059,2534.665,2538.396,2673.257,2539.883,2549.962,2589.221,2570.062,2433.323877551021,2523.4,2651.943,2406.8806424646777,2405.75033715173
03:00:00,2622.768,2574.071,2501.18,2512.153,2538.038,2643.832,2585.349,2505.921,2427.918,2295.966,2436.194,2452.367,2457.822,2413.246,2547.531,2370.558,2503.418,2390.641,2545.602,2496.903,2437.778,2457.218,2478.925,2538.969,2485.861,2481.809,1803.148,1826.439,1773.891,1771.98,1783.238,1824.328,1950.219,2454.964,2548.324,2442.423,2480.911,2542.446,2634.527,2582.447,2550.73,2460.517,2515.115,2543.38,2631.08,2525.733,2487.381,2566.01,2527.443,2406.708408163265,2487.381,2622.768,2406.8806424646777,2406.3696700537143
03:15:00,2617.561,2531.127,2521.043,2495.734,2533.32,2632.079,2554.952,2456.45,2415.893,2267.97,2419.11,2475.196,2414.431,2419.28,2546.615,2363.537,2511.36,2398.875,2519.373,2470.062,2471.701,2444.599,2495.706,2564.538,2490.615,2449.192,1772.838,1816.752,1799.092,1743.001,1788.417,1844.769,1889.393,2424.264,2592.903,2470.963,2488.546,2524.779,2611.851,2542.077,2529.33,2419.504,2456.448,2561.62,2607.288,2489.792,2495.513,2550.809,2456.063,2395.0271632653057,2475.196,2617.561,2406.3443347723696,2405.1850321038237
03:30:00,2551.007,2539.403,2469.56,2528.129,2485.248,2598.782,2541.342,2444.538,2373.437,2262.377,2349.739,2419.933,2374.954,2350.605,2564.407,2347.642,2448.088,2384.385,2486.824,2474.375,2391.518,2410.989,2434.286,2510.046,2478.478,2423.362,1789.157,1794.969,1754.511,1722.411,1757.776,1804.867,1927.462,2441.094,2530.148,2421.411,2441.406,2524.923,2594.51,2518.14,2532.502,2424.427,2446.971,2560.2,2575.757,2488.881,2484.508,2514.92,2461.256,2370.5236938775506,2446.971,2551.007,2411.372108612937,2412.4492668485514
03:45:00,2530.387,2483.699,2484.679,2455.839,2480.013,2584.013,2540.214,2446.163,2350.885,2236.37,2361.301,2424.478,2381.204,2327.666,2506.512,2333.599,2487.103,2372.563,2453.378,2485.919,2398.625,2409.672,2427.056,2511.375,2492.287,2387.359,1743.885,1826.219,1733.276,1734.148,1780.157,1789.783,1898.722,2417.168,2547.892,2453.423,2431.521,2507.502,2574.529,2513.105,2472.957,2376.115,2423.564,2571.012,2589.024,2496.333,2495.227,2518.888,2416.278,2360.4711632653057,2446.163,2530.387,2398.7883805846673,2406.5153870753984
04:00:00,2551.585,2517.506,2474.463,2458.312,2475.206,2584.575,2479.438,2427.06,2368.611,2255.07,2347.502,2365.64,2357.591,2353.587,2507.301,2352.541,2458.088,2372.196,2450.645,2444.471,2345.597,2409.38,2436.416,2520.647,2446.994,2442.415,1752.943,1799.731,1769.98,1713.389,1718.527,1833.266,1939.802,2423.949,2519.592,2458.531,2417.303,2492.22,2575.217,2498.4,2475.52,2370.941,2440.524,2576.081,2599.355,2460.406,2469.618,2492.752,2418.932,2355.506448979592,2442.415,2551.585,2347.527574552271,2351.855355381231
04:15:00,2522.79,2507.251,2484.997,2461.434,2490.971,2583.239,2497.368,2433.048,2353.921,2209.239,2339.276,2390.704,2356.349,2309.648,2504.819,2325.673,2492.319,2378.918,2458.474,2468.833,2381.905,2365.94,2453.481,2486.021,2502.236,2362.66,1752.968,1814.03,1741.452,1738.908,1729.239,1786.08,1878.918,2408.521,2532.676,2403.778,2398.125,2503.855,2565.993,2530.533,2441.936,2378.578,2445.493,2652.828,2589.401,2441.07,2484.703,2482.769,2406.354,2351.6269795918374,2441.07,2522.79,1997.8455969078536,1993.4293108163408
04:30:00,2554.797,2522.733,2511.901,2497.68,2511.554,2572.277,2459.662,2425.653,2372.276,2232.757,2368.369,2454.981,2340.39,2306.301,2514.648,2338.371,2514.523,2392.223,2496.078,2455.732,2317.51,2427.518,2432.575,2478.355,2479.088,2409.888,1758.502,1832.654,1748.219,1728.491,1759.234,1816.278,1920.4,2374.547,2518.306,2404.083,2407.502,2485.738,2555.241,2499.304,2467.52,2334.579,2484.79,2609.478,2585.922,2453.719,2525.355,2412.135,2378.466,2356.08781632653,2432.575,2554.797,2326.307493636165,2323.9454691567166
04:45:00,2656.572,2597.109,2541.981,2516.718,2527.352,2591.803,2517.442,2518.661,2375.128,2273.544,2421.858,2463.881,2368.54,2337.286,2574.72,2417.2,2539.461,2386.999,2522.316,2482.997,2384.659,2467.677,2469.213,2564.912,2541.201,2479.557,1805.332,1861.247,1812.624,1790.799,1814.013,1862.077,1968.759,2441.234,2565.719,2481.707,2439.641,2565.728,2642.123,2541.761,2484.99,2372.621,2588.516,2677.009,2628.552,2512.019,2536.986,2509.858,2430.712,2405.567632653062,2482.997,2656.572,2466.9707196021263,2431.179837560667
