modified_index,P-FW1-FRI,P-FW2-FRI,P-FW3-FRI,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
00:00:00,2268.783,3000.651,3001.912,2757.115333333333,3000.651,2268.783,2782.258652173913,2782.697767574661
00:15:00,2224.854,2964.41,2927.982,2705.7486666666664,2927.982,2224.854,2569.7873200000004,2569.260007555111
00:30:00,2201.484,2920.852,2889.92,2670.752,2889.92,2201.484,2455.9778571428574,2457.0699552389915
00:45:00,2111.892,2846.574,2780.83,2579.7653333333333,2780.83,2111.892,2398.870111111111,2398.269620811505
01:00:00,2109.108,2785.212,2720.138,2538.1526666666664,2720.138,2109.108,2395.1872777777776,2396.1019028544547
01:15:00,2039.422,2733.211,2693.203,2488.6119999999996,2693.203,2039.422,2395.1872777777776,2397.8327698554185
01:30:00,2063.657,2713.9,2664.684,2480.7470000000003,2664.684,2063.657,2395.1872777777776,2394.929895567299
01:45:00,2011.487,2665.519,2638.2,2438.4019999999996,2638.2,2011.487,2395.1872777777776,2395.26364295811
02:00:00,1992.707,2663.367,2597.982,2418.018666666667,2597.982,1992.707,2395.1872777777776,2395.272072783094
02:15:00,1969.247,2627.343,2591.175,2395.9216666666666,2591.175,1969.247,2395.1872777777776,2395.503731451321
02:30:00,1944.132,2617.653,2532.257,2364.6806666666666,2532.257,1944.132,2395.1872777777776,2395.9510137927655
02:45:00,1916.47,2553.381,2549.962,2339.9376666666667,2549.962,1916.47,2395.1872777777776,2396.18252498658
03:00:00,1950.219,2582.447,2487.381,2340.0156666666667,2487.381,1950.219,2395.1872777777776,2396.086084047315
03:15:00,1889.393,2542.077,2495.513,2308.9943333333335,2495.513,1889.393,2395.1872777777776,2396.515422946624
03:30:00,1927.462,2518.14,2484.508,2310.0366666666664,2484.508,1927.462,2395.1872777777776,2396.5139284044367
03:45:00,1898.722,2513.105,2495.227,2302.3513333333335,2495.227,1898.722,2375.3374444444444,2376.228683676842
04:00:00,1939.802,2498.4,2469.618,2302.6066666666666,2469.618,1939.802,2340.413303030303,2339.7165301889836
04:15:00,1878.918,2530.533,2484.703,2298.0513333333333,2484.703,1878.918,2051.4699809523804,2051.4454085535062
04:30:00,1920.4,2499.304,2525.355,2315.0196666666666,2499.304,1920.4,2395.3103703703705,2393.0706549011816
04:45:00,1968.759,2541.761,2536.986,2349.168666666667,2536.986,1968.759,2432.2605555555556,2433.256317693414
05:00:00,1987.02,2564.157,2568.502,2373.2263333333335,2564.157,1987.02,2432.2605555555556,2433.2528723298215
05:15:00,1955.913,2564.407,2578.276,2366.1986666666667,2564.407,1955.913,2432.2605555555556,2433.7184402668777
05:30:00,2029.407,2643.632,2645.111,2439.383333333333,2643.632,2029.407,2432.2605555555556,2432.2078281553886
05:45:00,2041.809,2698.697,2699.176,2479.8940000000002,2698.697,2041.809,2432.2605555555556,2432.4919838317187
06:00:00,2141.003,2759.879,2755.737,2552.206333333333,2755.737,2141.003,2432.2605555555556,2431.6385408327983
06:15:00,2137.598,2757.302,2784.643,2559.8476666666666,2757.302,2137.598,2432.2605555555556,2430.998102370857
06:30:00,2046.844,2832.409,2749.157,2542.8033333333337,2749.157,2046.844,2432.2605555555556,2438.725099001516
06:45:00,2111.423,2782.002,2768.9,2554.108333333333,2768.9,2111.423,2461.873125,2448.506964992706
07:00:00,2203.147,2802.24,2760.799,2588.7286666666664,2760.799,2203.147,2582.8351904761903,2582.9556206726033
07:15:00,2150.603,2864.378,2860.321,2625.1006666666667,2860.321,2150.603,2676.9444444444443,2680.1503272334653
07:30:00,2215.882,2857.44,2825.959,2633.0936666666666,2825.959,2215.882,2704.3102777777776,2699.316837006448
07:45:00,2207.746,2842.967,2830.481,2627.0646666666667,2830.481,2207.746,2704.3102777777776,2699.449462412855
08:00:00,2088.816,2829.259,2797.756,2571.9436666666666,2797.756,2088.816,2704.3102777777776,2700.3422154845725
08:15:00,2163.353,2942.766,2962.812,2689.643666666667,2942.766,2163.353,2704.3102777777776,2706.8529741159396
08:30:00,2181.172,3105.822,3056.855,2781.283,3056.855,2181.172,2704.3102777777776,2705.0802743158674
08:45:00,2193.79,3179.527,3126.693,2833.3366666666666,3126.693,2193.79,2764.4552666666664,2764.3651344537325
09:00:00,2219.419,3208.452,3162.351,2863.407333333333,3162.351,2219.419,2815.982958333333,2815.5066058031925
09:15:00,2225.786,3272.944,3275.638,2924.7893333333327,3272.944,2225.786,2890.855555555555,2891.628797842588
09:30:00,2246.754,3255.268,3320.473,2940.8316666666665,3255.268,2246.754,2849.847611111111,2849.4838021126093
09:45:00,2279.998,3371.761,3336.651,2996.1366666666668,3336.651,2279.998,2944.973222222222,2944.66238482063
10:00:00,2328.288,3428.688,3354.36,3037.1120000000005,3354.36,2328.288,2947.6469444444447,2947.5058539707006
10:15:00,2302.155,3452.96,3394.176,3049.7636666666663,3394.176,2302.155,2947.6469444444447,2947.4494618569165
10:30:00,2331.793,3499.791,3401.204,3077.596,3401.204,2331.793,2947.6469444444447,2946.986790472464
10:45:00,2358.96,3518.526,3419.898,3099.128,3419.898,2358.96,2947.6469444444447,2946.611309138381
11:00:00,2361.375,3636.287,3483.292,3160.3179999999998,3483.292,2361.375,2956.8644444444444,2956.422509000897
