Q-JW1-MON,Q-JW2-MON,Q-JW3-MON,Q-JW4-MON,F-JW1-MON,F-JW2-MON,F-JW3-MON,F-JW4-MON,Euclidean Barycenter
4115.283,3825.243,4023.934,4044.874,2973.643,2549.732,3343.163,3547.115,3552.873375
3764.362,3885.705,3928.473,3958.999,2895.823,2558.565,3284.47,3467.374,3467.971375
3721.191,3643.593,3791.281,3912.535,2934.132,2569.155,3254.716,3158.966,3373.196125
3637.158,3685.43,3619.595,3922.272,2983.726,2572.238,3270.847,3202.747,3361.751625
3664.665,3603.743,3582.963,3768.092,2948.505,2557.691,3011.489,3210.09,3293.40475
3613.843,3597.085,3544.61,3751.106,2806.087,2544.0,2938.617,3128.323,3240.458875
3746.187,3711.458,3555.735,3890.977,2885.632,2543.123,2918.107,3114.511,3295.71625
4054.575,4052.112,3801.65,3957.913,2812.507,2619.715,2968.725,3204.944,3434.017625
4118.344,4056.558,4069.959,4261.187,3034.64,2890.936,3343.439,3538.823,3664.2357500000003
4055.543,4079.621,4254.474,4140.986,3054.767,2954.099,3363.016,3588.0,3686.3132499999997
4088.521,3991.075,4105.634,4170.462,2990.514,2923.698,3319.12,3552.627,3642.7063749999998
4036.017,4052.038,4132.475,4161.915,3038.938,2888.071,3380.048,3501.497,3648.874875
4100.256,4048.964,4074.099,4095.744,2959.33,2849.706,3335.997,3489.234,3619.16625
4102.592,4008.865,4064.665,4076.158,2913.708,2811.639,3346.791,3497.888,3602.7882499999996
3955.51,4026.963,4036.969,4041.114,2927.077,2897.343,3323.836,3581.298,3598.7637499999996
3994.761,3993.178,4028.354,4095.322,2896.828,2883.574,3319.714,3510.2,3590.241375
3991.512,4122.35,4044.62,4008.179,2929.584,2854.384,3269.67,3496.395,3589.58675
3943.083,4079.43,3970.255,4046.773,2902.949,2915.379,3272.235,3359.08,3561.148
3872.156,4033.384,3916.319,3909.8,2879.488,2843.156,3161.784,3271.61,3485.962125
3902.048,3848.851,3451.111,3905.37,2903.467,2912.715,3103.431,3191.259,3402.2815
3860.151,3838.112,3491.909,3412.554,2791.567,2852.13,3089.312,3188.358,3315.511625
3830.421,3785.312,3485.833,3433.789,2747.835,2837.781,3028.85,3114.029,3282.98125
3783.627,3792.649,3446.734,3489.32,2701.572,2838.16,3030.487,2990.198,3259.0933750000004
3558.926,3812.758,3388.092,3425.849,2606.867,2814.609,3028.326,3016.679,3206.51325
3517.513,3719.29,3350.271,3421.403,2601.235,2817.761,3029.067,2910.071,3170.8263749999996
3489.344,3809.111,3249.444,3256.808,2656.452,2773.232,2891.462,2982.012,3138.4831249999997
3499.668,3327.236,3238.247,3336.171,2648.232,2866.643,2914.327,3024.36,3106.8605000000002
3442.483,3393.022,3269.766,3300.104,2643.717,2837.796,2881.347,2980.329,3093.5705000000003
3461.897,3370.978,3204.774,3215.467,2622.045,2812.374,2903.83,2994.951,3073.2895
3426.988,3344.548,3203.155,3177.384,2520.23,2812.002,2872.658,2929.666,3035.828875
