modified_index,P-JW1-MON,P-JW1-TUE,P-JW1-WED,P-JW1-THU,P-JW1-FRI,P-JW1-SAT,P-JW1-SUN,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
00:00:00,3071.832,2877.704,3014.638,2947.298,2973.446,3029.978,3082.161,2999.579571428571,3014.638,3071.832,3001.585771428571,3001.5578897093064
00:15:00,2978.16,2837.915,2927.678,2902.763,2887.63,3002.107,3002.023,2934.0394285714287,2927.678,2978.16,2933.709642857143,2933.721469647437
00:30:00,2933.031,2818.541,2821.222,2784.637,2817.67,2967.794,2980.23,2874.7321428571427,2821.222,2933.031,2891.6501785714286,2891.717297085832
00:45:00,2878.928,2734.48,2781.378,2808.9,2796.38,2906.573,2915.397,2831.7194285714286,2808.9,2878.928,2823.8790428571433,2823.908653560819
01:00:00,2881.163,2739.832,2710.183,2751.774,2775.842,2857.319,2874.862,2798.7107142857144,2775.842,2881.163,2810.673883116883,2810.6643599761665
01:15:00,2822.474,2697.18,2702.99,2720.948,2715.308,2803.667,2822.138,2754.9578571428574,2720.948,2822.474,2760.596623376624,2760.5815276569515
01:30:00,2808.764,2708.332,2632.858,2687.773,2692.112,2830.133,2813.431,2739.057571428571,2708.332,2808.764,2728.4654571428573,2728.506826177904
01:45:00,2750.186,2651.206,2606.823,2631.081,2596.159,2782.094,2741.184,2679.819,2651.206,2750.186,2695.1841818181815,2695.191022968771
02:00:00,2722.716,2640.961,2600.246,2596.491,2644.549,2768.639,2690.642,2666.3205714285714,2644.549,2722.716,2677.6862571428574,2677.5413237542325
02:15:00,2692.928,2599.661,2539.589,2563.827,2591.932,2751.762,2639.251,2625.564285714286,2599.661,2692.928,2637.257406593407,2635.116028830929
02:30:00,2679.201,2602.68,2535.219,2541.956,2573.768,2693.99,2649.577,2610.913,2602.68,2679.201,2607.5595000000003,2597.2356471593125
02:45:00,2651.943,2565.744,2523.4,2571.585,2544.504,2676.211,2611.792,2592.1684285714286,2571.585,2651.943,2601.4432428571436,2617.6683759221723
03:00:00,2622.768,2574.071,2501.18,2512.153,2538.038,2643.832,2585.349,2568.1987142857147,2574.071,2622.768,2571.205271428572,2572.82799428516
03:15:00,2617.561,2531.127,2521.043,2495.734,2533.32,2632.079,2554.952,2555.116571428571,2533.32,2617.561,2554.3977792207793,2547.3865620023403
03:30:00,2551.007,2539.403,2469.56,2528.129,2485.248,2598.782,2541.342,2530.495857142857,2539.403,2551.007,2535.405638655462,2535.8704288804443
03:45:00,2530.387,2483.699,2484.679,2455.839,2480.013,2584.013,2540.214,2508.4062857142853,2484.679,2530.387,2498.4592738095234,2498.3553490437225
04:00:00,2551.585,2517.506,2474.463,2458.312,2475.206,2584.575,2479.438,2505.8692857142855,2479.438,2551.585,2514.506819047619,2514.5247138406667
04:15:00,2522.79,2507.251,2484.997,2461.434,2490.971,2583.239,2497.368,2506.8642857142854,2497.368,2522.79,2430.369904761905,2430.263901751758
04:30:00,2554.797,2522.733,2511.901,2497.68,2511.554,2572.277,2459.662,2518.657714285714,2511.901,2554.797,2503.606869565217,2502.488783332045
04:45:00,2656.572,2597.109,2541.981,2516.718,2527.352,2591.803,2517.442,2564.1395714285713,2541.981,2656.572,2566.5037571428575,2558.627052559773
