modified_index,P-FW1-MON,P-FW2-MON,P-FW3-MON,P-FW4-MON,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
11:00:00,2346.897,2778.889,3540.539,3609.718,3069.0107500000004,3159.714,2346.897,2815.547928571428,2810.854275156973
11:15:00,2320.982,2827.818,3570.912,3663.756,3095.8669999999997,3199.365,2320.982,2815.547928571428,2809.787760229302
11:30:00,2376.578,2822.544,3541.575,3675.378,3104.01875,3182.0595,2376.578,2815.547928571428,2811.3139305363607
11:45:00,2447.962,2848.058,3548.048,3673.23,3129.3244999999997,3198.053,2447.962,2815.547928571428,2810.3874539022213
12:00:00,2472.297,2848.581,3629.931,3665.487,3154.0740000000005,3239.2560000000003,2472.297,2815.547928571428,2805.806275566491
12:15:00,2458.847,2902.8,3644.308,3672.825,3169.6950000000006,3273.554,2458.847,2813.8012142857137,2804.8398713969664
12:30:00,2461.159,2923.341,3627.289,3726.152,3184.48525,3275.315,2461.159,2831.78584375,2823.082104565971
12:45:00,2474.788,2911.092,3645.011,3724.348,3188.80975,3278.0515,2474.788,2895.494057692308,2889.6571820943436
13:00:00,2462.088,2917.73,3673.441,3742.304,3198.89075,3295.5855,2462.088,3152.125586363636,3153.3652897153056
13:15:00,2420.246,2893.361,3676.615,3687.258,3169.37,3284.988,2420.246,2886.9884318181817,2890.483583807696
13:30:00,2408.125,2851.22,3634.476,3754.611,3162.108,3242.848,2408.125,2836.2493409090907,2836.081949343787
13:45:00,2433.274,2829.454,3683.816,3761.956,3177.125,3256.635,2433.274,2819.2776785714277,2830.199877570963
14:00:00,2430.217,2823.587,3685.032,3752.813,3172.91225,3254.3095000000003,2430.217,2819.2776785714277,2829.5404143603414
14:15:00,2466.125,2831.832,3659.791,3776.175,3183.4807499999997,3245.8115,2466.125,2819.2776785714277,2830.8779804411565
14:30:00,2455.521,2866.406,3617.803,3814.756,3188.6214999999997,3242.1045,2455.521,2819.2776785714277,2830.9907164922174
14:45:00,2485.125,2828.272,3635.312,3842.655,3197.841,3231.792,2485.125,2819.2776785714277,2831.6655381476994
15:00:00,2500.638,2832.813,3628.888,3843.65,3201.49725,3230.8505,2500.638,2819.2776785714277,2832.0046168522026
15:15:00,2476.478,2802.252,3686.034,3802.413,3191.79425,3244.143,2476.478,2819.2776785714277,2831.391720168378
15:30:00,2487.442,2750.444,3672.585,3756.762,3166.8082500000005,3211.5145,2487.442,2819.2776785714277,2828.949458648913
15:45:00,2494.194,2741.183,3733.013,3796.206,3191.149,3237.098,2494.194,2819.2776785714277,2829.116537348827
16:00:00,2504.941,2711.54,3641.428,3774.274,3158.0457499999998,3176.484,2504.941,2819.2776785714277,2830.9572435836153
16:15:00,2440.684,2762.508,3556.279,3690.756,3112.5567499999997,3159.3935,2440.684,2819.2776785714277,2836.4897049732563
16:30:00,2404.662,2747.534,3448.87,3593.764,3048.7074999999995,3098.202,2404.662,2819.2776785714277,2832.7456896324456
16:45:00,2288.484,2681.239,3305.142,3428.29,2925.7887499999997,2993.1904999999997,2288.484,2819.2776785714277,2831.5661049521336
17:00:00,2267.56,2722.679,3175.409,3263.319,2857.2417499999997,2949.044,2267.56,2819.2776785714277,2816.2683259878945
17:15:00,2292.516,2677.621,3093.46,3153.202,2804.19975,2885.5405,2292.516,2819.926392857142,2822.211610545722
17:30:00,2335.531,2667.67,3048.082,3149.791,2800.2685,2857.876,2335.531,2815.4781071428565,2821.8394457362106
17:45:00,2292.771,2653.316,3013.598,3149.951,2777.4089999999997,2833.457,2292.771,2743.739583333333,2744.4072817258807
18:00:00,2388.229,2711.903,3098.432,3253.764,2863.0819999999994,2905.1674999999996,2388.229,2812.7403571428567,2815.004214365123
18:15:00,2454.484,2798.026,3234.11,3309.4,2949.005,3016.068,2454.484,2812.7403571428567,2816.8195359797687
18:30:00,2601.865,2981.559,3383.348,3468.862,3108.9085000000005,3182.4535,2601.865,2812.7403571428567,2809.9424147959085
18:45:00,2663.207,3132.362,3613.181,3708.964,3279.4285,3372.7715,2663.207,2812.7403571428567,2809.1085940338644
19:00:00,2693.625,3170.528,3723.319,3784.266,3342.9345,3446.9235,2693.625,2812.7403571428567,2808.0616940226764
19:15:00,2711.53,3186.44,3761.633,3849.774,3377.3442499999996,3474.0365,2711.53,2812.7403571428567,2803.4437853875065
19:30:00,2744.268,3212.269,3791.822,3886.461,3408.705,3502.0455,2744.268,2809.4747142857136,2803.066749430218
19:45:00,2757.867,3208.392,3864.286,3996.33,3456.71875,3536.339,2757.867,2827.3302857142853,2823.0927217576173
20:00:00,2814.673,3246.895,3844.601,3921.194,3456.84075,3545.748,2814.673,2927.4686818181817,2916.363983805477
20:15:00,2786.532,3252.3,3873.062,3923.113,3458.75175,3562.681,2786.532,3215.833669642857,3214.891713310063
20:30:00,2793.06,3312.997,3807.379,3938.482,3462.9795,3560.188,2793.06,3581.0844654471557,3582.6058923469996
20:45:00,2774.457,3262.363,3828.34,3889.254,3438.6035,3545.3514999999998,2774.457,3235.8016296296296,3231.806073536047
21:00:00,2773.42,3292.502,3817.659,3886.483,3442.516,3555.0805,2773.42,3037.14865,3013.397447789747
21:15:00,2714.451,3303.194,3712.479,3835.244,3391.342,3507.8365,2714.451,2970.6572499999993,2957.816081531934
21:30:00,2710.806,3241.686,3691.197,3749.108,3348.19925,3466.4415,2710.806,2963.741892857143,2957.498468006866
21:45:00,2620.721,3273.022,3622.023,3667.547,3295.82825,3447.5225,2620.721,2963.741892857143,2959.4491850617405
22:00:00,2602.811,3261.26,3565.26,3639.97,3267.32525,3413.26,2602.811,2963.741892857143,2963.03673833506
22:15:00,2538.631,3223.885,3470.421,3526.927,3189.966,3347.1530000000002,2538.631,2963.741892857143,2964.8076932042727
22:30:00,2479.627,3204.431,3460.719,3475.506,3155.07075,3332.575,2479.627,2963.741892857143,2964.734562038024
22:45:00,2407.317,3133.792,3352.266,3341.167,3058.6355,3237.4795,2407.317,2955.701607142857,2966.2535275561563
23:00:00,2331.64,3075.46,3272.706,3323.701,3000.8767500000004,3174.083,2331.64,2957.56675,2960.1554514708478
23:15:00,2260.954,3063.878,3200.37,3284.675,2952.46925,3132.124,2260.954,2952.2516071428568,2958.7641999246334
23:30:00,2216.069,2955.657,3121.777,3161.048,2863.63775,3038.717,2216.069,2934.960821428571,2834.1196194836084
23:45:00,2161.383,2925.527,3085.467,3117.757,2822.5335,3005.4970000000003,2161.383,2557.2444999999993,2536.045171999542
