Q-FW1-MON,Q-FW1-TUE,Q-FW1-WED,Q-FW1-THU,Q-FW1-FRI,Q-FW1-SAT,Q-FW1-SUN,Euclidean Barycenter
55.522,62.713,101.63,124.527,161.916,215.466,290.539,144.61614285714285
61.202,83.801,71.474,100.392,154.144,219.924,277.741,138.38257142857142
87.114,57.18,76.4,114.68,159.482,219.379,287.837,143.15314285714285
49.554,57.759,74.531,114.067,113.132,216.358,273.367,128.39542857142857
62.812,90.412,65.778,116.316,150.919,209.969,285.334,140.22
62.334,55.994,49.981,91.824,112.436,203.234,258.52,119.189
43.099,61.92,46.291,99.951,140.396,208.82,287.932,126.91557142857143
68.153,55.971,68.552,103.358,117.304,207.852,298.258,131.34971428571427
39.647,64.696,46.322,100.71,124.968,202.528,294.179,124.72142857142856
41.431,30.388,28.826,75.137,108.956,193.886,271.728,107.19314285714287
31.421,46.432,27.739,100.496,105.276,193.839,271.802,111.0007142857143
42.726,34.212,62.308,68.513,88.131,185.369,286.502,109.68014285714285
20.984,34.431,27.366,66.023,117.393,195.358,272.819,104.91057142857143
51.056,6.862,45.498,91.198,72.452,183.359,310.083,108.644
19.249,-3.587,21.616,50.071,104.128,191.251,270.148,93.268
12.142,18.323,53.654,60.612,83.303,184.467,281.418,99.13128571428571
31.416,-1.161,5.988,77.126,125.048,195.043,273.809,101.03842857142857
23.176,25.24,17.504,55.592,89.273,194.186,293.744,99.81642857142857
18.891,10.456,25.36,69.616,118.136,181.131,289.784,101.91057142857143
24.066,25.068,19.113,65.319,83.656,184.662,298.751,100.09071428571428
48.524,4.087,53.233,84.937,109.677,191.099,283.68,110.74814285714287
9.946,-4.718,-4.4,25.317,45.006,191.851,294.097,79.58557142857141
8.642,-21.457,-7.11,37.927,74.671,185.777,293.202,81.66457142857143
-20.97,1.077,-14.952,57.328,53.0,200.667,301.389,82.50557142857143
35.036,-0.032,0.819,39.929,98.133,200.758,291.702,95.19214285714285
30.867,6.957,-40.998,31.459,75.617,188.563,271.494,80.56557142857143
10.703,-23.231,-33.31,24.358,68.75,166.883,260.357,67.78714285714287
-15.367,-53.793,-7.202,39.336,56.198,153.831,243.174,59.453857142857146
-25.234,-64.744,-21.532,-14.121,99.341,156.332,242.492,53.219142857142856
-6.006,-13.826,-12.114,21.622,67.378,132.827,222.301,58.88314285714286
-6.532,-19.517,1.382,12.744,106.438,140.922,223.486,65.56042857142857
6.571,-17.866,-9.709,51.354,103.807,166.253,197.754,71.1662857142857
