Q-JW1-MON,Q-JW1-TUE,Q-JW1-WED,Q-JW1-THU,Q-JW1-FRI,Q-JW1-SAT,Q-JW1-SUN,Q-JW2-MON,Q-JW2-TUE,Q-JW2-WED,Q-JW2-THU,Q-JW2-FRI,Q-JW2-SAT,Q-JW2-SUN,Q-JW3-MON,Q-JW3-TUE,Q-JW3-WED,Q-JW3-THU,Q-JW3-FRI,Q-JW3-SAT,Q-JW3-SUN,Q-JW4-MON,Q-JW4-TUE,Q-JW4-WED,Q-JW4-THU,Q-JW4-FRI,Q-JW4-SAT,Q-JW4-SUN,Euclidean Barycenter
306.117,320.132,308.454,311.021,251.963,274.283,319.142,289.501,232.792,164.989,216.952,240.114,285.704,214.628,230.588,249.388,281.292,254.146,268.144,312.478,234.626,279.449,250.84,253.789,253.481,247.022,37.228,34.998,247.2593214285714
331.968,366.796,306.557,301.122,295.419,258.401,265.368,287.14,241.021,159.92,220.343,240.93,292.751,235.973,234.462,245.082,248.168,275.723,265.522,311.793,239.588,262.21,264.17,242.906,221.872,266.587,52.031,-17.389,247.01549999999997
299.681,285.032,290.43,258.803,229.744,255.88,235.716,288.957,218.649,131.798,186.472,200.913,200.827,142.947,175.202,199.937,242.89,232.902,196.23,278.432,193.353,260.703,201.727,178.957,207.416,214.432,-2.347,-27.917,206.3487857142857
303.05,315.396,282.641,245.286,254.426,227.446,241.904,251.083,204.972,137.826,187.591,224.533,162.984,97.522,152.268,202.162,214.883,211.527,185.412,280.352,178.432,208.46,193.769,174.308,186.779,201.326,-7.072,-36.194,195.82399999999993
309.897,337.679,329.146,250.452,229.941,229.263,235.649,294.418,166.419,144.084,164.696,225.336,154.513,83.864,167.859,183.744,205.012,209.063,198.184,255.11,163.866,183.317,178.398,152.431,209.97,213.257,-20.138,-19.792,194.12992857142854
281.852,332.437,360.828,296.976,245.592,237.464,250.146,269.25,198.938,168.127,236.206,241.333,178.262,126.111,226.728,199.267,250.612,231.614,265.887,308.195,175.25,220.611,198.581,208.918,215.832,261.957,-8.781,-36.646,219.34096428571428
303.602,368.68,359.097,301.719,369.764,233.61,251.914,308.719,229.756,225.001,247.591,307.943,217.466,117.023,233.568,242.531,267.079,236.404,274.436,245.108,189.522,261.163,234.186,207.714,304.39,289.311,4.272,-19.714,243.2805357142857
320.193,417.171,416.937,344.517,445.58,275.288,285.233,351.263,272.194,210.008,284.197,323.316,221.201,136.17,334.773,263.487,317.242,294.236,323.33,283.678,195.926,289.842,310.548,247.296,341.824,277.652,23.951,-19.498,278.1269642857143
403.274,458.94,477.144,390.203,495.314,308.656,282.66,439.211,347.872,290.557,423.16,341.56,287.576,147.298,415.162,343.186,353.466,342.466,390.786,300.33,201.592,334.231,381.318,318.13,373.212,408.654,23.751,-0.588,331.3971785714286
438.114,499.872,499.551,408.823,580.063,359.102,309.208,474.219,471.208,296.103,438.2,380.001,294.094,154.176,415.94,468.783,429.011,430.012,471.427,369.663,255.312,382.023,396.927,427.88,391.514,523.278,50.203,26.468,380.0419642857142
476.1,520.594,558.346,487.919,606.121,372.446,343.13,498.17,561.197,421.299,479.998,367.114,392.22,190.291,462.624,487.97,478.138,431.744,504.182,374.619,313.266,416.334,425.023,468.386,502.288,540.804,42.314,42.719,420.1912857142857
483.32,527.938,592.782,494.284,594.996,478.389,351.489,539.417,444.976,511.862,512.593,380.294,392.528,220.11,448.753,481.042,571.847,453.319,532.061,416.279,302.369,433.092,472.704,502.832,566.82,546.053,36.731,51.868,440.74100000000004
490.143,579.31,608.882,511.421,634.836,484.91,348.944,568.527,472.313,568.828,553.689,452.067,387.379,218.777,478.647,518.922,578.878,494.666,538.067,412.603,310.741,442.082,572.296,474.987,569.613,569.961,106.31,47.984,464.135107142857
554.449,567.476,603.626,516.632,652.961,526.943,327.1,588.676,498.743,552.066,608.962,515.94,413.293,226.092,464.481,616.113,610.483,519.644,533.98,426.679,291.659,526.656,609.531,496.57,607.369,565.018,108.211,69.501,485.67335714285707
639.092,588.868,631.23,507.226,686.837,528.256,334.384,591.486,541.952,609.461,575.078,513.1,447.138,240.557,507.558,648.377,627.403,514.497,574.704,525.663,323.746,586.529,609.599,524.694,598.257,576.494,123.234,62.099,508.4828214285714
643.768,575.628,615.637,498.252,687.274,548.88,333.038,630.263,560.948,598.549,588.601,536.087,446.533,267.392,584.52,611.508,626.73,478.636,598.363,535.769,314.111,592.946,593.243,623.559,565.521,551.207,123.64,77.904,514.5895357142857
643.237,630.332,619.606,543.744,668.847,526.452,365.694,610.709,582.881,579.089,606.999,542.854,500.908,274.192,595.117,626.931,630.022,513.831,597.979,547.711,307.179,570.854,559.63,605.06,550.614,558.616,143.979,86.56,521.058107142857
633.692,619.248,592.972,530.882,682.704,547.047,440.963,642.386,562.927,575.302,583.164,533.138,488.268,313.224,605.682,611.519,629.454,527.73,608.634,516.293,349.879,574.871,575.058,606.926,550.519,544.066,143.347,92.529,524.3722857142858
651.34,626.857,604.129,557.771,701.777,562.246,424.456,662.771,592.494,589.904,613.917,548.151,522.243,310.473,626.713,589.706,638.616,538.833,604.106,523.622,358.271,577.849,592.496,618.968,603.514,597.474,139.392,97.48,538.4131785714286
664.809,633.626,595.044,559.503,710.23,637.036,426.118,682.072,582.517,580.729,586.233,526.472,555.846,294.198,638.353,607.321,633.058,494.922,563.558,533.431,365.919,582.426,584.117,615.836,631.011,585.644,132.483,129.699,540.4361071428572
736.483,640.121,664.754,563.376,731.019,639.911,421.589,660.991,611.769,611.722,572.146,540.586,578.43,279.144,640.054,646.947,625.758,496.73,584.256,548.852,338.382,582.36,589.397,623.51,646.243,609.252,161.167,63.051,550.2857142857143
708.731,645.106,636.398,534.972,732.444,645.157,434.824,651.668,570.579,602.244,611.332,546.713,591.321,316.958,634.121,663.183,609.396,511.003,584.634,547.751,385.016,607.291,565.774,627.19,635.419,620.296,154.234,140.032,554.0638214285715
710.053,633.234,634.333,553.352,742.487,645.586,471.308,652.542,600.573,661.362,604.113,545.742,592.624,312.816,624.293,689.36,616.74,548.689,623.797,568.811,365.031,658.11,581.537,616.184,625.147,617.034,150.797,205.507,566.1129285714287
698.101,647.806,605.109,558.734,747.55,653.252,456.674,693.072,588.353,667.483,600.528,539.87,592.094,362.657,637.934,684.064,611.738,557.52,652.202,561.97,358.759,642.566,560.938,614.97,656.667,596.961,153.983,210.349,568.2822857142856
696.504,663.578,598.187,559.108,715.969,644.828,465.338,694.407,596.693,662.766,603.59,550.512,600.701,354.281,612.966,702.27,590.429,544.011,644.366,536.93,352.327,653.408,568.011,608.757,645.968,577.847,157.701,180.428,563.6386071428572
677.651,660.108,599.153,569.681,738.833,636.271,461.91,659.378,587.279,665.841,600.999,547.434,582.189,344.332,601.292,671.718,601.504,545.98,609.361,525.977,353.42,619.204,577.912,639.196,645.289,589.976,162.459,185.523,559.2810714285715
729.433,671.999,618.732,563.806,739.4,637.808,459.807,608.561,582.409,663.143,582.11,551.074,595.03,345.276,618.096,679.304,602.411,568.743,586.117,529.874,368.799,612.14,589.908,657.85,626.063,587.339,152.77,199.774,561.7062857142857
692.341,657.794,600.122,563.103,706.558,647.813,468.972,658.407,600.619,667.13,590.361,549.97,589.679,350.243,633.791,709.598,626.063,534.761,563.184,539.967,395.71,594.641,594.812,661.418,611.174,598.648,165.043,193.833,563.0626785714286
715.04,668.694,628.614,563.881,721.234,634.519,478.273,665.332,608.704,648.791,577.761,550.08,611.893,351.768,686.869,717.643,646.44,551.981,599.066,548.344,395.177,619.339,591.779,681.189,609.264,567.098,160.201,170.831,570.3501785714286
709.891,633.702,601.93,563.509,732.383,630.024,470.996,669.971,590.404,659.229,564.05,565.858,594.099,375.0,690.368,733.76,645.172,565.752,601.134,571.95,383.549,606.411,607.144,681.021,622.507,566.074,160.884,168.752,570.1972857142858
722.383,691.071,604.4,561.75,743.244,642.624,475.304,689.006,615.242,655.767,557.812,549.536,584.647,349.692,714.921,728.59,620.287,568.431,614.764,536.629,362.244,602.271,610.373,677.764,634.936,570.576,169.081,193.702,573.1088214285716
737.947,705.61,619.136,545.53,751.634,652.153,499.781,697.733,618.426,681.221,568.708,570.728,599.861,359.107,720.213,727.414,613.331,600.56,611.463,545.518,366.836,601.174,595.64,666.881,633.837,597.142,198.79,186.474,581.1731428571428
740.624,681.67,617.657,545.479,771.711,616.9,507.554,704.624,615.113,677.472,546.787,560.598,576.532,361.357,713.63,719.166,606.212,608.294,632.472,530.91,369.994,603.443,619.963,678.178,630.061,605.097,186.048,201.061,579.5931071428571
731.204,692.963,580.18,552.486,748.266,631.826,490.132,704.452,605.916,704.243,527.361,542.58,555.502,352.42,714.402,708.677,624.118,627.181,639.859,496.63,374.564,616.083,612.878,678.131,630.287,604.919,176.937,205.312,576.053892857143
717.881,669.67,584.694,534.411,747.311,610.159,472.897,707.936,579.504,685.441,545.782,552.891,587.88,368.594,724.68,728.069,616.608,608.114,665.196,491.102,364.911,607.68,613.249,709.82,647.304,595.276,199.577,196.179,576.1719999999999
697.769,671.359,555.084,555.993,713.549,610.121,488.399,700.11,592.016,693.488,569.433,548.236,561.553,372.342,718.497,721.691,626.672,602.767,663.84,493.188,345.551,610.798,608.09,701.582,645.326,593.876,195.669,212.509,573.9110000000001
701.024,692.363,560.748,534.162,734.021,621.876,468.193,696.439,587.561,694.17,582.779,576.734,547.079,375.771,723.614,724.834,593.261,599.981,646.269,504.284,336.554,587.687,591.17,713.946,639.888,601.236,184.112,208.534,572.4389285714286
708.682,704.748,580.631,533.242,713.16,590.58,467.522,675.701,593.774,696.24,610.976,556.061,519.784,355.614,751.021,722.011,571.112,589.563,647.514,527.61,335.978,595.891,598.574,699.388,666.202,629.448,190.689,188.263,572.1421071428571
692.113,721.486,581.961,553.59,733.652,586.81,471.759,675.536,611.394,686.078,598.813,557.957,523.493,367.407,765.052,683.382,560.488,607.561,624.543,485.022,386.397,602.413,625.947,668.03,702.733,609.548,173.426,204.397,573.6067142857144
675.663,705.813,601.982,541.281,738.717,582.998,476.061,683.806,602.168,688.07,613.814,531.617,503.621,337.979,754.419,689.347,573.622,636.8,623.628,468.311,394.484,593.371,604.94,661.35,692.302,612.22,193.669,215.358,571.336107142857
671.804,702.398,594.629,532.313,747.658,619.04,488.041,698.879,610.487,669.068,586.05,534.109,486.347,327.326,760.246,667.22,578.493,624.553,607.818,459.612,408.731,589.828,595.52,681.854,693.996,591.42,179.421,188.011,567.6739999999999
651.46,637.579,560.96,530.132,737.911,624.476,474.592,669.147,592.383,659.9,565.648,512.774,502.567,346.871,703.193,650.291,572.503,618.644,597.894,469.074,385.331,571.293,583.281,659.063,586.119,590.288,189.337,186.881,551.0568571428571
662.606,648.289,553.429,538.681,736.126,612.299,466.902,652.604,571.347,569.759,557.4,490.887,490.558,347.049,577.594,618.953,547.634,585.321,575.257,431.521,405.159,541.778,568.452,636.711,516.569,592.806,180.53,183.947,530.7202857142856
513.104,581.766,507.362,497.532,654.056,604.862,465.122,586.458,535.922,457.331,441.006,487.054,451.543,327.248,569.544,539.068,501.961,547.293,567.166,366.828,389.534,514.93,532.641,571.616,477.512,577.071,159.733,170.697,485.5699999999999
455.278,572.674,498.754,455.857,520.914,566.182,442.412,478.096,420.232,424.24,402.621,443.558,457.159,315.858,492.536,461.95,484.012,492.4,521.14,359.58,378.444,507.096,510.589,453.893,462.499,521.362,172.249,173.186,444.456107142857
441.043,557.446,475.994,453.706,504.503,570.199,430.997,469.973,356.662,397.32,414.433,446.329,440.838,302.521,509.579,468.784,464.51,467.648,508.447,365.849,385.364,492.377,472.132,425.467,419.97,474.252,182.168,177.066,431.2706071428571
431.38,507.197,470.378,442.278,506.167,588.95,430.988,453.111,346.011,400.489,414.47,438.378,454.348,333.328,395.964,463.476,423.79,479.139,495.88,352.21,385.769,457.804,470.91,413.491,417.75,489.251,173.073,193.858,422.4942142857143
387.857,475.51,465.943,381.442,450.518,515.403,422.866,403.888,311.643,361.577,375.7,385.001,438.437,317.208,379.853,422.137,367.669,379.783,440.82,336.772,365.632,430.444,457.533,395.12,415.276,465.658,164.258,68.766,385.0969285714285
391.311,485.182,493.087,398.929,452.334,500.891,398.358,395.683,311.164,377.283,346.869,376.624,421.633,318.019,360.883,428.289,377.304,357.847,368.313,356.641,359.626,432.297,425.759,388.7,411.672,454.019,142.369,73.844,378.7475
433.46,522.43,523.922,426.871,464.17,520.562,444.78,435.113,310.348,414.947,402.571,396.513,435.529,329.952,379.178,423.812,378.842,384.81,397.911,337.662,349.276,440.853,418.416,388.63,422.801,465.683,152.521,85.342,395.9608928571427
