modified_index,P-FW1-TUE,P-FW2-TUE,P-FW3-TUE,P-FW4-TUE,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
11:00:00,2309.754,2830.2,3466.207,3527.345,3033.3765,3148.2034999999996,2309.754,2868.5363214285717,2869.0494018412383
11:15:00,2287.75,2813.039,3427.794,3646.102,3043.6712500000003,3120.4165000000003,2287.75,2868.5363214285717,2869.202233226317
11:30:00,2275.398,2810.554,3474.163,3643.943,3051.0145,3142.3585000000003,2275.398,2868.5363214285717,2867.8741270670166
11:45:00,2297.678,2876.833,3481.608,3654.179,3077.5745,3179.2205000000004,2297.678,2868.5363214285717,2870.1319936157934
12:00:00,2294.447,2933.564,3485.604,3686.993,3100.152,3209.584,2294.447,2868.5363214285717,2869.9125011793535
12:15:00,2328.409,2917.369,3479.683,3721.214,3111.66875,3198.526,2328.409,2868.5363214285717,2870.7613655509003
12:30:00,2354.721,2963.007,3491.627,3728.963,3134.5795,3227.317,2354.721,2868.5363214285717,2870.728651496908
12:45:00,2394.803,2938.721,3502.272,3766.86,3150.6639999999998,3220.4965,2394.803,2906.9253500000004,2871.7151034316676
13:00:00,2407.581,2904.922,3537.694,3784.54,3158.6842500000002,3221.308,2407.581,2888.7877857142857,2872.0478399292947
13:15:00,2420.908,2962.949,3567.162,3776.125,3181.786,3265.0555,2420.908,2888.7877857142857,2872.946294504832
13:30:00,2417.48,2966.418,3498.431,3807.385,3172.4285,3232.4245,2417.48,2888.7877857142857,2872.385841815443
13:45:00,2412.774,2934.788,3500.34,3829.637,3169.38475,3217.5640000000003,2412.774,2888.7877857142857,2871.8548599971837
14:00:00,2428.286,2930.297,3471.984,3852.122,3170.67225,3201.1405,2428.286,2888.7877857142857,2871.8861461409533
14:15:00,2439.15,2975.593,3489.865,3857.619,3190.55675,3232.729,2439.15,2888.7877857142857,2876.8219940290082
14:30:00,2429.262,2969.789,3557.59,3797.462,3188.52575,3263.6895000000004,2429.262,2895.3113125,2892.9889219081715
14:45:00,2466.822,2922.81,3591.107,3805.828,3196.64175,3256.9584999999997,2466.822,2970.582632352942,2963.0702775440222
15:00:00,2468.132,2904.632,3634.746,3795.762,3200.818,3269.6890000000003,2468.132,3152.437446078431,3143.8510399005795
15:15:00,2466.27,2881.442,3604.135,3739.447,3172.8235,3242.7885,2466.27,2933.2397499999997,2915.4307375686385
15:30:00,2476.184,2837.284,3662.533,3762.666,3184.6667500000003,3249.9085,2476.184,2891.006142857143,2884.58531208678
15:45:00,2489.324,2848.632,3650.946,3774.94,3190.9605,3249.7889999999998,2489.324,2879.3472857142856,2882.3796375407205
