P-JW1-SAT,P-JW2-SAT,P-JW3-SAT,P-JW4-SAT,P-FW1-SAT,P-FW2-SAT,P-FW3-SAT,Euclidean Barycenter
3335.221,3137.234,3013.201,2331.764,3052.085,2970.733,3204.501,3006.3912857142855
3436.69,3246.196,3078.011,2362.927,3103.243,3074.48,3226.69,3075.4624285714285
3634.666,3432.582,3268.02,2488.028,3215.977,3266.794,3376.867,3240.419142857143
3698.824,3575.492,3326.742,2591.741,3310.302,3438.743,3568.62,3358.637714285714
3717.619,3638.794,3325.743,2659.294,3460.747,3539.659,3651.563,3427.631285714286
3740.46,3596.496,3370.851,2626.343,3461.518,3523.021,3662.391,3425.8685714285716
3769.92,3556.984,3400.651,2674.243,3537.615,3499.544,3659.286,3442.6061428571434
3777.191,3607.117,3386.319,2579.537,3540.794,3593.591,3701.314,3455.1232857142854
3769.267,3522.369,3376.095,2660.147,3487.051,3529.186,3674.459,3431.224857142857
3704.119,3562.378,3343.601,2576.998,3463.373,3481.761,3584.474,3388.100571428571
3667.335,3556.512,3363.288,2590.118,3481.808,3408.587,3592.496,3380.0205714285717
3692.107,3571.367,3343.622,2533.01,3382.047,3428.697,3604.447,3365.0424285714284
3687.402,3508.316,3340.258,2572.867,3359.768,3359.913,3621.496,3350.0028571428566
3661.416,3534.899,3345.484,2533.863,3306.115,3402.496,3575.051,3337.0462857142857
3668.466,3459.306,3339.986,2500.788,3348.006,3370.619,3567.669,3322.1199999999994
3602.969,3371.543,3184.753,2530.032,3292.898,3373.458,3470.655,3260.901142857143
3583.703,3285.867,3194.559,2497.744,3268.811,3314.321,3452.119,3228.1605714285715
3460.521,3234.213,3119.738,2484.033,3223.03,3288.343,3471.817,3183.0992857142855
3428.766,3206.389,3010.912,2463.234,3201.391,3245.86,3329.675,3126.603857142857
3321.875,3097.641,2972.875,2386.01,3127.941,3166.037,3215.341,3041.1028571428574
3323.098,3140.193,2929.87,2325.566,3118.656,3175.201,3200.933,3030.5024285714285
3212.273,3061.083,2942.137,2304.117,3094.532,3077.418,3129.438,2974.4282857142857
3183.976,3010.532,2898.527,2245.557,3012.572,3071.763,3056.479,2925.6294285714284
3119.084,2957.571,2846.302,2170.322,2932.769,2965.243,3007.976,2857.0381428571427
