modified_index,Q-JW1-MON,Q-JW1-TUE,Q-JW1-WED,Q-JW1-THU,Q-JW1-FRI,Q-JW1-SAT,Q-JW1-SUN,Euclidean Barycenter
00:00:00,376.136,360.229,423.753,358.349,368.057,320.969,402.802,372.8992857142857
00:15:00,363.539,365.572,400.81,382.652,346.004,321.771,370.39,364.3911428571429
00:30:00,369.119,378.224,348.462,337.533,322.387,304.677,357.739,345.4487142857143
00:45:00,345.866,345.822,373.754,369.346,321.478,293.27,342.494,341.71857142857147
01:00:00,383.926,385.343,344.136,337.277,317.654,291.497,353.34,344.73900000000003
01:15:00,362.679,369.506,363.053,338.543,305.708,270.879,335.564,335.13314285714284
01:30:00,380.188,380.253,342.942,362.459,317.671,313.218,376.569,353.3285714285715
01:45:00,367.919,356.282,335.671,345.997,266.113,298.518,343.699,330.59985714285716
02:00:00,354.658,366.736,340.802,343.786,311.42,289.744,331.451,334.08528571428576
02:15:00,358.254,340.902,312.423,344.247,278.796,290.373,315.417,320.05885714285716
02:30:00,351.967,357.597,326.318,322.284,282.963,282.693,333.512,322.4762857142858
02:45:00,340.306,335.36,324.194,345.664,274.353,287.81,335.866,320.5075714285714
03:00:00,318.626,357.971,330.798,322.191,291.778,279.033,330.876,318.7532857142857
03:15:00,335.822,329.702,345.998,316.718,289.956,274.903,318.433,315.93314285714285
03:30:00,298.176,356.009,323.554,348.408,256.286,271.586,322.093,310.87314285714285
03:45:00,294.69,324.871,327.497,302.777,275.87,270.833,333.076,304.2305714285714
04:00:00,308.699,327.216,325.122,314.197,270.551,260.89,308.189,302.1234285714285
04:15:00,283.107,322.344,326.966,313.779,279.318,265.58,343.747,304.9772857142857
04:30:00,300.828,341.478,338.898,346.88,292.729,278.132,306.853,315.11400000000003
04:45:00,326.872,349.184,317.379,311.754,258.821,254.757,322.659,305.91800000000006
05:00:00,313.956,320.586,297.389,312.449,254.769,249.041,329.291,296.783
05:15:00,330.012,333.068,309.552,315.248,262.334,264.31,297.224,301.6782857142857
05:30:00,339.9,357.871,327.364,265.929,283.35,261.497,308.454,306.3378571428571
05:45:00,311.31,341.903,338.909,276.533,248.3,288.852,314.696,302.929
06:00:00,306.117,320.132,308.454,311.021,251.963,274.283,319.142,298.7302857142857
06:15:00,331.968,366.796,306.557,301.122,295.419,258.401,265.368,303.66157142857145
06:30:00,299.681,285.032,290.43,258.803,229.744,255.88,235.716,265.0408571428571
06:45:00,303.05,315.396,282.641,245.286,254.426,227.446,241.904,267.16414285714285
07:00:00,309.897,337.679,329.146,250.452,229.941,229.263,235.649,274.5752857142857
07:15:00,281.852,332.437,360.828,296.976,245.592,237.464,250.146,286.4707142857143
07:30:00,303.602,368.68,359.097,301.719,369.764,233.61,251.914,312.6265714285715
07:45:00,320.193,417.171,416.937,344.517,445.58,275.288,285.233,357.8455714285714
08:00:00,403.274,458.94,477.144,390.203,495.314,308.656,282.66,402.313
