P-JW1-THU,P-JW2-THU,P-JW3-THU,P-JW4-THU,P-FW1-THU,P-FW2-THU,P-FW3-THU,P-FW4-THU,Euclidean Barycenter
14737.823,14215.508,14744.208,14760.563,12454.639,13900.335,13569.021,,
14548.062,14133.861,14637.344,14528.112,12620.995,13511.756,13516.23,,
14266.285,13797.959,14420.508,14362.011,12443.859,13207.915,13236.426,,
14137.855,13548.299,14268.083,14248.326,12184.723,13236.188,13220.081,,
13958.34,13730.313,14067.605,13929.878,12150.259,12877.984,12908.964,,
14005.467,13813.169,14172.064,13763.322,12164.146,12685.208,12887.855,,
14015.486,14090.187,14186.964,13868.643,12193.3,12543.697,13020.764,,
14332.989,14369.331,14106.055,13952.297,12309.668,12633.224,12860.624,,
14919.568,14732.6,14604.685,14377.846,12371.415,12933.3,12998.866,,
15849.624,15332.53,15501.478,14927.549,12756.312,13445.743,13425.936,,
16669.622,16242.824,16459.402,16166.684,13504.124,14178.578,14134.79,,
16810.468,16263.211,16957.312,16744.636,13771.027,14717.852,15034.836,,
16953.304,16401.449,16837.435,16798.291,14051.705,14726.882,15142.717,,
16905.079,16487.587,17033.151,16736.931,14136.083,14855.265,15077.759,,
17076.882,16668.773,17002.702,16755.146,14033.43,14960.08,15262.95,,
17007.827,16746.755,17176.302,16925.583,14093.969,15135.757,15201.987,,
17133.345,16615.672,16895.911,16924.551,13970.017,15147.945,15386.134,,
17059.704,16367.298,16899.243,16717.094,13823.295,14817.26,14972.281,,
16820.688,16302.854,16735.14,16791.62,13748.699,14698.489,14808.524,,
16596.07,16407.346,16536.604,16412.828,13584.417,14638.109,14646.352,,
16430.691,16088.581,16383.554,16536.7,13292.144,14533.438,14528.077,,
16394.571,15887.861,15992.797,16158.185,13222.066,14304.175,14340.867,,
16081.569,15534.46,15605.331,15876.015,12977.561,14055.797,14138.06,,
15727.694,15236.445,15471.645,15291.081,12749.224,13858.321,13850.635,,
15187.845,14731.737,15298.397,14924.701,12589.464,13534.423,13793.906,,
15008.35,14318.812,14989.989,14754.228,12510.509,13359.811,13401.131,,
14567.931,13990.203,14574.18,14445.472,12132.925,13166.125,12967.955,,
14449.414,13722.054,14349.044,14150.591,11972.086,12807.939,12629.157,,
14155.986,13399.953,14041.894,13772.24,11886.596,12471.803,12459.763,,
13809.093,13208.017,13721.913,13468.823,11600.725,12299.461,12217.581,,
13503.085,12906.151,13601.374,13214.714,11358.862,12119.707,11922.001,,
13340.362,12721.616,13318.807,13027.955,11291.548,11882.646,11727.967,,
