modified_index,Q-JW3-MON,Q-JW3-TUE,Q-JW3-WED,Q-JW3-THU,Q-JW3-FRI,Q-JW3-SAT,Q-JW3-SUN,Euclidean Barycenter
00:00:00,283.78,294.48,343.057,295.546,379.116,367.13,294.121,322.4614285714286
00:15:00,267.731,291.091,300.703,295.879,403.666,353.989,301.512,316.3672857142857
00:30:00,260.517,305.883,323.869,273.066,358.517,339.713,281.352,306.131
00:45:00,259.089,293.016,325.593,264.727,383.649,341.296,270.501,305.4101428571429
01:00:00,241.862,274.941,332.41,281.481,371.958,318.364,287.377,301.199
01:15:00,274.08,296.697,290.918,259.4,379.46,330.984,285.564,302.4432857142857
01:30:00,239.081,282.09,299.987,296.923,359.853,304.717,277.817,294.3525714285714
01:45:00,267.46,288.461,321.38,277.509,383.59,287.457,264.692,298.6498571428571
02:00:00,249.633,273.62,311.61,293.792,350.289,316.393,298.842,299.1684285714286
02:15:00,236.381,269.671,310.527,270.673,377.557,284.009,245.912,284.9614285714286
02:30:00,231.672,273.058,295.357,272.279,327.453,314.744,274.776,284.19128571428575
02:45:00,236.456,272.02,287.712,290.221,372.768,272.388,275.616,286.74014285714287
03:00:00,211.868,254.746,264.937,251.132,342.413,292.693,253.712,267.3572857142857
03:15:00,220.584,255.678,286.417,278.756,311.478,275.467,284.204,273.2262857142857
03:30:00,259.617,255.961,257.3,264.156,259.899,279.18,257.912,262.00357142857143
03:45:00,216.184,256.326,284.59,260.702,249.403,310.016,275.383,264.6577142857143
04:00:00,236.447,274.218,260.487,262.872,245.749,273.444,237.957,255.882
04:15:00,249.407,233.12,280.33,254.924,258.676,286.846,260.694,260.57099999999997
04:30:00,256.04,260.427,297.536,277.09,279.032,293.012,223.987,269.58914285714286
04:45:00,253.162,267.9,278.931,225.363,228.932,276.41,243.71,253.48685714285716
05:00:00,240.662,259.842,276.481,244.189,237.017,265.298,255.263,254.10742857142856
05:15:00,243.512,231.218,244.161,247.707,251.842,284.959,216.63,245.71842857142857
05:30:00,226.086,231.426,257.453,238.461,261.572,303.376,252.59,252.99485714285714
05:45:00,217.194,255.624,242.783,249.69,252.743,288.136,238.727,249.271
06:00:00,230.588,249.388,281.292,254.146,268.144,312.478,234.626,261.5231428571429
06:15:00,234.462,245.082,248.168,275.723,265.522,311.793,239.588,260.0482857142857
06:30:00,175.202,199.937,242.89,232.902,196.23,278.432,193.353,216.99228571428574
06:45:00,152.268,202.162,214.883,211.527,185.412,280.352,178.432,203.5765714285714
07:00:00,167.859,183.744,205.012,209.063,198.184,255.11,163.866,197.5482857142857
07:15:00,226.728,199.267,250.612,231.614,265.887,308.195,175.25,236.7932857142857
07:30:00,233.568,242.531,267.079,236.404,274.436,245.108,189.522,241.23542857142857
07:45:00,334.773,263.487,317.242,294.236,323.33,283.678,195.926,287.5245714285714
08:00:00,415.162,343.186,353.466,342.466,390.786,300.33,201.592,335.284
08:15:00,415.94,468.783,429.011,430.012,471.427,369.663,255.312,405.73542857142854
08:30:00,462.624,487.97,478.138,431.744,504.182,374.619,313.266,436.0775714285715
08:45:00,448.753,481.042,571.847,453.319,532.061,416.279,302.369,457.95285714285717
09:00:00,478.647,518.922,578.878,494.666,538.067,412.603,310.741,476.0748571428572
09:15:00,464.481,616.113,610.483,519.644,533.98,426.679,291.659,494.71985714285717
09:30:00,507.558,648.377,627.403,514.497,574.704,525.663,323.746,531.7068571428571
09:45:00,584.52,611.508,626.73,478.636,598.363,535.769,314.111,535.6624285714287
10:00:00,595.117,626.931,630.022,513.831,597.979,547.711,307.179,545.5385714285715
10:15:00,605.682,611.519,629.454,527.73,608.634,516.293,349.879,549.8844285714287
10:30:00,626.713,589.706,638.616,538.833,604.106,523.622,358.271,554.2667142857143
10:45:00,638.353,607.321,633.058,494.922,563.558,533.431,365.919,548.0802857142857
11:00:00,640.054,646.947,625.758,496.73,584.256,548.852,338.382,554.4255714285714
11:15:00,634.121,663.183,609.396,511.003,584.634,547.751,385.016,562.1577142857143
11:30:00,624.293,689.36,616.74,548.689,623.797,568.811,365.031,576.6744285714286
11:45:00,637.934,684.064,611.738,557.52,652.202,561.97,358.759,580.598142857143
12:00:00,612.966,702.27,590.429,544.011,644.366,536.93,352.327,569.0427142857143
12:15:00,601.292,671.718,601.504,545.98,609.361,525.977,353.42,558.4645714285714
12:30:00,618.096,679.304,602.411,568.743,586.117,529.874,368.799,564.7634285714286
12:45:00,633.791,709.598,626.063,534.761,563.184,539.967,395.71,571.8677142857143
13:00:00,686.869,717.643,646.44,551.981,599.066,548.344,395.177,592.2171428571428
13:15:00,690.368,733.76,645.172,565.752,601.134,571.95,383.549,598.8121428571429
13:30:00,714.921,728.59,620.287,568.431,614.764,536.629,362.244,592.2665714285714
13:45:00,720.213,727.414,613.331,600.56,611.463,545.518,366.836,597.905
14:00:00,713.63,719.166,606.212,608.294,632.472,530.91,369.994,597.2397142857143
14:15:00,714.402,708.677,624.118,627.181,639.859,496.63,374.564,597.9187142857144
14:30:00,724.68,728.069,616.608,608.114,665.196,491.102,364.911,599.8114285714285
14:45:00,718.497,721.691,626.672,602.767,663.84,493.188,345.551,596.0294285714288
15:00:00,723.614,724.834,593.261,599.981,646.269,504.284,336.554,589.8281428571428
15:15:00,751.021,722.011,571.112,589.563,647.514,527.61,335.978,592.1155714285715
15:30:00,765.052,683.382,560.488,607.561,624.543,485.022,386.397,587.492142857143
15:45:00,754.419,689.347,573.622,636.8,623.628,468.311,394.484,591.5158571428573
16:00:00,760.246,667.22,578.493,624.553,607.818,459.612,408.731,586.6675714285714
16:15:00,703.193,650.291,572.503,618.644,597.894,469.074,385.331,570.9900000000001
16:30:00,577.594,618.953,547.634,585.321,575.257,431.521,405.159,534.4912857142857
16:45:00,569.544,539.068,501.961,547.293,567.166,366.828,389.534,497.34200000000004
17:00:00,492.536,461.95,484.012,492.4,521.14,359.58,378.444,455.7231428571428
17:15:00,509.579,468.784,464.51,467.648,508.447,365.849,385.364,452.8830000000001
17:30:00,395.964,463.476,423.79,479.139,495.88,352.21,385.769,428.03257142857143
17:45:00,379.853,422.137,367.669,379.783,440.82,336.772,365.632,384.66657142857144
18:00:00,360.883,428.289,377.304,357.847,368.313,356.641,359.626,372.70042857142863
18:15:00,379.178,423.812,378.842,384.81,397.911,337.662,349.276,378.7844285714285
18:30:00,396.803,465.118,406.168,417.636,438.113,402.619,401.939,418.34228571428565
18:45:00,450.127,432.269,398.273,411.674,410.583,375.443,375.71,407.7255714285714
19:00:00,464.967,425.422,397.943,398.749,397.551,344.649,397.909,403.88428571428574
19:15:00,451.668,435.044,365.067,396.982,385.249,360.864,392.612,398.2122857142857
19:30:00,479.928,444.647,368.902,382.102,388.304,410.618,400.103,410.65771428571435
19:45:00,454.803,432.25,327.209,372.589,383.411,424.686,402.796,399.6777142857142
20:00:00,464.263,432.148,349.967,337.79,382.046,424.75,385.712,396.668
20:15:00,440.731,402.052,332.669,358.718,359.961,402.719,406.206,386.15085714285715
