Q-JW1-SAT,Q-JW2-SAT,Q-JW3-SAT,Q-JW4-SAT,F-JW1-SAT,F-JW2-SAT,F-JW3-SAT,Euclidean Barycenter
3950.531,3924.222,3600.321,2844.39,2964.366,3147.021,3262.815,3384.8094285714287
3950.774,3833.216,3676.299,2836.534,2921.049,3136.097,3358.862,3387.547285714286
3988.208,3736.708,3593.216,2906.73,2762.184,3088.948,3222.561,3328.3650000000002
4055.295,3724.993,3605.255,2893.311,2752.65,3094.95,3118.292,3320.6780000000003
4102.356,3720.684,3403.768,2819.125,2809.462,3049.429,3122.717,3289.6487142857145
4073.961,3649.033,3321.085,2795.98,2818.818,3033.58,3135.554,3261.1444285714288
3994.346,3677.277,3300.599,2819.752,2863.074,2924.657,3209.979,3255.6691428571426
3868.981,3688.821,3372.443,2836.948,2764.178,2995.529,3138.66,3237.9371428571426
3869.07,3722.047,3282.791,2855.338,2809.883,2868.624,3063.692,3210.2064285714287
3693.865,3619.222,3297.052,2705.581,2715.418,2889.815,3054.45,3139.3432857142857
3704.019,3724.923,3439.68,2735.386,2675.068,2876.582,3029.284,3169.2774285714286
3956.005,3936.986,3495.89,2820.048,2832.413,3003.817,3054.615,3299.967714285714
4034.263,4119.77,3921.838,3085.464,2938.988,3023.766,3252.867,3482.4222857142854
3974.612,4039.69,3709.511,3093.726,3168.931,3208.82,3482.884,3525.4534285714285
3933.775,3936.551,3709.856,2887.964,3149.638,3180.559,3426.388,3460.6758571428572
3964.031,3903.229,3639.318,2904.57,3190.017,3098.715,3341.173,3434.436142857143
3942.268,3827.787,3806.017,2897.443,3138.856,3102.777,3372.309,3441.065285714286
3990.712,3917.984,3809.988,2846.839,3198.775,3107.359,3250.406,3446.0089999999996
3949.573,3771.93,3783.868,2838.143,3161.353,3112.327,3229.344,3406.648285714286
3956.94,3758.703,3666.731,2798.558,3229.904,3116.736,3142.149,3381.3887142857143
3928.384,3754.079,3730.5,2793.961,3131.207,3100.578,3145.357,3369.1522857142854
4017.705,3736.391,3679.719,2764.761,2676.088,3148.936,3198.439,3317.434142857143
3923.364,3737.621,3681.064,2767.153,2640.185,3048.968,3143.058,3277.344714285715
3892.501,3708.014,3648.836,2625.046,2671.423,3072.718,3177.894,3256.633142857143
3898.503,3480.259,3671.305,2612.771,2707.782,3008.333,3119.013,3213.995142857143
3893.758,3393.948,3616.954,2632.456,2705.694,3050.24,3021.985,3187.8621428571428
3835.851,3498.108,3614.531,2524.69,2672.942,2798.465,3082.536,3146.7318571428577
3626.06,3403.572,3307.695,2585.346,2682.987,2989.482,3057.827,3093.281285714286
3628.948,3374.196,3219.28,2549.882,2736.049,2882.533,2851.112,3034.5714285714284
3573.536,3392.892,3252.422,2587.741,2640.662,2863.36,2769.052,3011.3807142857145
3539.597,3326.72,3203.432,2591.726,2712.699,2899.317,2840.544,3016.290714285715
3582.451,3367.259,3327.566,2645.965,2618.545,2879.071,2842.754,3037.6587142857143
3527.523,3340.77,3229.544,2526.05,2690.036,2851.47,2863.714,3004.158142857143
3533.065,3215.432,3189.502,2562.558,2707.114,2717.528,2762.563,2955.394571428572
