modified_index,P-JW1-MON,P-JW2-MON,P-JW3-MON,P-JW4-MON,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
11:00:00,3567.369,3355.35,3437.997,3436.438,3449.2885,3437.2174999999997,3567.369,3466.505857142857,3466.7657935242373
11:15:00,3545.566,3347.706,3441.075,3489.757,3456.026,3465.416,3545.566,3467.0218928571426,3467.0295874274907
11:30:00,3565.456,3319.737,3433.232,3520.128,3459.63825,3476.6800000000003,3565.456,3474.93375,3474.968492313469
11:45:00,3543.102,3430.269,3466.27,3500.668,3485.07725,3483.469,3543.102,3474.3571785714284,3474.7666140936617
12:00:00,3547.702,3483.458,3484.95,3527.869,3510.9947500000003,3506.4094999999998,3547.702,3528.8636071428573,3527.7286317012754
12:15:00,3575.754,3524.002,3474.125,3470.684,3511.1412499999997,3499.0635,3575.754,3513.6595208333333,3514.7139237503866
12:30:00,3587.615,3522.494,3505.773,3492.382,3527.0660000000003,3514.1335,3587.615,3544.877321428571,3545.3216705037635
12:45:00,3502.578,3585.506,3558.214,3542.921,3547.30475,3550.5675,3502.578,3550.3284027777777,3550.437242701968
13:00:00,3602.843,3577.102,3554.927,3573.308,3577.045,3575.205,3602.843,3585.436777777778,3585.126460975821
13:15:00,3600.387,3598.214,3543.283,3568.329,3577.55325,3583.2715,3600.387,3592.0005357142854,3592.2552821368577
13:30:00,3616.279,3624.756,3606.75,3577.441,3606.3064999999997,3611.5145,3616.279,3618.6979,3618.3091349666906
13:45:00,3690.964,3608.125,3622.484,3632.776,3638.58725,3627.63,3690.964,3653.712305555555,3653.884834922485
14:00:00,3677.049,3621.656,3611.607,3658.963,3642.31875,3640.3095000000003,3677.049,3677.4631875,3676.6430041606236
14:15:00,3606.957,3593.291,3617.347,3667.646,3621.31025,3612.152,3606.957,3614.4053214285714,3614.375273436873
14:30:00,3555.841,3580.147,3656.537,3681.287,3618.453,3618.3419999999996,3555.841,3612.7227142857137,3612.7946857794122
14:45:00,3590.508,3556.367,3639.516,3692.806,3619.79925,3615.0119999999997,3590.508,3619.6276944444435,3620.0954118633917
15:00:00,3541.165,3543.672,3642.814,3632.246,3589.97425,3587.959,3541.165,3582.97490625,3582.9570366788535
15:15:00,3540.541,3494.926,3695.308,3623.325,3588.5250000000005,3581.933,3540.541,3593.4276874999996,3593.6274897124317
15:30:00,3541.209,3514.402,3736.38,3656.665,3612.1639999999998,3598.937,3541.209,3597.7523125,3597.8293352551896
15:45:00,3555.214,3518.171,3705.222,3618.171,3599.1945,3586.6925,3555.214,3595.323964285714,3595.486778547227
16:00:00,3608.916,3502.218,3689.427,3585.87,3596.60775,3597.393,3608.916,3593.4462499999995,3593.481500922544
16:15:00,3564.467,3406.593,3613.09,3534.199,3529.58725,3549.333,3564.467,3557.1817916666664,3556.762172885138
