modified_index,P-JW1-SUN,P-JW2-SUN,P-JW3-SUN,P-JW4-SUN,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
11:00:00,2982.523,2747.76,2855.797,2127.78,2678.465,2801.7785000000003,2982.523,2750.6879642857143,2677.7610297260044
11:15:00,3066.327,2846.113,3008.986,2243.553,2791.24475,2927.5495,3066.327,2766.166392857143,2675.2816402334392
11:30:00,3126.703,2923.552,2970.875,2302.078,2830.802,2947.2135,3126.703,2766.166392857143,2675.156047590408
11:45:00,3115.86,2985.339,2984.208,2291.979,2844.3465,2984.7735000000002,3115.86,2766.166392857143,2675.293475322707
12:00:00,3117.825,2967.922,3004.502,2301.542,2847.94775,2986.212,3117.825,2766.166392857143,2676.633442679224
12:15:00,3151.264,2939.844,3048.524,2335.332,2868.741,2994.184,3151.264,2766.166392857143,2684.720607406435
12:30:00,3176.109,2968.657,3079.368,2356.598,2895.183,3024.0125,3176.109,2766.166392857143,2688.888296341342
12:45:00,3184.531,3028.218,3108.744,2332.79,2913.57075,3068.4809999999998,3184.531,2766.166392857143,2687.219531037271
13:00:00,3244.204,3074.289,3137.746,2332.131,2947.0925,3106.0175,3244.204,2766.166392857143,2686.9591068244645
13:15:00,3223.253,3111.618,3093.794,2331.927,2940.148,3102.706,3223.253,2766.166392857143,2688.520229084409
13:30:00,3192.993,3087.594,3098.03,2373.119,2937.934,3092.812,3192.993,2766.166392857143,2687.3867329975305
13:45:00,3208.098,3124.459,3105.737,2382.918,2955.303,3115.098,3208.098,2766.166392857143,2685.427750559514
14:00:00,3254.734,3101.108,3082.04,2387.22,2956.2755,3091.574,3254.734,2766.166392857143,2693.737251054653
14:15:00,3220.163,3079.081,3093.625,2415.138,2952.0017500000004,3086.353,3220.163,2766.166392857143,2684.3238665759777
14:30:00,3199.724,3145.69,3047.508,2401.158,2948.52,3096.599,3199.724,2766.166392857143,2744.3697969227155
14:45:00,3190.641,3143.922,2996.524,2424.443,2938.8824999999997,3070.223,3190.641,2766.166392857143,2745.627833784281
15:00:00,3213.589,3141.502,2993.604,2399.002,2936.92425,3067.553,3213.589,2766.166392857143,2754.2297819531855
15:15:00,3242.241,3089.415,2993.023,2349.447,2918.5315,3041.219,3242.241,2766.166392857143,2754.0199514284677
15:30:00,3219.216,3076.103,2995.135,2383.297,2918.43775,3035.619,3219.216,2766.166392857143,2753.816292034167
15:45:00,3214.163,3036.69,3009.868,2369.957,2907.6695,3023.279,3214.163,2766.166392857143,2753.629128208246
16:00:00,3214.109,2974.784,3025.401,2369.741,2896.00875,3000.0924999999997,3214.109,2766.166392857143,2758.165110397018
16:15:00,3178.562,3013.034,2955.814,2306.318,2863.432,2984.424,3178.562,2766.166392857143,2758.105788438629
16:30:00,3142.518,3016.772,3002.166,2300.345,2865.45025,3009.469,3142.518,2766.166392857143,2758.007043657795
16:45:00,3147.422,3008.873,2961.354,2314.35,2857.99975,2985.1135,3147.422,2766.166392857143,2758.3726671465656
17:00:00,3128.17,2946.696,2903.486,2291.903,2817.56375,2925.091,3128.17,2766.166392857143,2759.3791226532585
17:15:00,3096.397,2929.241,2845.757,2300.197,2792.898,2887.499,3096.397,2766.166392857143,2759.8601163700755
17:30:00,3064.449,2946.902,2874.316,2333.166,2804.7082500000006,2910.609,3064.449,2766.166392857143,2759.7872919939105
17:45:00,3014.073,2897.61,2900.57,2235.668,2761.98025,2899.09,3014.073,2762.0891944444443,2764.4692900413743
18:00:00,3117.083,2991.528,2944.243,2296.072,2837.2315,2967.8855,3117.083,2822.182609375,2769.4161678374107
18:15:00,3232.466,3068.789,3015.022,2340.818,2914.2737500000003,3041.9055,3232.466,2945.1529021739134,2761.501201439023
18:30:00,3433.459,3237.281,3177.59,2445.777,3073.52675,3207.4355,3433.459,3065.075475609756,2847.7867956623704
18:45:00,3506.016,3413.663,3236.87,2509.984,3166.63325,3325.2664999999997,3506.016,2963.215196428571,3034.386341131135
19:00:00,3559.289,3522.902,3365.119,2587.865,3258.7937500000003,3444.0105000000003,3559.289,2877.7937307692305,2926.829544989953
19:15:00,3624.792,3527.938,3415.903,2575.556,3286.04725,3471.9205,3624.792,2830.94925,2867.3825987764326
19:30:00,3586.652,3584.234,3433.371,2617.855,3305.5280000000002,3508.8025,3586.652,2876.8514166666664,2841.4439390501493
19:45:00,3637.319,3624.503,3491.903,2609.74,3340.86625,3558.203,3637.319,2986.7828125,2972.631768085925
20:00:00,3691.379,3569.207,3503.59,2622.699,3346.71875,3536.3985000000002,3691.379,3173.4908153846154,3168.2131982021165
20:15:00,3746.044,3645.453,3566.676,2603.161,3390.3334999999997,3606.0645,3746.044,3561.2169107142854,3555.5313151763808
20:30:00,3759.891,3602.32,3511.218,2600.407,3368.459,3556.7690000000002,3759.891,3320.190731481481,3298.2838319799666
20:45:00,3728.21,3618.89,3570.34,2589.074,3376.6285000000003,3594.615,3728.21,3124.826265625,3083.4170902268065
21:00:00,3718.408,3578.02,3573.283,2640.794,3377.62625,3575.6515,3718.408,2972.05175,2968.335639615154
21:15:00,3681.757,3578.46,3535.887,2613.537,3352.4102500000004,3557.1735,3681.757,2950.074892857143,2938.9787619811154
21:30:00,3684.604,3519.879,3466.313,2639.149,3327.48625,3493.096,3684.604,2950.074892857143,2942.7639995679224
21:45:00,3637.019,3519.372,3457.842,2543.507,3289.435,3488.607,3637.019,2950.074892857143,2939.5386448431263
22:00:00,3580.496,3435.95,3366.67,2539.834,3230.7375,3401.31,3580.496,2950.074892857143,2937.9142949311536
22:15:00,3492.597,3370.543,3325.688,2497.578,3171.6015,3348.1155,3492.597,2950.074892857143,2936.1248300787
22:30:00,3419.923,3294.324,3309.516,2429.194,3113.2392499999996,3301.92,3419.923,2950.074892857143,2937.1335658590638
22:45:00,3320.155,3207.117,3216.546,2356.743,3025.1402500000004,3211.8315000000002,3320.155,2950.074892857143,2935.2108522707285
23:00:00,3331.967,3146.559,3170.079,2291.08,2984.92125,3158.3190000000004,3331.967,2950.074892857143,2936.2692839083984
23:15:00,3219.921,3066.248,3094.296,2243.332,2905.94925,3080.272,3219.921,2938.7931785714286,2938.477723979523
23:30:00,3140.238,3024.335,3004.729,2231.645,2850.23675,3014.532,3140.238,2930.8342500000003,2931.025443612883
23:45:00,3047.416,2985.418,2967.9,2155.176,2788.9775,2976.659,3047.416,2609.0918529411765,2610.3800141689226
