modified_index,Q-FW3-MON,Q-FW3-TUE,Q-FW3-WED,Q-FW3-THU,Q-FW3-FRI,Q-FW3-SAT,Q-FW3-SUN,Euclidean Barycenter
06:15:00,302.129,342.284,396.954,325.182,282.248,253.418,247.498,307.10185714285717
06:30:00,309.876,313.662,325.204,287.751,230.5,218.954,168.167,264.8734285714285
06:45:00,272.757,332.526,311.466,251.334,238.647,154.293,122.212,240.46214285714288
07:00:00,251.956,304.793,270.576,215.323,236.228,131.973,128.986,219.97642857142858
07:15:00,281.398,330.944,275.579,213.813,289.428,163.327,140.096,242.0835714285714
07:30:00,289.103,338.451,366.009,251.978,277.556,156.41,138.382,259.6984285714286
07:45:00,356.921,376.857,396.85,302.42,330.512,217.656,174.538,307.9648571428571
08:00:00,415.307,423.786,417.041,327.513,384.547,274.75,240.824,354.824
08:15:00,436.171,484.513,439.563,412.287,447.274,346.598,232.796,399.88599999999997
08:30:00,473.849,536.566,467.781,457.081,497.839,372.918,249.401,436.49071428571426
08:45:00,546.231,564.15,559.689,515.97,533.612,390.38,280.382,484.34485714285717
09:00:00,533.886,589.284,568.4,520.228,535.107,429.272,285.773,494.56428571428575
09:15:00,530.104,585.379,615.492,527.566,588.088,428.124,315.877,512.9471428571428
09:30:00,569.519,585.203,623.661,566.718,579.193,451.864,359.181,533.6198571428571
09:45:00,605.669,606.729,606.096,538.25,569.152,459.141,304.358,527.0564285714287
10:00:00,578.444,589.353,616.166,556.469,599.723,476.986,333.139,535.7542857142857
10:15:00,600.327,590.221,595.954,569.63,609.819,528.681,343.318,548.2785714285714
10:30:00,635.513,596.789,659.324,618.243,616.367,574.224,369.448,581.4154285714286
10:45:00,645.363,603.664,656.698,647.897,612.008,565.899,382.841,587.7671428571429
11:00:00,684.374,616.262,674.503,622.707,624.617,598.317,354.767,596.5067142857142
11:15:00,701.096,595.091,625.962,656.373,645.788,592.974,410.114,603.914
11:30:00,677.538,616.772,621.246,655.207,645.251,611.98,405.244,604.7482857142858
11:45:00,652.517,597.673,645.296,626.713,649.782,586.074,411.668,595.6747142857142
12:00:00,679.688,605.917,656.12,625.797,643.306,589.584,420.978,603.0557142857142
12:15:00,685.272,591.917,643.788,629.544,602.582,588.141,447.713,598.4224285714287
12:30:00,704.973,600.332,643.129,617.342,589.714,590.648,439.187,597.9035714285714
12:45:00,695.17,601.961,646.727,621.232,574.237,607.786,441.761,598.4105714285714
13:00:00,733.523,612.783,662.873,645.416,613.786,605.377,432.232,615.1414285714287
13:15:00,744.786,602.339,657.95,636.809,606.56,593.354,423.398,609.3137142857142
13:30:00,689.442,582.206,647.384,623.372,596.79,599.623,428.687,595.3577142857142
13:45:00,678.266,608.429,667.91,637.463,622.644,593.837,449.102,608.2358571428573
14:00:00,686.511,581.631,644.239,622.221,612.138,585.278,423.304,593.6174285714286
14:15:00,690.937,601.143,634.752,625.049,590.287,569.868,410.448,588.9262857142857
14:30:00,662.628,628.697,641.028,655.509,601.704,562.101,414.497,595.1662857142857
14:45:00,651.247,632.186,666.61,618.371,636.474,539.737,404.318,592.7061428571429
15:00:00,655.776,657.249,657.551,643.026,651.852,550.324,415.417,604.4564285714285
15:15:00,662.644,622.163,638.653,634.427,640.173,557.77,414.85,595.8114285714286
15:30:00,642.207,635.266,649.161,637.679,630.251,521.922,402.008,588.3562857142858
15:45:00,686.343,629.969,657.207,638.031,636.117,535.398,417.607,600.0959999999999
16:00:00,643.053,638.301,616.398,593.134,614.712,497.529,420.547,574.8105714285714
16:15:00,598.778,619.578,586.913,588.889,611.322,471.699,414.482,555.9515714285715
16:30:00,560.139,599.287,584.453,542.743,545.741,448.24,398.591,525.5991428571429
16:45:00,510.279,498.102,501.482,449.13,420.813,464.962,393.482,462.60714285714283
17:00:00,483.873,452.531,504.011,442.153,406.398,482.031,389.44,451.491
17:15:00,483.526,411.75,465.437,440.447,397.294,485.138,392.384,439.4251428571429
17:30:00,411.421,420.591,448.388,428.827,406.741,457.499,391.926,423.62757142857134
17:45:00,352.077,378.471,369.259,376.869,375.186,466.354,386.306,386.3602857142857
18:00:00,334.068,360.482,368.91,372.161,395.409,458.516,377.796,381.0488571428572
18:15:00,359.341,369.796,344.314,381.19,396.144,452.418,400.619,386.2602857142857
