P-JW1-MON,P-JW1-TUE,P-JW1-WED,P-JW1-THU,P-JW1-FRI,P-JW1-SAT,P-JW1-SUN,P-JW2-MON,P-JW2-TUE,P-JW2-WED,P-JW2-THU,P-JW2-FRI,P-JW2-SAT,P-JW2-SUN,P-JW3-MON,P-JW3-TUE,P-JW3-WED,P-JW3-THU,P-JW3-FRI,P-JW3-SAT,P-JW3-SUN,P-JW4-MON,P-JW4-TUE,P-JW4-WED,P-JW4-THU,P-JW4-FRI,P-JW4-SAT,P-JW4-SUN,Euclidean Barycenter
16580.678,16834.746,16250.31,16430.691,16473.475,15991.734,16178.457,16313.719,15921.133,16511.227,16088.581,15918.877,15769.734,15861.728,16339.053,16731.68,15551.425,16383.554,15856.382,15384.784,15689.057,16377.915,16503.472,16376.251,16536.7,16060.292,12576.708,12866.089,15941.37328571428
16503.851,16636.791,16122.58,16394.571,16323.732,15917.355,15829.748,16057.061,15553.601,16236.838,15887.861,15703.195,15549.208,15937.417,15559.085,16464.893,15362.586,15992.797,15588.371,15211.316,15472.983,16266.755,16156.399,16074.698,16158.185,15725.649,12349.279,12774.819,15707.557999999999
16227.872,16283.296,15841.109,16081.569,16139.92,15814.361,15698.343,15696.306,15255.31,15675.936,15534.46,15390.289,15161.343,15541.062,15406.708,16199.266,15155.997,15605.331,15469.604,14995.424,15191.35,15646.563,15978.001,15948.252,15876.015,15557.613,12390.848,12490.753,15437.603607142857
15853.865,15978.22,15484.546,15727.694,16093.71,15652.248,15536.402,15471.25,14925.473,15326.579,15236.445,15268.96,14668.831,15218.355,15322.225,15661.314,14548.083,15471.645,15260.546,14542.584,15206.021,15256.802,15645.455,15472.311,15291.081,15430.007,12280.619,12353.132,15149.442964285714
15597.489,15680.462,15063.032,15187.845,15651.357,15443.448,15318.325,14979.375,14638.251,15067.788,14731.737,14919.18,14708.75,14921.946,14847.102,15343.057,14395.144,15298.397,15071.914,14535.166,14865.856,15041.55,15282.996,15112.104,14924.701,14993.219,11940.187,12145.231,14846.628892857141
15015.755,15432.809,14793.08,15008.35,15429.328,15076.391,14926.202,14837.661,14299.263,14867.377,14318.812,14836.29,14467.221,14599.1,14591.528,15035.634,14260.65,14989.989,14678.119,14207.786,14697.241,14770.774,14924.868,14941.89,14754.228,14473.619,11904.159,11954.475,14574.735678571427
14755.945,14866.77,14516.147,14567.931,15019.778,14851.461,14768.649,14319.0,13830.603,14466.143,13990.203,14414.436,14113.488,14223.258,14224.758,14813.962,13817.819,14574.18,14467.521,13935.628,14363.301,14392.45,14483.272,14475.646,14445.472,14106.868,11676.052,11657.313,14219.216214285718
14370.266,14753.519,14140.011,14449.414,14640.981,14615.882,14422.626,14132.793,13588.666,14215.445,13722.054,14229.562,13960.315,14120.172,13704.106,14452.561,13527.404,14349.044,14148.359,13773.818,14067.896,14201.499,14388.945,14264.812,14150.591,14139.731,11639.894,11387.351,13984.20417857143
14272.394,14406.334,13884.251,14155.986,14428.199,14299.758,14229.928,13641.333,13173.093,13936.484,13399.953,13876.04,13753.207,13793.18,13432.422,14145.458,13293.066,14041.894,14018.087,13464.441,13845.624,13870.278,13972.417,14005.988,13772.24,13806.24,11255.811,11323.484,13696.3425
13828.362,14054.312,13602.571,13809.093,13984.159,14211.807,13843.178,13377.642,13124.948,13653.761,13208.017,13731.489,13587.685,13498.229,13227.602,13868.111,13096.286,13721.913,13828.836,13353.616,13819.896,13597.086,13738.413,13870.625,13468.823,13602.296,11202.059,11133.149,13465.855857142857
13695.979,13818.953,13326.656,13503.085,13901.656,14084.133,13604.137,13192.98,12817.697,13253.725,12906.151,13445.96,13208.014,13288.106,12866.073,13484.459,12772.861,13601.374,13630.16,13144.803,13486.19,13281.685,13479.356,13310.043,13214.714,13350.839,10911.399,10882.418,13195.128785714283
13423.731,13648.047,13232.092,13340.362,13696.915,13812.475,13278.611,12878.123,12583.267,12883.621,12721.616,13155.267,13037.455,12960.418,12686.534,13340.789,12484.639,13318.807,13274.172,13035.701,13226.227,12952.591,13174.619,13201.492,13027.955,13179.936,10774.076,10641.913,12963.266107142857
