P-JW1-MON,P-JW1-TUE,P-JW1-WED,P-JW1-THU,P-JW1-FRI,P-JW1-SAT,P-JW1-SUN,P-JW2-MON,P-JW2-TUE,P-JW2-WED,P-JW2-THU,P-JW2-FRI,P-JW2-SAT,P-JW2-SUN,P-JW3-MON,P-JW3-TUE,P-JW3-WED,P-JW3-THU,P-JW3-FRI,P-JW3-SAT,P-JW3-SUN,P-JW4-MON,P-JW4-TUE,P-JW4-WED,P-JW4-THU,P-JW4-FRI,P-JW4-SAT,P-JW4-SUN,Euclidean Barycenter
11462.314,11648.719,11325.483,11332.001,11314.499,11771.201,11221.499,11147.405,10958.076,10743.712,11202.649,11095.55,10737.72,10616.142,11402.793,10853.741,11452.463,11047.076,11371.474,11018.518,10959.048,10970.734,11101.803,11280.85,11409.097,11005.494,11109.386,9132.95,11096.157035714286
11535.067,11694.823,11562.283,11432.129,11507.73,11591.994,11205.562,11210.789,10914.202,10840.225,11244.144,11313.613,10738.205,10633.141,11384.152,10919.412,11551.479,11058.317,11371.405,11114.531,11020.852,11246.597,11279.947,11438.369,11578.271,11174.498,10970.141,9146.837,11167.096964285718
11901.801,11970.428,11547.19,11571.451,11671.158,11654.28,11238.826,11290.167,11224.368,10888.937,11425.014,11476.156,10828.863,10663.718,11522.078,11288.59,11708.287,11187.311,11509.758,11069.68,10972.44,11423.074,11433.658,11545.325,11673.292,11402.917,11284.919,9136.686,11303.941857142858
12256.323,12241.766,11905.288,11647.906,11940.449,11655.011,11273.293,11796.197,11462.719,11242.31,11639.738,11701.029,10925.977,10740.619,11649.937,11359.569,12063.458,11387.947,11746.656,11185.629,11107.964,11631.436,11642.644,11732.685,12054.806,11715.982,11303.387,9071.575,11502.939285714285
12577.556,12491.159,12379.516,12153.416,12187.251,11938.624,11192.896,12016.381,12039.978,11523.1,12132.968,12168.945,10938.282,10852.462,12161.202,11861.603,12293.68,11739.572,12322.954,11312.952,10965.155,11952.618,11919.229,12202.794,12259.268,11877.375,11424.442,8540.056,11765.19407142857
12935.512,12714.258,12691.93,12486.181,12643.988,11968.041,11349.449,12287.713,12162.658,11839.562,12246.82,12540.512,10953.561,10854.1,12426.664,12207.319,12529.912,12165.957,12497.438,11323.263,11214.917,12206.667,12290.919,12508.326,12583.244,12411.71,11567.349,9050.045,12023.500535714284
13236.564,13134.116,13017.86,12718.587,12753.621,11864.257,11305.934,12712.377,12467.048,12335.047,12608.444,12891.935,10942.086,10818.808,12661.457,12333.096,12957.386,12481.508,12899.307,11333.615,11150.875,12521.051,12547.213,12871.172,12921.799,12763.139,11728.488,8993.691,12248.945749999999
13429.727,13465.568,13210.078,13258.091,12998.037,11853.051,11412.048,13054.072,12893.487,12622.64,12974.429,13096.538,11018.438,10902.974,13094.809,12669.035,13211.656,12857.347,13016.143,11460.174,11253.01,12902.679,12653.43,13073.853,13163.892,12956.213,11910.074,8971.284,12477.95632142857
13608.007,13402.748,13383.009,13181.822,13172.307,11593.001,11083.383,13165.668,13161.696,12627.77,13175.093,13222.835,10778.356,11151.13,13173.443,12874.537,13480.737,12924.607,13290.23,11601.092,11116.797,13192.305,13140.323,12979.128,13443.353,12909.522,11767.985,8874.407,12552.688964285715
13478.087,13289.328,13055.875,13182.096,13199.978,11499.938,10825.955,13015.857,13033.487,12617.183,12972.676,13260.304,10598.709,10874.422,13034.88,12832.584,13277.957,12709.393,13009.694,11191.646,10724.949,12716.451,13079.481,13161.312,13254.376,12757.751,11635.024,8817.939,12396.690428571424
