modified_index,Q-JW1-THU,Q-JW2-THU,Q-JW3-THU,Q-JW4-THU,F-JW1-THU,F-JW2-THU,F-JW3-THU,F-JW4-THU,Euclidean Barycenter
09:45:00,498.252,588.601,478.636,565.521,228.42,533.968,538.25,,
10:00:00,543.744,606.999,513.831,550.614,238.742,552.84,556.469,,
10:15:00,530.882,583.164,527.73,550.519,219.318,568.426,569.63,,
10:30:00,557.771,613.917,538.833,603.514,215.294,572.88,618.243,,
10:45:00,559.503,586.233,494.922,631.011,219.552,536.451,647.897,,
11:00:00,563.376,572.146,496.73,646.243,233.504,602.737,622.707,,
11:15:00,534.972,611.332,511.003,635.419,233.746,617.04,656.373,,
11:30:00,553.352,604.113,548.689,625.147,242.794,599.543,655.207,,
11:45:00,558.734,600.528,557.52,656.667,244.356,663.356,626.713,,
12:00:00,559.108,603.59,544.011,645.968,226.561,626.776,625.797,,
12:15:00,569.681,600.999,545.98,645.289,221.293,646.077,629.544,,
12:30:00,563.806,582.11,568.743,626.063,231.584,666.686,617.342,,
12:45:00,563.103,590.361,534.761,611.174,228.018,635.076,621.232,,
13:00:00,563.881,577.761,551.981,609.264,215.329,633.647,645.416,,
13:15:00,563.509,564.05,565.752,622.507,207.94,622.471,636.809,,
13:30:00,561.75,557.812,568.431,634.936,204.57,647.442,623.372,,
13:45:00,545.53,568.708,600.56,633.837,214.364,688.359,637.463,,
14:00:00,545.479,546.787,608.294,630.061,217.89,679.049,622.221,,
14:15:00,552.486,527.361,627.181,630.287,230.836,670.474,625.049,,
14:30:00,534.411,545.782,608.114,647.304,233.526,651.799,655.509,,
14:45:00,555.993,569.433,602.767,645.326,232.02,660.451,618.371,,
15:00:00,534.162,582.779,599.981,639.888,240.21,624.823,643.026,,
15:15:00,533.242,610.976,589.563,666.202,233.958,678.896,634.427,,
15:30:00,553.59,598.813,607.561,702.733,223.76,668.079,637.679,,
15:45:00,541.281,613.814,636.8,692.302,219.731,613.744,638.031,,
16:00:00,532.313,586.05,624.553,693.996,207.87,636.016,593.134,,
16:15:00,530.132,565.648,618.644,586.119,201.456,604.323,588.889,,
16:30:00,538.681,557.4,585.321,516.569,200.758,567.002,542.743,,
16:45:00,497.532,441.006,547.293,477.512,200.948,563.47,449.13,,
17:00:00,455.857,402.621,492.4,462.499,216.858,517.688,442.153,,
17:15:00,453.706,414.433,467.648,419.97,219.814,440.604,440.447,,
17:30:00,442.278,414.47,479.139,417.75,226.713,411.849,428.827,,
17:45:00,381.442,375.7,379.783,415.276,200.65,369.956,376.869,,
18:00:00,398.929,346.869,357.847,411.672,171.244,389.909,372.161,,
18:15:00,426.871,402.571,384.81,422.801,182.408,399.31,381.19,,
18:30:00,448.699,421.606,417.636,444.83,201.543,385.612,406.187,,
18:45:00,424.483,410.374,411.674,433.343,206.378,479.401,462.472,,
19:00:00,419.533,378.224,398.749,439.728,172.101,481.011,472.824,,
19:15:00,409.01,401.398,396.982,435.834,186.342,465.268,450.169,,
19:30:00,398.782,389.719,382.102,432.18,182.173,479.317,457.371,,
19:45:00,404.203,391.214,372.589,445.174,196.958,466.069,505.809,,
20:00:00,405.596,412.58,337.79,428.73,161.933,495.783,516.366,,
20:15:00,387.348,408.376,358.718,432.39,160.777,486.979,487.42,,
20:30:00,408.284,414.159,372.91,464.43,157.589,466.129,459.052,,
20:45:00,403.326,398.31,382.243,469.896,163.181,455.236,427.109,,
21:00:00,378.103,411.448,399.318,470.279,158.519,424.701,415.634,,
21:15:00,395.612,402.246,355.294,478.632,138.883,403.918,443.07,,
21:30:00,409.088,419.651,385.574,458.573,176.667,445.481,437.7,,
21:45:00,402.899,422.034,384.927,450.019,184.598,415.849,442.133,,
22:00:00,398.447,313.02,365.892,338.602,167.827,457.042,449.69,,
22:15:00,395.683,289.572,388.848,317.451,197.576,426.137,412.888,,
22:30:00,405.431,261.641,359.866,335.063,164.373,445.068,436.801,,
22:45:00,381.062,299.49,351.282,349.624,198.623,449.873,370.138,,
23:00:00,392.594,258.473,360.747,317.454,197.764,444.363,402.329,,
23:15:00,372.056,295.374,386.188,314.269,190.7,409.221,394.316,,
23:30:00,387.984,279.013,397.47,338.794,188.691,418.04,415.39,,
23:45:00,427.559,308.571,402.741,308.102,165.24,394.052,309.569,,
