modified_index,P-FW3-MON,P-FW3-TUE,P-FW3-WED,P-FW3-THU,P-FW3-FRI,P-FW3-SAT,P-FW3-SUN,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
00:00:00,3029.604,2986.669,3109.663,3066.046,3001.912,3083.896,2999.082,3039.5531428571426,3029.604,3029.604,3032.6000816326527,3032.653344617049
00:15:00,2932.351,2948.981,3051.881,3013.143,2927.982,3008.712,2942.221,2975.0387142857144,2948.981,2932.351,2947.4547922077923,2947.4868609506048
00:30:00,2875.747,2871.312,3007.032,2952.263,2889.92,2962.283,2950.568,2929.875,2950.568,2875.747,2930.3433999999997,2930.465048040335
00:45:00,2813.213,2836.349,2948.983,2865.556,2780.83,2900.605,2899.392,2863.561142857143,2865.556,2813.213,2863.4013142857143,2863.47854558654
01:00:00,2808.662,2733.304,2929.066,2835.484,2720.138,2835.871,2859.473,2817.4282857142857,2835.484,2808.662,2813.066107142857,2813.1072405509517
01:15:00,2741.673,2723.665,2831.27,2791.589,2693.203,2794.306,2789.577,2766.469,2789.577,2741.673,2769.6002,2769.59844127609
01:30:00,2719.569,2705.885,2823.585,2752.498,2664.684,2785.911,2770.706,2746.119714285715,2752.498,2719.569,2747.9124714285717,2754.3050772530073
01:45:00,2656.052,2648.007,2794.27,2706.253,2638.2,2685.471,2704.477,2690.39,2685.471,2656.052,2702.3883,2705.2535117814264
02:00:00,2601.933,2641.56,2744.243,2654.142,2597.982,2659.849,2663.564,2651.896142857143,2654.142,2601.933,2658.8344675324674,2658.7939039878806
02:15:00,2608.375,2639.117,2713.595,2591.001,2591.175,2645.64,2637.843,2632.3922857142857,2637.843,2608.375,2642.720116883117,2642.6773329256966
02:30:00,2573.947,2622.383,2665.534,2560.76,2532.257,2618.119,2592.173,2595.0247142857143,2592.173,2573.947,2601.998516483516,2601.903907046082
02:45:00,2534.665,2538.396,2673.257,2539.883,2549.962,2589.221,2570.062,2570.7779999999993,2549.962,2534.665,2567.0794,2567.0783371445227
03:00:00,2515.115,2543.38,2631.08,2525.733,2487.381,2566.01,2527.443,2542.306,2527.443,2515.115,2542.6143,2542.701507697741
03:15:00,2456.448,2561.62,2607.288,2489.792,2495.513,2550.809,2456.063,2516.790428571429,2495.513,2456.448,2544.3848,2544.409155006829
03:30:00,2446.971,2560.2,2575.757,2488.881,2484.508,2514.92,2461.256,2504.641857142857,2488.881,2446.971,2529.5965844155844,2529.409674546921
03:45:00,2423.564,2571.012,2589.024,2496.333,2495.227,2518.888,2416.278,2501.4751428571426,2496.333,2423.564,2485.4321688311684,2485.275504365101
04:00:00,2440.524,2576.081,2599.355,2460.406,2469.618,2492.752,2418.932,2493.952571428571,2469.618,2440.524,2391.099479262673,2390.383111228529
04:15:00,2445.493,2652.828,2589.401,2441.07,2484.703,2482.769,2406.354,2500.374,2482.769,2445.493,2477.956989010989,2478.375458590993
