modified_index,P-FW2-MON,P-FW2-TUE,P-FW2-WED,P-FW2-THU,P-FW2-FRI,P-FW2-SAT,P-FW2-SUN,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
08:45:00,2380.304,2546.155,3092.994,3224.048,3179.527,2947.667,2541.825,2844.6457142857143,2947.667,2380.304,2799.3314875,2799.358049230063
09:00:00,2446.552,2562.199,3170.128,3240.45,3208.452,2973.052,2583.109,2883.420285714286,2973.052,2446.552,2866.031609756097,2866.225781105234
09:15:00,2533.449,2540.509,3186.277,3305.948,3272.944,3011.117,2675.355,2932.228428571428,3011.117,2533.449,2955.8034428571427,2956.92830711981
09:30:00,2601.629,2569.449,3230.734,3374.872,3255.268,3015.159,2624.842,2953.136142857143,3015.159,2601.629,2970.777014285715,2972.5362150691044
09:45:00,2578.878,2656.564,3277.523,3413.352,3371.761,3028.657,2708.843,3005.0825714285716,3028.657,2578.878,2970.852012987013,2969.241980523348
10:00:00,2584.338,2704.489,3329.548,3459.254,3428.688,3100.919,2750.06,3051.042285714286,3100.919,2584.338,3000.531848214286,3000.454133195277
10:15:00,2696.281,2735.077,3365.627,3527.912,3452.96,3164.567,2820.689,3109.0161428571423,3164.567,2696.281,3090.3305918367346,3090.338355338375
10:30:00,2729.822,2806.29,3346.313,3535.038,3499.791,3233.184,2841.601,3141.719857142857,3233.184,2729.822,3115.4152142857147,3115.38282720353
10:45:00,2780.558,2760.427,3364.956,3601.908,3518.526,3283.308,2865.853,3167.9337142857144,3283.308,2780.558,3162.603485714286,3162.507321769016
11:00:00,2778.889,2830.2,3465.324,3704.474,3636.287,3208.259,2832.147,3207.9399999999996,3208.259,2778.889,3165.2248714285715,3165.223738879926
11:15:00,2827.818,2813.039,3477.821,3694.094,3654.077,3248.44,2908.959,3232.0354285714284,3248.44,2827.818,3181.0292714285715,3181.0705374256286
11:30:00,2822.544,2810.554,3496.438,3659.107,3705.829,3255.418,2987.017,3248.129571428572,3255.418,2822.544,3181.0292714285715,3198.7861695462193
11:45:00,2848.058,2876.833,3588.931,3766.672,3733.93,3288.929,2987.069,3298.631714285714,3288.929,2848.058,3181.0292714285715,3209.242707193405
12:00:00,2848.581,2933.564,3665.873,3729.96,3723.329,3273.137,2971.55,3306.5705714285714,3273.137,2848.581,3198.7533000000003,3193.9388107902532
12:15:00,2902.8,2917.369,3723.123,3723.83,3664.544,3281.211,3027.977,3320.1219999999994,3281.211,2902.8,3208.7781,3194.086730030344
12:30:00,2923.341,2963.007,3720.497,3796.948,3732.365,3280.254,3023.151,3348.5090000000005,3280.254,2923.341,3193.7682999999997,3193.9525374364275
12:45:00,2911.092,2938.721,3735.085,3741.395,3723.07,3292.44,3020.92,3337.531857142857,3292.44,2911.092,3193.7682999999997,3194.261612435632
13:00:00,2917.73,2904.922,3814.752,3727.504,3695.819,3357.054,3070.379,3355.4514285714286,3357.054,2917.73,3215.4696923076926,3206.0762662256634
13:15:00,2893.361,2962.949,3830.889,3737.479,3717.146,3321.926,3106.007,3367.108142857143,3321.926,2893.361,3300.544954545455,3299.303445057378
13:30:00,2851.22,2966.418,3836.443,3762.714,3705.6,3322.824,3111.8,3365.2884285714285,3322.824,2851.22,3207.707419047619,3208.078620257077
13:45:00,2829.454,2934.788,3837.649,3782.053,3730.655,3340.147,3083.74,3362.640857142857,3340.147,2829.454,3185.3330000000005,3184.907467947482
14:00:00,2823.587,2930.297,3867.989,3781.447,3749.091,3325.362,3064.573,3363.192285714286,3325.362,2823.587,3185.3330000000005,3185.003998471911
14:15:00,2831.832,2975.593,3885.61,3795.706,3800.888,3237.402,3078.656,3372.2410000000004,3237.402,2831.832,3185.3330000000005,3184.9896923337847
14:30:00,2866.406,2969.789,3878.405,3779.246,3779.892,3221.344,3163.368,3379.7785714285715,3221.344,2866.406,3185.3330000000005,3185.046414289978
14:45:00,2828.272,2922.81,3785.102,3777.931,3738.557,3209.754,3151.22,3344.806571428572,3209.754,2828.272,3185.3330000000005,3185.026589462021
15:00:00,2832.813,2904.632,3784.425,3769.415,3741.281,3181.469,3161.131,3339.3094285714287,3181.469,2832.813,3185.3330000000005,3185.131774512853
15:15:00,2802.252,2881.442,3871.107,3770.628,3642.947,3166.092,3093.847,3318.3307142857147,3166.092,2802.252,3185.3330000000005,3184.9291967081076
15:30:00,2750.444,2837.284,3850.526,3743.692,3630.409,3181.009,3055.223,3292.6552857142856,3181.009,2750.444,3185.3330000000005,3184.7858515630132
15:45:00,2741.183,2848.632,3824.665,3723.451,3633.141,3147.325,2985.723,3272.0171428571434,3147.325,2741.183,3185.3330000000005,3184.981412253906
16:00:00,2711.54,2806.24,3779.02,3758.262,3612.478,3062.429,3006.488,3248.065285714286,3062.429,2711.54,3185.3330000000005,3185.392802944685
16:15:00,2762.508,2786.192,3695.558,3658.751,3571.182,3024.863,3022.193,3217.321,3024.863,2762.508,3185.3330000000005,3185.2465235275727
16:30:00,2747.534,2782.887,3649.697,3558.926,3408.79,3041.922,3050.413,3177.167,3050.413,2747.534,3182.0495,3185.2796046221506
16:45:00,2681.239,2819.584,3467.028,3443.496,3269.281,2988.48,3001.156,3095.752,3001.156,2681.239,3162.20475,3185.3420882557243
17:00:00,2722.679,2767.767,3377.68,3291.75,3198.658,2951.187,2982.002,3041.674714285714,2982.002,2722.679,3019.848947735192,3185.735231821129
17:15:00,2677.621,2783.217,3222.222,3149.954,3094.082,2918.843,2980.898,2975.2624285714287,2980.898,2677.621,3153.853114285714,3185.983227819897
17:30:00,2667.67,2759.97,3221.197,3116.768,3062.213,2910.722,3006.843,2963.626142857143,3006.843,2667.67,3153.853114285714,3175.398839846364
17:45:00,2653.316,2699.961,3178.706,3092.742,3023.697,2897.868,2936.007,2926.042428571429,2936.007,2653.316,3153.853114285714,3023.36511167924
18:00:00,2711.903,2796.226,3210.262,3215.104,3075.287,2970.733,2938.859,2988.3391428571426,2970.733,2711.903,3153.853114285714,3153.562415508023
18:15:00,2798.026,2936.573,3293.669,3305.978,3166.964,3074.48,3020.809,3085.2141428571426,3074.48,2798.026,3153.853114285714,3152.4889895038086
18:30:00,2981.559,3117.76,3501.38,3476.655,3329.399,3266.794,3154.5,3261.149571428571,3266.794,2981.559,3236.309978571429,3236.027056333017
18:45:00,3132.362,3227.831,3690.338,3722.158,3581.618,3438.743,3345.473,3448.3604285714287,3438.743,3132.362,3362.2579560439567,3362.0612213873947
19:00:00,3170.528,3329.575,3864.02,3783.197,3606.175,3539.659,3436.964,3532.874,3539.659,3170.528,3380.478942857143,3385.4630660944295
19:15:00,3186.44,3363.268,3849.773,3788.219,3640.439,3523.021,3510.412,3551.653142857143,3523.021,3186.44,3409.2055428571425,3396.7438372754705
19:30:00,3212.269,3395.887,3902.188,3872.262,3657.327,3499.544,3494.577,3576.2934285714286,3499.544,3212.269,3423.311842857143,3421.4577353710733
19:45:00,3208.392,3454.279,3918.628,3895.09,3683.698,3593.591,3552.002,3615.097142857143,3593.591,3208.392,3534.2474792626726,3509.7459694000017
20:00:00,3246.895,3469.821,3889.251,3946.828,3644.168,3529.186,3597.451,3617.6571428571433,3597.451,3246.895,3719.805418219462,3724.4050867188043
20:15:00,3252.3,3474.078,3885.325,3972.28,3625.698,3481.761,3584.213,3610.807857142857,3584.213,3252.3,3499.916969924812,3553.551220444604
20:30:00,3312.997,3398.088,3856.24,3953.446,3620.979,3408.587,3582.69,3590.4324285714283,3582.69,3312.997,3400.3418,3425.389859056596
20:45:00,3262.363,3402.412,3878.004,3907.694,3583.739,3428.697,3605.855,3581.252,3583.739,3262.363,3394.8269428571434,3392.8537754136373
21:00:00,3292.502,3470.301,3760.676,3807.322,3513.192,3359.913,3575.224,3539.875714285714,3513.192,3292.502,3394.8269428571434,3393.6181121062123
21:15:00,3303.194,3442.021,3692.249,3743.359,3466.38,3402.496,3569.284,3516.9975714285715,3466.38,3303.194,3396.8379428571434,3397.170437710994
21:30:00,3241.686,3445.04,3647.013,3721.338,3457.0,3370.619,3497.714,3482.9157142857143,3457.0,3241.686,3238.1494780219778,3237.0552667075895
21:45:00,3273.022,3383.287,3605.283,3629.862,3446.679,3373.458,3444.926,3450.9309999999996,3444.926,3273.022,3689.9432919254664,3691.673058509338
22:00:00,3261.26,3442.253,3571.16,3577.887,3394.62,3314.321,3429.196,3427.2424285714287,3429.196,3261.26,3426.6782460317463,3427.1449608277994
22:15:00,3223.885,3351.991,3441.494,3470.237,3292.533,3288.343,3379.62,3349.729,3351.991,3223.885,3352.439,3352.9368387294226
22:30:00,3204.431,3307.436,3428.457,3430.044,3327.531,3245.86,3317.717,3323.068,3317.717,3204.431,3296.3092499999993,3296.3061071150455
22:45:00,3133.792,3268.06,3332.99,3345.817,3217.709,3166.037,3264.568,3246.996142857143,3264.568,3133.792,3252.726946428571,3252.7845125936715
23:00:00,3075.46,3184.786,3277.98,3258.184,3185.425,3175.201,3205.737,3194.681857142857,3185.425,3075.46,3181.4050714285704,3181.406708704344
23:15:00,3063.878,3105.421,3086.97,3203.683,3078.406,3077.418,3180.053,3113.6898571428574,3086.97,3063.878,3106.3919857142864,3106.3899805436
23:30:00,2955.657,3069.501,3085.488,3137.559,3087.139,3071.763,3109.902,3073.8584285714282,3085.488,2955.657,3071.9372857142853,3071.903937999381
23:45:00,2925.527,3024.847,3025.214,3068.032,3025.148,2965.243,3043.302,3011.0447142857142,3025.148,2925.527,2995.8622261904766,2995.892920921319
