Timestamp,Times,S total_SJN,P total_SJN,Q total_SJN,pf total_SJN
2016-Feb-24 13:45:00.000,45:00.0,3888.143,3824.081,701.851,-98.355
2016-Feb-24 13:30:00.000,30:00.0,3825.438,3763.896,682.517,-98.393
2016-Feb-24 13:15:00.000,15:00.0,3789.083,3729.528,668.184,-98.431
2016-Feb-24 13:00:00.000,00:00.0,3811.988,3750.242,682.64,-98.381
2016-Feb-24 12:45:00.000,45:00.0,3796.115,3737.382,664.188,-98.455
2016-Feb-24 12:30:00.000,30:00.0,3785.729,3728.806,653.18,-98.497
2016-Feb-24 12:15:00.000,15:00.0,3787.142,3729.526,657.092,-98.481
2016-Feb-24 12:00:00.000,00:00.0,3775.161,3711.602,688.859,-98.318
2016-Feb-24 11:45:00.000,45:00.0,3723.73,3664.84,658.619,-98.421
2016-Feb-24 11:30:00.000,30:00.0,3705.54,3642.858,676.813,-98.311
2016-Feb-24 11:15:00.000,15:00.0,3683.58,3611.788,721.84,-98.055
2016-Feb-24 11:00:00.000,00:00.0,3640.821,3580.122,661.454,-98.333
2016-Feb-24 10:45:00.000,45:00.0,3623.89,3564.736,651.099,-98.37
2016-Feb-24 10:30:00.000,30:00.0,3594.93,3537.023,641.547,-98.392
2016-Feb-24 10:15:00.000,15:00.0,3529.774,3477.385,604.623,-98.518
2016-Feb-24 10:00:00.000,00:00.0,3457.693,3408.186,581.826,-98.571
2016-Feb-24 09:45:00.000,45:00.0,3425.598,3374.91,586.16,-98.522
2016-Feb-24 09:30:00.000,30:00.0,3379.449,3329.252,579.286,-98.517
2016-Feb-24 09:15:00.000,15:00.0,3325.554,3274.426,579.831,-98.466
2016-Feb-24 09:00:00.000,00:00.0,3256.216,3209.436,548.989,-98.566
2016-Feb-24 08:45:00.000,45:00.0,3119.497,3080.524,489.946,-98.755
2016-Feb-24 08:30:00.000,30:00.0,3042.188,3011.391,430.65,-98.989
2016-Feb-24 08:15:00.000,15:00.0,3027.107,2996.383,429.168,-98.987
2016-Feb-24 08:00:00.000,00:00.0,2951.688,2926.767,381.557,-99.159
2016-Feb-24 07:45:00.000,45:00.0,2978.223,2954.541,373.226,-99.206
2016-Feb-24 07:30:00.000,30:00.0,2989.896,2968.32,356.481,-99.282
2016-Feb-24 07:15:00.000,15:00.0,2971.11,2951.963,335.737,-99.357
2016-Feb-24 07:00:00.000,00:00.0,2907.806,2891.998,301.528,-99.459
2016-Feb-24 06:45:00.000,45:00.0,2938.087,2921.375,312.001,-99.432
2016-Feb-24 06:30:00.000,30:00.0,2949.885,2930.228,338.157,-99.334
2016-Feb-24 06:15:00.000,15:00.0,2959.605,2938.768,348.952,-99.299
2016-Feb-24 06:00:00.000,00:00.0,2865.821,2849.329,305.621,-99.428
