Timestamp,S total_SJN,P total_SJN,Q total_SJN,pf total_SJN,weekdays
2016-01-01,13161.9575625,12786.377322916667,3116.9885,0.9713229166666667,Friday
2016-01-02,13508.479479166666,13109.492020833333,3254.3311979166665,0.9702916666666667,Saturday
2016-01-03,13776.991812499999,13369.234760416666,3323.6685624999996,0.97025,Sunday
2016-01-04,14701.062895833333,14221.68465625,3713.898010416667,0.9673333333333334,Monday
2016-01-05,14761.200125000001,14257.893427083334,3815.2208541666664,0.96575,Tuesday
2016-01-06,14291.048156249999,13819.534333333335,3633.58609375,0.9668020833333334,Wednesday
2016-01-07,14298.189489583334,13850.67134375,3542.5890729166663,0.9683958333333332,Thursday
2016-01-08,14656.852416666667,14156.999447916665,3783.0901458333333,0.9659270833333333,Friday
2016-01-09,14372.599979166667,13921.2516875,3569.122677083333,0.9686458333333333,Saturday
2016-01-10,13879.697864583335,13453.76934375,3408.7238854166667,0.9691666666666666,Sunday
2016-01-11,14297.594343750001,13800.4573125,3727.202020833333,0.9650208333333333,Monday
2016-01-12,13952.910364583333,13513.906166666668,3459.6080104166667,0.9685520833333333,Tuesday
2016-01-13,14225.491750000001,13762.93715625,3585.378385416667,0.9674999999999999,Wednesday
2016-01-14,14162.665427083333,13695.774656250001,3595.5212916666665,0.9669583333333334,Thursday
2016-01-15,14364.8778125,13912.213989583333,3572.873552083333,0.9684583333333333,Friday
2016-01-16,13894.429864583333,13459.6839375,3443.4234687499998,0.9685833333333332,Saturday
2016-01-17,14337.106510416668,13892.659739583332,3532.6916979166667,0.9690208333333333,Sunday
2016-01-18,14325.767260416666,13869.215010416667,3576.04415625,0.9682499999999999,Monday
2016-01-19,14410.362302083333,13931.075385416667,3674.7183958333335,0.9666770833333334,Tuesday
2016-01-20,14228.436447916667,13760.723854166667,3607.466114583333,0.9670416666666667,Wednesday
2016-01-21,14150.206041666666,13688.521114583333,3576.3493333333336,0.9672083333333333,Thursday
2016-01-22,14306.9846875,13834.835343749999,3636.2386145833334,0.9669270833333333,Friday
2016-01-23,13674.659458333334,13247.06134375,3389.14184375,0.9685729166666667,Saturday
2016-01-24,13565.627302083332,13171.874010416666,3240.654072916667,0.9707916666666666,Sunday
2016-01-25,14369.31240625,13907.32084375,3606.6566770833338,0.96775,Monday
2016-01-26,14390.10928125,13926.531364583332,3614.6115000000004,0.9677083333333333,Tuesday
2016-01-27,14357.443729166667,13894.898135416666,3603.5768958333333,0.9678020833333333,Wednesday
2016-01-28,14334.049531249999,13866.825489583332,3618.226984375,0.96746875,Thursday
2016-01-29,14333.527614583334,13864.248395833332,3630.4124374999997,0.9672604166666666,Friday
2016-01-30,11681.930656249999,11332.102125,2822.3315625,0.96978125,Saturday
2016-01-31,11102.643885416668,10809.761833333334,2528.70203125,0.9735312500000001,Sunday
2016-02-01,11771.54634375,11439.015249999999,2770.7607604166665,0.9717812499999999,Monday
2016-02-02,11720.071125,11387.50896875,2765.34209375,0.97165625,Tuesday
2016-02-03,11752.574645833332,11419.864,2770.0037708333334,0.97165625,Wednesday
2016-02-04,11885.787770833333,11530.286270833334,2879.877697916667,0.9699895833333333,Thursday
2016-02-05,11526.339072916666,11212.375604166666,2657.5913125,0.9727604166666666,Friday
2016-02-06,11985.58753125,11681.528145833334,2678.470375,0.97453125,Saturday
2016-02-07,11771.79209375,11456.442687499999,2704.06546875,0.973125,Sunday
2016-02-08,11282.754020833332,10972.173375,2625.5551979166667,0.9722916666666667,Monday
2016-02-09,11444.360666666667,11135.841135416667,2635.129125,0.972875,Tuesday
2016-02-10,12901.741416666666,12517.386041666667,3113.32490625,0.9700937499999999,Wednesday
2016-02-11,12981.75915625,12603.56521875,3104.203322916667,0.9709479166666667,Thursday
2016-02-12,12810.667552083332,12424.382052083332,3115.3429166666665,0.9698958333333333,Friday
2016-02-13,12067.062625,11729.749104166667,2830.24659375,0.9720208333333332,Saturday
2016-02-14,11791.024895833332,11467.738489583333,2739.3055,0.9725625,Sunday
2016-02-15,12774.837145833333,12379.203364583334,3144.948270833333,0.9689791666666666,Monday
2016-02-16,12772.688333333334,12388.19321875,3102.2736874999996,0.969875,Tuesday
2016-02-17,14787.378104166666,14377.710739583332,3444.6236354166667,0.972125,Wednesday
2016-02-18,12879.138666666666,12489.941125,3134.1352604166664,0.9698333333333333,Thursday
2016-02-19,12756.329354166666,12375.1220625,3088.0733229166667,0.9701562499999999,Friday
2016-02-20,12293.874020833333,11939.106072916666,2928.0301562500003,0.9712187499999999,Saturday
2016-02-21,11920.320802083334,11596.25115625,2757.7136145833333,0.97271875,Sunday
2016-02-22,12914.602583333333,12522.146229166667,3153.04365625,0.9696250000000001,Monday
2016-02-23,13107.745416666667,12698.245625000001,3243.0227083333334,0.9687708333333332,Tuesday
2016-02-24,13168.730802083332,12759.590989583334,3250.5321875000004,0.96884375,Wednesday
2016-02-25,11278.121444444443,10941.528916666666,2728.724166666667,0.9700277777777777,Thursday
