,Q-JW3-MON,Q-JW3-TUE,Q-JW3-WED,Q-JW3-THU,Q-JW3-FRI,Q-JW3-SAT,Q-JW3-SUN
00:00:00,3092.142,3170.661,3406.912,3190.251,3528.553,3463.318,3272.299
00:15:00,3050.121,3166.872,3356.628,3102.221,3344.401,3324.947,3161.667
00:30:00,3055.657,3203.692,3377.105,3139.184,3328.633,3304.141,3164.876
00:45:00,3108.632,3203.384,3411.22,3026.66,3373.989,3213.586,3125.861
01:00:00,3050.286,2989.328,3311.678,3044.54,3289.767,3237.797,3124.78
01:15:00,3029.606,2966.554,3356.007,3013.526,3325.978,3171.875,3139.045
01:30:00,2998.489,3058.673,3201.139,3109.468,3338.603,3204.829,3149.672
01:45:00,2931.27,3061.842,3287.804,3112.397,3401.027,3179.082,3104.056
02:00:00,2901.985,3006.6,3209.776,3059.49,3355.952,3168.004,3034.502
02:15:00,2917.953,2986.244,3212.571,3052.468,3383.172,3137.989,3051.164
02:30:00,2890.19,3046.791,3209.24,3078.051,3257.968,3042.012,3100.968
02:45:00,2844.703,2929.631,3195.58,3099.878,3190.079,3067.603,3065.965
03:00:00,2830.474,3020.118,3070.667,3006.996,3173.069,2981.876,2999.394
03:15:00,2853.51,2952.338,3064.878,3082.333,3000.383,2934.261,3051.385
03:30:00,2850.909,2941.603,3146.145,3071.174,3096.24,2953.991,2991.507
03:45:00,2902.713,2946.286,3073.506,2976.334,2927.221,3015.34,2941.633
04:00:00,2875.148,2924.655,3040.856,2985.632,2993.203,3043.184,3004.741
04:15:00,2991.815,2963.377,3148.623,3079.259,3041.552,2954.298,2961.294
04:30:00,2888.022,2866.089,3116.883,2979.969,2974.464,3027.529,2949.312
04:45:00,2871.813,2964.234,3133.666,2991.972,2910.586,2946.142,2920.601
05:00:00,2852.527,2933.229,3145.673,3055.399,2947.542,2982.138,3003.459
05:15:00,3013.457,3079.179,3258.363,3169.2,3172.675,3033.189,2929.832
05:30:00,3005.05,3162.618,3234.919,3072.103,3064.899,3021.294,2941.786
05:45:00,2975.78,3134.992,3227.256,3138.212,3192.704,3019.622,2941.961
06:00:00,3101.933,3128.072,3240.343,3160.65,3275.474,3066.112,3004.575
06:15:00,2924.138,3010.203,3217.931,2998.4,3130.834,3175.804,2837.18
06:30:00,2821.368,2843.855,3011.523,2871.733,2790.287,2749.635,2469.455
06:45:00,2717.57,2713.069,2890.698,2846.033,2829.854,2815.329,2341.051
07:00:00,2803.319,2814.552,2910.591,2770.389,2874.525,2801.666,2419.406
07:15:00,2821.289,2799.609,2875.32,2931.636,3030.051,2853.104,2526.818
07:30:00,2838.304,2855.592,3065.401,2917.989,3069.441,2742.406,2645.593
