,P-FW2-MON,P-FW2-TUE,P-FW2-WED,P-FW2-THU,P-FW2-FRI,P-FW2-SAT,P-FW2-SUN
00:00:00,11327.297,10999.537,11513.81,11489.015,11701.08,11364.335,11348.799
00:15:00,11190.706,10745.427,11317.238,11401.124,11562.429,11140.095,11302.831
00:30:00,11043.86,10562.678,10968.642,11174.746,11322.723,11128.996,11116.391
00:45:00,10775.37,10569.628,10897.337,11069.452,11085.125,10788.105,10911.623
01:00:00,10671.815,10404.667,10630.875,10951.057,10815.52,10666.735,10651.333
01:15:00,10571.804,10271.906,10520.628,10802.399,10734.12,10621.312,10602.458
01:30:00,10489.75,10041.812,10551.984,10737.683,10567.46,10497.288,10371.644
01:45:00,10295.661,10091.997,10340.551,10580.48,10536.386,10347.995,10252.908
02:00:00,10244.167,9989.872,10219.331,10529.017,10437.574,10281.118,10196.341
02:15:00,10075.692,9856.047,10086.648,10347.773,10391.188,10118.305,10072.312
02:30:00,9978.846,9937.096,10127.269,10311.289,10172.831,10166.948,10058.326
02:45:00,9872.346,9805.085,10004.711,10313.836,10210.375,10028.838,9873.275
03:00:00,9892.633,9690.212,9954.726,10117.135,10045.097,9938.106,9704.792
03:15:00,9849.815,9624.511,9921.295,10115.365,10027.834,9860.795,9718.616
03:30:00,9782.538,9429.142,9886.473,10032.25,9833.623,9811.396,9550.36
03:45:00,9627.986,9569.003,9858.752,10014.208,9893.453,9689.774,9532.867
04:00:00,9649.413,9429.804,9762.373,9957.006,9909.785,9697.473,9533.732
04:15:00,9616.621,9508.483,9823.624,9994.382,9995.928,9724.826,9501.623
04:30:00,9573.852,9457.953,9878.99,10078.178,10085.073,9681.736,9518.359
04:45:00,9709.312,9490.055,9882.953,10227.853,10215.391,9623.524,9465.436
05:00:00,9651.653,9472.55,10185.351,10434.712,10360.137,9615.592,9503.081
05:15:00,9542.207,9481.052,10286.121,10654.362,10456.28,9641.3,9340.631
05:30:00,9576.13,9529.022,10354.001,10825.879,10878.326,9679.036,9693.863
05:45:00,9558.021,9695.361,10682.713,10988.011,10995.135,9743.386,9636.423
06:00:00,9669.951,9754.399,10829.7,11304.598,11341.65,9837.402,9723.191
06:15:00,9343.688,9357.473,10887.55,11521.275,11529.012,9644.061,9487.164
