,Q-JW1-MON,Q-JW1-TUE,Q-JW1-WED,Q-JW1-THU,Q-JW1-FRI,Q-JW1-SAT,Q-JW1-SUN
00:00:00,376.136,360.229,423.753,358.349,368.057,320.969,402.802
00:15:00,363.539,365.572,400.81,382.652,346.004,321.771,370.39
00:30:00,369.119,378.224,348.462,337.533,322.387,304.677,357.739
00:45:00,345.866,345.822,373.754,369.346,321.478,293.27,342.494
01:00:00,383.926,385.343,344.136,337.277,317.654,291.497,353.34
01:15:00,362.679,369.506,363.053,338.543,305.708,270.879,335.564
01:30:00,380.188,380.253,342.942,362.459,317.671,313.218,376.569
01:45:00,367.919,356.282,335.671,345.997,266.113,298.518,343.699
02:00:00,354.658,366.736,340.802,343.786,311.42,289.744,331.451
02:15:00,358.254,340.902,312.423,344.247,278.796,290.373,315.417
02:30:00,351.967,357.597,326.318,322.284,282.963,282.693,333.512
02:45:00,340.306,335.36,324.194,345.664,274.353,287.81,335.866
03:00:00,318.626,357.971,330.798,322.191,291.778,279.033,330.876
03:15:00,335.822,329.702,345.998,316.718,289.956,274.903,318.433
03:30:00,298.176,356.009,323.554,348.408,256.286,271.586,322.093
03:45:00,294.69,324.871,327.497,302.777,275.87,270.833,333.076
04:00:00,308.699,327.216,325.122,314.197,270.551,260.89,308.189
04:15:00,283.107,322.344,326.966,313.779,279.318,265.58,343.747
04:30:00,300.828,341.478,338.898,346.88,292.729,278.132,306.853
04:45:00,326.872,349.184,317.379,311.754,258.821,254.757,322.659
05:00:00,313.956,320.586,297.389,312.449,254.769,249.041,329.291
05:15:00,330.012,333.068,309.552,315.248,262.334,264.31,297.224
05:30:00,339.9,357.871,327.364,265.929,283.35,261.497,308.454
05:45:00,311.31,341.903,338.909,276.533,248.3,288.852,314.696
06:00:00,306.117,320.132,308.454,311.021,251.963,274.283,319.142
06:15:00,331.968,366.796,306.557,301.122,295.419,258.401,265.368
06:30:00,299.681,285.032,290.43,258.803,229.744,255.88,235.716
06:45:00,303.05,315.396,282.641,245.286,254.426,227.446,241.904
07:00:00,309.897,337.679,329.146,250.452,229.941,229.263,235.649
07:15:00,281.852,332.437,360.828,296.976,245.592,237.464,250.146
07:30:00,303.602,368.68,359.097,301.719,369.764,233.61,251.914
07:45:00,320.193,417.171,416.937,344.517,445.58,275.288,285.233
08:00:00,403.274,458.94,477.144,390.203,495.314,308.656,282.66
08:15:00,438.114,499.872,499.551,408.823,580.063,359.102,309.208
08:30:00,476.1,520.594,558.346,487.919,606.121,372.446,343.13
08:45:00,483.32,527.938,592.782,494.284,594.996,478.389,351.489
09:00:00,490.143,579.31,608.882,511.421,634.836,484.91,348.944
09:15:00,554.449,567.476,603.626,516.632,652.961,526.943,327.1
09:30:00,639.092,588.868,631.23,507.226,686.837,528.256,334.384
09:45:00,643.768,575.628,615.637,498.252,687.274,548.88,333.038
10:00:00,643.237,630.332,619.606,543.744,668.847,526.452,365.694
10:15:00,633.692,619.248,592.972,530.882,682.704,547.047,440.963
10:30:00,651.34,626.857,604.129,557.771,701.777,562.246,424.456
10:45:00,664.809,633.626,595.044,559.503,710.23,637.036,426.118
11:00:00,736.483,640.121,664.754,563.376,731.019,639.911,421.589
11:15:00,708.731,645.106,636.398,534.972,732.444,645.157,434.824
11:30:00,710.053,633.234,634.333,553.352,742.487,645.586,471.308
11:45:00,698.101,647.806,605.109,558.734,747.55,653.252,456.674
12:00:00,696.504,663.578,598.187,559.108,715.969,644.828,465.338
12:15:00,677.651,660.108,599.153,569.681,738.833,636.271,461.91
12:30:00,729.433,671.999,618.732,563.806,739.4,637.808,459.807
12:45:00,692.341,657.794,600.122,563.103,706.558,647.813,468.972
13:00:00,715.04,668.694,628.614,563.881,721.234,634.519,478.273
13:15:00,709.891,633.702,601.93,563.509,732.383,630.024,470.996
13:30:00,722.383,691.071,604.4,561.75,743.244,642.624,475.304
13:45:00,737.947,705.61,619.136,545.53,751.634,652.153,499.781
14:00:00,740.624,681.67,617.657,545.479,771.711,616.9,507.554
14:15:00,731.204,692.963,580.18,552.486,748.266,631.826,490.132
14:30:00,717.881,669.67,584.694,534.411,747.311,610.159,472.897
14:45:00,697.769,671.359,555.084,555.993,713.549,610.121,488.399
15:00:00,701.024,692.363,560.748,534.162,734.021,621.876,468.193
15:15:00,708.682,704.748,580.631,533.242,713.16,590.58,467.522
15:30:00,692.113,721.486,581.961,553.59,733.652,586.81,471.759
15:45:00,675.663,705.813,601.982,541.281,738.717,582.998,476.061
16:00:00,671.804,702.398,594.629,532.313,747.658,619.04,488.041
16:15:00,651.46,637.579,560.96,530.132,737.911,624.476,474.592
16:30:00,662.606,648.289,553.429,538.681,736.126,612.299,466.902
16:45:00,513.104,581.766,507.362,497.532,654.056,604.862,465.122
17:00:00,455.278,572.674,498.754,455.857,520.914,566.182,442.412
17:15:00,441.043,557.446,475.994,453.706,504.503,570.199,430.997
17:30:00,431.38,507.197,470.378,442.278,506.167,588.95,430.988
17:45:00,387.857,475.51,465.943,381.442,450.518,515.403,422.866
18:00:00,391.311,485.182,493.087,398.929,452.334,500.891,398.358
18:15:00,433.46,522.43,523.922,426.871,464.17,520.562,444.78
18:30:00,427.858,520.213,504.682,448.699,498.58,524.394,477.471
18:45:00,425.261,519.772,505.708,424.483,478.33,494.76,454.472
19:00:00,423.404,514.756,489.353,419.533,461.878,487.718,460.492
19:15:00,440.713,479.3,484.509,409.01,465.869,491.038,457.816
19:30:00,421.593,492.112,493.163,398.782,462.058,513.777,448.512
19:45:00,438.813,509.263,478.549,404.203,474.852,509.911,462.004
20:00:00,430.461,518.142,489.547,405.596,461.609,503.799,473.428
20:15:00,424.558,533.28,479.028,387.348,472.153,536.02,464.427
20:30:00,416.27,529.324,487.554,408.284,475.778,515.972,476.657
20:45:00,420.06,502.237,492.336,403.326,485.12,532.164,467.168
21:00:00,441.508,534.757,491.896,378.103,469.983,531.122,450.621
21:15:00,422.923,529.38,491.079,395.612,458.861,520.647,431.254
21:30:00,424.823,499.258,534.34,409.088,501.392,545.79,459.503
21:45:00,458.49,466.84,400.92,402.899,500.796,509.397,451.38
22:00:00,455.299,450.663,409.977,398.447,487.423,518.113,456.223
22:15:00,425.493,451.247,400.442,395.683,508.16,423.673,450.148
22:30:00,414.087,450.377,378.818,405.431,521.683,422.122,420.122
22:45:00,400.17,421.966,404.43,381.062,388.909,400.651,429.668
23:00:00,374.276,480.131,366.429,392.594,381.772,427.474,457.388
23:15:00,394.536,430.951,360.604,372.056,345.331,375.94,430.252
23:30:00,383.209,449.998,351.537,387.984,336.757,401.116,448.362
23:45:00,384.464,429.397,369.301,427.559,356.48,382.072,426.859
