,Q-JW1-TUE,Q-JW2-TUE,Q-JW3-TUE,Q-JW4-TUE,F-JW1-TUE,F-JW2-TUE,F-JW3-TUE,F-JW4-TUE
74,4433.923,3930.053,4197.212,4398.867,3291.598,2945.138,3380.823,3443.201
75,4529.884,3902.978,4222.971,4386.414,3222.798,2923.397,3270.238,3571.756
76,4360.853,3920.208,4149.759,4233.584,3307.925,2908.925,3448.29,3572.703
77,4226.281,3781.897,4101.421,4172.847,3214.996,2912.32,3397.006,3521.827
78,4278.111,3809.684,4053.928,4172.406,3198.732,2913.603,3360.754,3502.722
79,4280.562,3817.707,4030.106,4171.493,3222.045,2878.639,3282.178,3458.632
80,4328.442,3795.4,4018.431,4164.324,3234.967,2838.774,3412.78,3474.616
81,4262.54,3856.831,4053.02,4145.559,3227.005,2893.702,3400.877,3461.408
82,4223.335,3793.155,4013.273,4096.031,3176.512,2841.695,3365.694,3373.213
83,4153.636,3669.864,4036.949,4076.452,2776.751,2859.328,3212.429,3382.579
84,4140.039,3628.545,4009.433,3994.98,2829.833,2883.787,3226.17,3397.996
85,4039.451,3600.126,3998.081,3769.149,2797.211,2859.6,3223.782,3393.359
86,3829.961,3564.976,3992.429,3755.392,2809.181,2898.616,3083.375,3093.858
87,3906.533,3585.815,3629.245,3585.828,2865.257,2907.052,3125.054,3190.46
88,3869.961,3565.115,3638.763,3625.648,2750.087,2864.879,3103.191,3222.767
89,3861.588,3338.139,3669.977,3332.013,2737.722,2899.023,3147.707,3171.95
90,3674.744,3229.33,3649.258,3221.911,2710.468,2831.231,3056.333,3127.261
91,3825.183,3253.153,3534.454,3306.734,2733.742,2881.47,2975.547,3132.28
92,3817.736,3110.631,3468.049,3260.934,2674.769,3011.815,2927.3,3161.38
93,3722.566,3190.696,3447.099,3276.975,2711.518,2906.843,3008.308,3158.954
94,3739.461,3154.919,3398.145,3239.502,2668.622,2918.021,2879.043,3135.286
95,3704.047,3155.706,3466.763,3156.632,2571.534,2931.993,2904.422,3123.686
