,P-JW1-MON,P-JW2-MON,P-JW3-MON,P-JW4-MON,P-FW1-MON,P-FW2-MON,P-FW3-MON,P-FW4-MON
05:00:00,2657.062,2515.82,2564.088,2481.585,1867.098,2447.454,2525.481,2557.059
05:15:00,2743.679,2556.37,2629.996,2512.61,1863.313,2403.976,2560.375,2587.234
05:30:00,2783.719,2602.16,2671.329,2603.969,1900.727,2396.312,2625.369,2627.254
05:45:00,2808.969,2622.197,2713.637,2604.084,1897.286,2409.183,2712.372,2711.509
06:00:00,2875.862,2712.461,2795.564,2719.105,2070.36,2447.342,2795.3,2798.777
06:15:00,2958.544,2760.048,2828.996,2771.321,2059.901,2441.389,2797.423,2801.867
06:30:00,2983.107,2806.494,2739.064,2804.594,2069.422,2267.363,2823.584,2767.9
06:45:00,2995.138,2756.585,2704.646,2684.078,1994.15,2189.509,2751.471,2748.358
07:00:00,2959.72,2756.379,2743.234,2678.028,1928.069,2154.269,2729.625,2809.557
07:15:00,2964.072,2735.56,2783.938,2722.56,1993.594,2206.907,2812.577,2797.33
07:30:00,2971.983,2794.918,2832.663,2809.649,1972.131,2203.933,2851.893,2828.196
07:45:00,2912.538,2839.01,2901.835,2792.801,2017.498,2260.993,2894.146,2816.085
08:00:00,2991.308,2867.014,2937.23,2776.264,2011.261,2307.241,2940.783,2815.508
08:15:00,3079.748,2880.967,2873.197,2862.021,2014.354,2324.635,2956.642,2923.492
08:30:00,3183.425,2961.766,2971.042,2945.511,2056.686,2406.885,3097.264,3005.947
08:45:00,3210.632,3053.119,2996.163,3073.199,2148.16,2380.304,3199.408,3158.587
09:00:00,3234.496,3126.393,2997.776,3101.977,2151.663,2446.552,3200.061,3219.929
09:15:00,3276.176,3193.397,3041.752,3172.893,2190.087,2533.449,3205.773,3272.683
09:30:00,3347.807,3244.072,3117.51,3233.65,2204.312,2601.629,3280.061,3326.859
09:45:00,3383.519,3286.781,3225.259,3264.473,2217.244,2578.878,3340.054,3363.521
10:00:00,3397.546,3326.38,3292.317,3286.466,2231.527,2584.338,3298.942,3423.003
10:15:00,3414.469,3361.783,3345.968,3331.943,2285.385,2696.281,3377.828,3503.584
10:30:00,3430.462,3366.198,3386.151,3387.087,2353.721,2729.822,3469.878,3529.733
10:45:00,3452.307,3384.58,3407.607,3391.314,2355.371,2780.558,3495.972,3583.9
11:00:00,3567.369,3355.35,3437.997,3436.438,2346.897,2778.889,3540.539,3609.718
11:15:00,3545.566,3347.706,3441.075,3489.757,2320.982,2827.818,3570.912,3663.756
11:30:00,3565.456,3319.737,3433.232,3520.128,2376.578,2822.544,3541.575,3675.378
11:45:00,3543.102,3430.269,3466.27,3500.668,2447.962,2848.058,3548.048,3673.23
12:00:00,3547.702,3483.458,3484.95,3527.869,2472.297,2848.581,3629.931,3665.487
12:15:00,3575.754,3524.002,3474.125,3470.684,2458.847,2902.8,3644.308,3672.825
12:30:00,3587.615,3522.494,3505.773,3492.382,2461.159,2923.341,3627.289,3726.152
12:45:00,3502.578,3585.506,3558.214,3542.921,2474.788,2911.092,3645.011,3724.348
13:00:00,3602.843,3577.102,3554.927,3573.308,2462.088,2917.73,3673.441,3742.304
13:15:00,3600.387,3598.214,3543.283,3568.329,2420.246,2893.361,3676.615,3687.258
13:30:00,3616.279,3624.756,3606.75,3577.441,2408.125,2851.22,3634.476,3754.611
13:45:00,3690.964,3608.125,3622.484,3632.776,2433.274,2829.454,3683.816,3761.956
14:00:00,3677.049,3621.656,3611.607,3658.963,2430.217,2823.587,3685.032,3752.813
14:15:00,3606.957,3593.291,3617.347,3667.646,2466.125,2831.832,3659.791,3776.175
14:30:00,3555.841,3580.147,3656.537,3681.287,2455.521,2866.406,3617.803,3814.756
14:45:00,3590.508,3556.367,3639.516,3692.806,2485.125,2828.272,3635.312,3842.655
15:00:00,3541.165,3543.672,3642.814,3632.246,2500.638,2832.813,3628.888,3843.65
15:15:00,3540.541,3494.926,3695.308,3623.325,2476.478,2802.252,3686.034,3802.413
15:30:00,3541.209,3514.402,3736.38,3656.665,2487.442,2750.444,3672.585,3756.762
15:45:00,3555.214,3518.171,3705.222,3618.171,2494.194,2741.183,3733.013,3796.206
16:00:00,3608.916,3502.218,3689.427,3585.87,2504.941,2711.54,3641.428,3774.274
16:15:00,3564.467,3406.593,3613.09,3534.199,2440.684,2762.508,3556.279,3690.756
16:30:00,3518.773,3334.878,3425.021,3498.369,2404.662,2747.534,3448.87,3593.764
16:45:00,3285.987,3198.537,3341.253,3319.849,2288.484,2681.239,3305.142,3428.29
17:00:00,3177.694,3086.481,3185.11,3277.557,2267.56,2722.679,3175.409,3263.319
17:15:00,3118.917,3057.622,3132.456,3135.612,2292.516,2677.621,3093.46,3153.202
17:30:00,3106.037,3034.302,3016.761,3037.391,2335.531,2667.67,3048.082,3149.791
17:45:00,3112.75,3010.566,3088.047,3053.648,2292.771,2653.316,3013.598,3149.951
18:00:00,3208.772,3126.288,3127.839,3130.187,2388.229,2711.903,3098.432,3253.764
18:15:00,3368.754,3338.796,3241.553,3207.25,2454.484,2798.026,3234.11,3309.4
18:30:00,3545.549,3523.242,3452.353,3436.017,2601.865,2981.559,3383.348,3468.862
18:45:00,3628.865,3538.961,3602.484,3581.699,2663.207,3132.362,3613.181,3708.964
19:00:00,3674.599,3630.577,3652.867,3630.068,2693.625,3170.528,3723.319,3784.266
19:15:00,3720.168,3617.151,3693.687,3688.47,2711.53,3186.44,3761.633,3849.774
19:30:00,3708.692,3690.838,3760.043,3698.533,2744.268,3212.269,3791.822,3886.461
