,P-JW2-MON,P-JW2-TUE,P-JW2-WED,P-JW2-THU,P-JW2-FRI,P-JW2-SAT,P-JW2-SUN
00:00:00,12882.394,12653.173,12287.906,12799.288,12435.938,12999.328,12708.511
00:15:00,12714.635,12348.687,12005.175,12700.407,12313.23,12786.743,12534.335
00:30:00,12476.851,12179.748,11795.19,12440.542,12223.479,12604.169,12358.415
00:45:00,12314.395,12107.46,11656.639,12324.688,11968.917,12348.617,12106.403
01:00:00,12120.047,11918.682,11532.893,12060.725,11881.385,12254.184,12146.155
01:15:00,11947.317,11616.078,11313.622,11918.488,11856.862,11967.361,11977.938
01:30:00,11757.622,11494.547,11187.82,11788.019,11681.321,11927.236,11789.365
01:45:00,11684.349,11373.473,11166.973,11633.935,11668.142,11751.074,11641.384
02:00:00,11551.421,11191.491,11078.902,11541.108,11646.225,11570.137,11447.448
02:15:00,11416.41,11340.778,10931.715,11398.795,11423.43,11418.243,11393.808
02:30:00,11330.569,11073.835,10864.499,11403.241,11418.203,11329.812,11163.827
02:45:00,11239.211,11063.169,10795.333,11291.223,11344.19,11285.138,11045.465
03:00:00,11092.937,11095.557,10687.769,11198.773,11292.199,11077.172,10994.114
03:15:00,11162.15,11074.084,10658.175,11198.784,11191.458,10954.026,10831.858
03:30:00,10985.954,10918.119,10661.294,11060.463,11203.209,10905.108,10827.813
03:45:00,11047.404,10908.421,10657.799,11002.145,11070.08,10773.435,10752.856
04:00:00,11082.277,10925.39,10633.828,11069.685,11067.702,10853.708,10688.01
04:15:00,11147.405,10958.076,10743.712,11202.649,11095.55,10737.72,10616.142
04:30:00,11210.789,10914.202,10840.225,11244.144,11313.613,10738.205,10633.141
04:45:00,11290.167,11224.368,10888.937,11425.014,11476.156,10828.863,10663.718
05:00:00,11796.197,11462.719,11242.31,11639.738,11701.029,10925.977,10740.619
05:15:00,12016.381,12039.978,11523.1,12132.968,12168.945,10938.282,10852.462
05:30:00,12287.713,12162.658,11839.562,12246.82,12540.512,10953.561,10854.1
05:45:00,12712.377,12467.048,12335.047,12608.444,12891.935,10942.086,10818.808
06:00:00,13054.072,12893.487,12622.64,12974.429,13096.538,11018.438,10902.974
06:15:00,13165.668,13161.696,12627.77,13175.093,13222.835,10778.356,11151.13
06:30:00,13015.857,13033.487,12617.183,12972.676,13260.304,10598.709,10874.422
06:45:00,12827.186,12831.209,12633.831,12825.598,13120.752,10431.66,12577.714
07:00:00,12619.917,12601.748,12594.116,12695.583,13315.649,10715.997,12757.048
07:15:00,12709.458,12456.27,12527.59,12822.179,13170.49,10842.026,13073.098
07:30:00,12652.539,12449.323,12287.337,12637.683,13088.708,11205.581,13212.107
07:45:00,12648.114,12468.445,12353.032,12364.534,12856.444,11555.513,13572.496
08:00:00,12377.15,12637.991,12023.433,12565.753,12920.965,11807.374,13968.748
08:15:00,12719.532,9563.521,12108.352,12842.792,12944.156,12526.373,14207.61
08:30:00,12944.077,9567.377,12710.999,13018.875,13097.501,12773.292,14713.763
08:45:00,13116.634,9727.939,12811.413,13164.062,13260.317,12727.878,14790.248
09:00:00,13435.462,9780.206,13118.31,13478.07,13738.911,13050.854,15089.494
09:15:00,13565.044,9919.531,13158.404,13572.648,13811.637,13350.806,15295.129
09:30:00,13889.472,13541.232,13238.079,13602.025,13952.799,13352.499,15207.174
09:45:00,13964.45,13849.101,13541.672,13823.319,14131.487,13519.646,15600.159
