,Q-JW1-MON,Q-JW1-TUE,Q-JW1-WED,Q-JW1-THU,Q-JW1-FRI,Q-JW1-SAT,Q-JW1-SUN,Q-JW2-MON,Q-JW2-TUE,Q-JW2-WED,Q-JW2-THU,Q-JW2-FRI,Q-JW2-SAT,Q-JW2-SUN,Q-JW3-MON,Q-JW3-TUE,Q-JW3-WED,Q-JW3-THU,Q-JW3-FRI,Q-JW3-SAT,Q-JW3-SUN,Q-JW4-MON,Q-JW4-TUE,Q-JW4-WED,Q-JW4-THU,Q-JW4-FRI,Q-JW4-SAT,Q-JW4-SUN
04:15:00,3055.332,3209.169,3134.809,3182.966,2983.582,3032.832,3087.462,3219.742,2966.167,2841.538,2980.691,2945.384,2884.162,2852.406,2991.815,2963.377,3148.623,3079.259,3041.552,2954.298,2961.294,2961.494,2997.938,2878.027,2985.741,2977.327,3138.072,2321.875
04:30:00,3008.512,3249.425,3221.944,3179.045,3105.301,2977.18,3033.606,3223.021,2912.252,2814.678,3008.73,2970.105,2892.998,2872.047,2888.022,2866.089,3116.883,2979.969,2974.464,3027.529,2949.312,3076.271,3038.135,2928.005,3027.62,3012.297,2991.074,2358.562
04:45:00,3203.546,3261.589,3144.231,3167.684,3059.49,3039.664,3052.679,3151.165,2915.809,2749.256,3043.2,2942.303,2932.153,2819.302,2871.813,2964.234,3133.666,2991.972,2910.586,2946.142,2920.601,3043.955,3038.216,2893.388,2996.13,3084.076,3110.176,2269.16
05:00:00,3259.67,3342.839,3191.727,3149.377,3123.356,2948.182,3040.337,3292.844,2977.263,2853.205,3014.527,2993.949,2916.116,2822.363,2852.527,2933.229,3145.673,3055.399,2947.542,2982.138,3003.459,3077.765,3158.754,2956.388,3137.948,3128.308,3105.052,2262.719
05:15:00,3272.713,3374.324,3378.112,3287.444,3127.755,3030.144,3018.417,3208.112,3105.481,2816.754,3161.985,3128.348,2874.799,2936.984,3013.457,3079.179,3258.363,3169.2,3172.675,3033.189,2929.832,3104.857,3097.425,3035.696,3116.203,3137.168,3128.441,2181.421
05:30:00,3395.66,3364.228,3380.299,3183.993,3276.116,2993.196,3019.357,3279.135,3067.194,2796.44,3133.283,3203.033,2888.394,2890.66,3005.05,3162.618,3234.919,3072.103,3064.899,3021.294,2941.786,3132.419,3155.089,3152.579,3117.978,3235.242,3190.286,2188.491
05:45:00,3374.555,3377.392,3356.446,3224.488,3247.876,3016.697,3028.734,3332.833,3111.05,2866.841,3145.987,3228.606,2929.48,2859.017,2975.78,3134.992,3227.256,3138.212,3192.704,3019.622,2941.961,3196.473,3110.746,3120.079,3206.702,3280.381,3313.38,2132.844
06:00:00,3364.908,3397.073,3269.224,3206.744,3305.744,2947.816,2966.744,3331.693,3069.443,2982.447,3222.616,3183.558,2869.898,2841.21,3101.933,3128.072,3240.343,3160.65,3275.474,3066.112,3004.575,3257.835,3036.27,3113.475,3200.228,3267.612,3328.709,2124.278
06:15:00,3224.403,3244.717,3226.0,3094.57,3069.815,2803.703,2803.847,3138.528,2973.669,2869.098,3119.446,2996.545,2698.048,3003.226,2924.138,3010.203,3217.931,2998.4,3130.834,3175.804,2837.18,3163.627,3149.699,3016.929,3174.649,3004.283,3314.769,2096.095
06:30:00,3066.961,3112.031,2975.733,2978.877,2968.424,2746.803,2632.545,2982.162,2881.596,2641.059,2827.875,2948.716,2394.581,2675.844,2821.368,2843.855,3011.523,2871.733,2790.287,2749.635,2469.455,2817.246,2863.245,2747.199,2874.455,2776.527,3018.499,1832.651
