,Q-FW3-MON,Q-FW3-TUE,Q-FW3-WED,Q-FW3-THU,Q-FW3-FRI,Q-FW3-SAT,Q-FW3-SUN
00:00:00,415.114,383.309,396.148,380.976,352.363,358.689,369.659
00:15:00,379.622,366.882,394.041,384.403,339.913,366.534,358.853
00:30:00,375.957,346.831,400.063,382.793,349.722,402.498,382.409
00:45:00,355.807,356.157,383.512,361.019,297.413,381.737,360.511
01:00:00,387.342,328.819,392.44,361.356,301.076,363.024,362.006
01:15:00,357.213,331.653,361.361,323.61,305.348,374.261,325.361
01:30:00,367.791,336.502,378.723,324.57,296.404,383.736,352.372
01:45:00,315.646,308.811,370.851,309.428,301.342,290.278,332.6
02:00:00,299.08,314.333,352.264,296.956,288.642,295.75,321.617
02:15:00,318.818,326.292,345.554,288.006,288.434,299.157,319.688
02:30:00,303.069,335.184,315.652,288.808,258.871,293.209,310.11
02:45:00,300.671,295.271,338.702,285.553,290.474,285.243,327.467
03:00:00,307.291,297.251,339.211,301.778,262.956,286.983,321.856
03:15:00,281.422,302.828,324.694,276.653,279.266,288.721,271.787
03:30:00,286.014,287.769,315.37,283.06,262.523,273.407,276.859
03:45:00,276.164,313.388,321.43,302.968,282.678,289.544,251.436
04:00:00,291.912,314.746,334.547,280.028,269.618,267.951,267.101
04:15:00,280.777,356.548,325.672,272.38,291.519,287.087,261.287
04:30:00,301.183,332.991,329.491,287.703,309.711,240.148,238.991
04:45:00,326.85,343.312,314.027,273.647,266.551,284.396,252.033
05:00:00,264.731,305.313,334.982,268.226,269.132,256.728,246.46
05:15:00,271.954,319.84,330.538,248.387,249.289,256.659,257.196
05:30:00,267.66,309.423,300.924,237.657,251.584,272.989,223.13
05:45:00,271.938,346.38,314.382,238.826,276.146,252.939,236.913
06:00:00,303.31,333.303,317.306,249.576,263.961,259.332,224.267
06:15:00,302.129,342.284,396.954,325.182,282.248,253.418,247.498
06:30:00,309.876,313.662,325.204,287.751,230.5,218.954,168.167
06:45:00,272.757,332.526,311.466,251.334,238.647,154.293,122.212
07:00:00,251.956,304.793,270.576,215.323,236.228,131.973,128.986
07:15:00,281.398,330.944,275.579,213.813,289.428,163.327,140.096
07:30:00,289.103,338.451,366.009,251.978,277.556,156.41,138.382
07:45:00,356.921,376.857,396.85,302.42,330.512,217.656,174.538
08:00:00,415.307,423.786,417.041,327.513,384.547,274.75,240.824
08:15:00,436.171,484.513,439.563,412.287,447.274,346.598,232.796
08:30:00,473.849,536.566,467.781,457.081,497.839,372.918,249.401
08:45:00,546.231,564.15,559.689,515.97,533.612,390.38,280.382
09:00:00,533.886,589.284,568.4,520.228,535.107,429.272,285.773
09:15:00,530.104,585.379,615.492,527.566,588.088,428.124,315.877
09:30:00,569.519,585.203,623.661,566.718,579.193,451.864,359.181
09:45:00,605.669,606.729,606.096,538.25,569.152,459.141,304.358
