,Q-FW2-MON,Q-FW2-TUE,Q-FW2-WED,Q-FW2-THU,Q-FW2-FRI,Q-FW2-SAT,Q-FW2-SUN
00:00:00,345.427,406.542,385.298,294.87,391.031,362.889,318.743
00:15:00,348.403,348.112,371.004,276.476,382.49,343.098,336.461
00:30:00,343.942,358.192,415.49,295.806,384.614,363.977,322.653
00:45:00,366.96,361.097,384.487,286.181,376.533,351.859,306.012
01:00:00,321.329,352.522,375.403,322.6,379.919,336.741,304.191
01:15:00,326.96,340.594,392.902,277.667,337.172,320.867,343.007
01:30:00,362.629,330.501,359.181,313.073,336.464,316.319,310.16
01:45:00,332.677,363.58,386.988,309.761,325.88,342.301,312.677
02:00:00,336.786,324.359,372.834,326.138,338.396,301.807,302.993
02:15:00,321.89,329.291,350.741,279.871,320.913,274.007,243.35
02:30:00,316.031,349.33,372.079,310.401,331.882,289.81,258.801
02:45:00,306.957,311.698,342.471,262.559,288.001,272.949,212.431
03:00:00,318.556,315.428,366.456,275.868,323.472,276.766,230.147
03:15:00,342.463,332.609,338.704,283.873,304.297,284.517,237.607
03:30:00,305.512,323.088,354.75,285.897,294.564,297.586,252.219
03:45:00,338.856,326.794,358.686,279.612,285.846,271.261,218.467
04:00:00,362.861,320.938,343.329,290.443,276.504,278.657,235.271
04:15:00,336.867,324.609,361.872,284.29,317.113,260.858,253.209
04:30:00,336.516,324.693,346.444,287.67,290.894,274.117,220.71
04:45:00,327.643,307.296,356.116,295.504,283.979,256.241,233.249
05:00:00,318.253,307.307,319.306,290.512,284.138,260.712,236.708
05:15:00,299.014,281.358,296.797,252.261,264.671,268.813,222.004
05:30:00,293.833,285.47,298.307,232.161,283.163,242.369,218.994
05:45:00,311.359,279.587,290.902,218.468,298.321,286.937,235.684
06:00:00,340.707,322.479,296.613,260.174,323.742,268.229,255.21
06:15:00,369.959,297.252,276.578,236.249,291.301,289.894,222.12
06:30:00,288.847,281.987,280.818,233.153,286.808,188.996,200.842
06:45:00,282.478,233.023,247.938,218.401,281.95,196.646,152.853
07:00:00,246.05,218.262,268.069,215.49,284.776,199.917,132.14
07:15:00,254.451,207.86,248.484,220.003,310.978,167.403,113.254
07:30:00,248.776,187.209,304.447,225.208,310.433,196.949,146.48
07:45:00,264.866,227.201,294.839,337.941,303.431,260.397,171.249
