,P-JW3-MON,P-JW3-TUE,P-JW3-WED,P-JW3-THU,P-JW3-FRI,P-JW3-SAT,P-JW3-SUN
00:00:00,2945.472,2780.089,2986.427,2734.038,2972.369,2953.527,2817.458
00:15:00,2861.467,2731.487,2864.429,2704.312,2974.052,2907.961,2772.178
00:30:00,2807.175,2680.746,2842.794,2619.314,2871.585,2852.779,2743.66
00:45:00,2778.808,2625.071,2788.536,2602.941,2864.257,2818.615,2688.913
01:00:00,2733.635,2572.112,2749.343,2579.849,2807.604,2764.06,2662.474
01:15:00,2751.574,2554.597,2663.214,2520.714,2766.959,2782.08,2630.625
01:30:00,2685.623,2506.229,2659.453,2521.857,2700.929,2694.056,2586.702
01:45:00,2705.851,2486.056,2653.419,2461.354,2712.244,2622.977,2556.267
02:00:00,2650.358,2450.052,2620.427,2478.847,2643.831,2618.307,2589.204
02:15:00,2630.601,2402.022,2608.32,2448.672,2637.679,2544.276,2502.135
02:30:00,2604.875,2417.165,2582.536,2448.551,2556.32,2563.919,2527.432
02:45:00,2597.639,2389.768,2546.972,2461.821,2598.707,2499.597,2497.078
03:00:00,2547.531,2370.558,2503.418,2390.641,2545.602,2496.903,2437.778
03:15:00,2546.615,2363.537,2511.36,2398.875,2519.373,2470.062,2471.701
03:30:00,2564.407,2347.642,2448.088,2384.385,2486.824,2474.375,2391.518
03:45:00,2506.512,2333.599,2487.103,2372.563,2453.378,2485.919,2398.625
04:00:00,2507.301,2352.541,2458.088,2372.196,2450.645,2444.471,2345.597
04:15:00,2504.819,2325.673,2492.319,2378.918,2458.474,2468.833,2381.905
04:30:00,2514.648,2338.371,2514.523,2392.223,2496.078,2455.732,2317.51
04:45:00,2574.72,2417.2,2539.461,2386.999,2522.316,2482.997,2384.659
05:00:00,2564.088,2447.239,2577.419,2423.358,2563.774,2476.998,2403.547
05:15:00,2629.996,2443.859,2566.749,2473.272,2599.329,2500.698,2335.046
05:30:00,2671.329,2516.066,2604.082,2545.308,2635.841,2535.669,2365.96
05:45:00,2713.637,2597.893,2660.859,2607.637,2711.13,2536.79,2368.633
06:00:00,2795.564,2686.138,2807.104,2681.74,2786.902,2558.032,2397.031
06:15:00,2828.996,2706.692,2833.428,2778.767,2764.926,2515.206,2374.622
06:30:00,2739.064,2698.033,2820.504,2717.612,2776.546,2453.689,2288.233
06:45:00,2704.646,2702.709,2825.986,2733.079,2751.417,2469.712,2254.307
07:00:00,2743.234,2682.869,2812.014,2753.751,2775.812,2434.522,2235.828
07:15:00,2783.938,2734.075,2826.361,2769.768,2831.751,2465.939,2242.464
07:30:00,2832.663,2754.956,2802.885,2700.263,2832.298,2445.034,2292.86
07:45:00,2901.835,2753.115,2843.19,2741.483,2868.731,2549.37,2318.798
08:00:00,2937.23,2793.99,2892.198,2775.844,2814.314,2587.433,2343.714
08:15:00,2873.197,2903.461,2930.689,2847.764,2968.819,2632.892,2461.72
08:30:00,2971.042,2926.03,3021.09,2886.602,3011.86,2699.246,2554.901
08:45:00,2996.163,2977.332,3099.269,2929.093,3129.406,2843.35,2584.501
09:00:00,2997.776,3054.519,3187.18,2982.146,3150.325,2885.703,2587.492
09:15:00,3041.752,3113.804,3241.514,3097.013,3170.913,2968.526,2587.298
09:30:00,3117.51,3189.991,3317.345,3021.808,3275.385,3137.343,2680.467
09:45:00,3225.259,3210.697,3373.91,2996.272,3309.074,3119.459,2687.039
10:00:00,3292.317,3264.29,3433.593,3108.418,3350.216,3125.567,2699.773
10:15:00,3345.968,3282.789,3454.331,3149.539,3389.274,3096.49,2808.122
10:30:00,3386.151,3281.442,3484.121,3164.855,3404.906,3179.115,2837.039
10:45:00,3407.607,3327.791,3491.181,3131.217,3347.974,3202.52,2854.521
11:00:00,3437.997,3411.19,3507.128,3183.175,3408.609,3274.823,2855.797
11:15:00,3441.075,3410.578,3477.94,3257.899,3398.339,3261.992,3008.986
11:30:00,3433.232,3477.963,3509.857,3317.082,3470.218,3261.977,2970.875
11:45:00,3466.27,3497.677,3458.396,3341.855,3463.403,3238.426,2984.208
12:00:00,3484.95,3490.47,3470.319,3384.776,3486.605,3117.421,3004.502
12:15:00,3474.125,3516.461,3533.835,3410.561,3413.986,3169.027,3048.524
12:30:00,3505.773,3589.682,3528.12,3472.41,3369.425,3233.422,3079.368
12:45:00,3558.214,3647.639,3566.331,3424.355,3390.042,3232.28,3108.744
13:00:00,3554.927,3687.288,3580.798,3463.172,3465.173,3292.489,3137.746
13:15:00,3543.283,3687.833,3543.41,3510.441,3459.942,3291.021,3093.794
13:30:00,3606.75,3715.811,3479.268,3528.145,3489.638,3268.646,3098.03
13:45:00,3622.484,3693.05,3406.889,3571.71,3485.937,3288.42,3105.737
14:00:00,3611.607,3685.46,3429.167,3526.682,3511.946,3244.891,3082.04
14:15:00,3617.347,3636.339,3487.657,3566.532,3505.599,3190.362,3093.625
14:30:00,3656.537,3676.066,3464.615,3536.143,3604.319,3154.875,3047.508
14:45:00,3639.516,3674.693,3468.41,3571.402,3597.121,3151.38,2996.524
15:00:00,3642.814,3639.553,3399.723,3548.709,3564.966,3156.502,2993.604
15:15:00,3695.308,3646.182,3349.954,3505.764,3548.99,3173.417,2993.023
15:30:00,3736.38,3668.554,3346.814,3524.229,3486.157,3070.543,2995.135
15:45:00,3705.222,3700.608,3334.528,3590.258,3531.645,3012.533,3009.868
16:00:00,3689.427,3628.752,3368.778,3552.431,3502.274,2991.067,3025.401
16:15:00,3613.09,3542.135,3304.899,3531.434,3462.354,3004.013,2955.814
16:30:00,3425.021,3435.443,3264.146,3425.016,3394.803,2968.499,3002.166
16:45:00,3341.253,3283.74,3161.501,3317.974,3313.45,2916.803,2961.354
17:00:00,3185.11,3203.983,3080.872,3172.982,3200.682,2868.676,2903.486
17:15:00,3132.456,3142.944,2980.578,3078.17,3083.456,2879.037,2845.757
17:30:00,3016.761,3123.693,2959.66,3103.094,2998.601,2887.829,2874.316
17:45:00,3088.047,3087.259,2969.875,3049.3,3002.352,2918.595,2900.57
18:00:00,3127.839,3182.382,3108.321,3142.321,3081.64,3013.201,2944.243
18:15:00,3241.553,3382.447,3222.533,3271.625,3245.906,3078.011,3015.022
18:30:00,3452.353,3612.019,3476.318,3475.708,3421.964,3268.02,3177.59
18:45:00,3602.484,3711.741,3619.381,3606.538,3451.64,3326.742,3236.87
19:00:00,3652.867,3740.615,3705.844,3617.182,3513.86,3325.743,3365.119
19:15:00,3693.687,3817.928,3678.041,3666.122,3464.917,3370.851,3415.903
19:30:00,3760.043,3804.115,3689.382,3698.084,3495.442,3400.651,3433.371
19:45:00,3754.882,3818.27,3618.223,3698.531,3518.509,3386.319,3491.903
20:00:00,3808.337,3861.564,3629.708,3671.726,3542.578,3376.095,3503.59
20:15:00,3822.051,3822.981,3579.349,3701.579,3509.259,3343.601,3566.676
20:30:00,3802.528,3905.743,3622.599,3728.771,3520.631,3363.288,3511.218
20:45:00,3717.972,3862.747,3527.467,3685.131,3604.823,3343.622,3570.34
21:00:00,3765.267,3889.718,3440.719,3705.577,3560.184,3340.258,3573.283
21:15:00,3636.378,3804.946,3382.858,3527.944,3496.52,3345.484,3535.887
21:30:00,3505.332,3772.676,3385.079,3536.934,3441.327,3339.986,3466.313
21:45:00,3503.877,3634.234,3302.578,3557.577,3397.834,3184.753,3457.842
22:00:00,3420.16,3473.675,3235.103,3482.618,3420.822,3194.559,3366.67
22:15:00,3344.98,3370.331,3211.936,3436.913,3311.428,3119.738,3325.688
22:30:00,3288.017,3363.585,3154.329,3333.261,3256.212,3010.912,3309.516
22:45:00,3146.584,3220.551,3029.357,3204.077,3150.631,2972.875,3216.546
23:00:00,3097.041,3234.783,2997.71,3184.532,3125.027,2929.87,3170.079
23:15:00,2983.529,3139.241,2939.05,3108.443,3150.12,2942.137,3094.296
23:30:00,2906.658,3113.713,2880.952,3088.061,3066.338,2898.527,3004.729
23:45:00,2831.575,3027.991,2850.522,3064.219,2989.131,2846.302,2967.9
