,Q-JW1-WED,Q-JW2-WED,Q-JW3-WED,Q-JW4-WED,F-JW1-WED,F-JW2-WED,F-JW3-WED,F-JW4-WED
74,4141.332,4235.764,4051.609,4277.197,3217.881,3261.965,3725.784,3449.87
75,4142.533,4317.106,3971.641,4151.122,3240.099,3397.85,3741.723,3672.126
76,4109.348,4281.495,3974.421,4221.307,3330.362,3343.64,3754.106,3650.462
77,4138.179,4212.788,3900.421,4159.208,3256.471,3356.346,3675.053,3587.305
78,4071.434,4208.496,3920.672,4069.088,3126.473,3359.146,3573.235,3666.482
79,4131.977,4258.029,3873.983,4041.584,3178.166,3332.15,3511.562,3560.246
80,4082.862,4199.338,3818.553,4099.37,3131.831,3319.909,3525.586,3670.653
81,3908.41,4050.689,3750.658,3901.978,3200.997,3316.783,3595.049,3599.668
82,4005.02,4117.948,3628.792,3948.168,2878.236,3277.592,3630.235,3556.768
83,3980.667,4119.545,3550.931,3943.462,2852.567,3265.467,3631.22,3431.849
84,3921.718,4033.102,3490.22,3884.532,2771.5,3201.712,3509.598,3416.992
85,3862.562,3902.734,3501.29,3799.112,2765.785,3175.076,3503.873,3255.979
86,3890.138,3514.295,3470.314,3855.48,2712.92,3053.021,3510.843,3268.606
87,3563.049,3483.412,3272.464,3687.114,2783.261,3003.393,3502.99,3178.9
88,3493.202,3524.647,3352.643,3503.608,2698.916,2943.199,3390.636,3158.085
89,3474.337,3508.499,3416.424,3516.259,2621.608,2888.255,3275.357,3119.126
90,3544.996,3475.594,3346.092,3475.006,2596.51,2850.037,3263.867,3075.996
91,3476.599,3490.408,3322.451,3476.617,2641.613,2940.719,3173.398,3130.308
92,3415.349,3475.786,3291.954,3444.078,2651.329,2682.359,3281.533,3039.452
93,3382.953,3399.085,3342.896,3505.356,2621.135,2649.486,3227.463,2993.811
94,3391.1,3332.86,3272.691,3193.03,2607.726,2688.776,3157.279,2989.104
95,3423.017,3246.037,3202.623,3215.239,2579.091,2619.774,3540.754,2987.697
