,Q-JW1-FRI,Q-JW2-FRI,Q-JW3-FRI,Q-JW4-FRI,F-JW1-FRI,F-JW2-FRI,F-JW3-FRI
84,3983.308,3719.212,3779.406,3805.522,2799.09,3035.502,3175.673
85,3895.793,3675.304,3807.71,3865.761,2781.023,3035.248,3196.463
86,3928.815,3639.351,3781.172,3715.014,2752.981,3055.67,3104.244
87,3960.176,3624.197,3771.241,3717.455,2731.741,3083.746,3115.085
88,3886.744,3499.576,3731.25,3582.492,2685.288,2883.14,3108.964
89,3844.625,3513.095,3434.476,3317.238,2681.893,2930.596,3051.662
90,3735.206,3500.845,3447.998,3223.941,2632.693,2846.607,3111.873
91,3457.296,3506.628,3338.979,3427.721,2634.92,2815.561,2999.913
92,3362.747,3451.753,3388.201,3384.419,2613.932,2864.353,2896.668
93,3264.322,3420.256,3441.062,3310.717,2609.106,2834.504,2845.819
94,3338.326,3411.551,3569.689,3266.135,2660.106,2844.357,2872.526
95,3383.903,3364.521,3470.942,3270.156,2606.565,2809.196,2840.846
