,Q-JW1-SUN,Q-JW2-SUN,Q-JW3-SUN,Q-JW4-SUN,F-JW1-SUN,F-JW2-SUN,F-JW3-SUN
10:00:00,365.694,274.192,307.179,86.56,369.524,355.417,333.139
10:15:00,440.963,313.224,349.879,92.529,352.837,367.0,343.318
10:30:00,424.456,310.473,358.271,97.48,335.091,408.143,369.448
10:45:00,426.118,294.198,365.919,129.699,360.133,412.406,382.841
11:00:00,421.589,279.144,338.382,63.051,332.278,369.107,354.767
11:15:00,434.824,316.958,385.016,140.032,396.467,431.64,410.114
11:30:00,471.308,312.816,365.031,205.507,414.712,454.966,405.244
11:45:00,456.674,362.657,358.759,210.349,376.646,453.297,411.668
12:00:00,465.338,354.281,352.327,180.428,379.037,436.703,420.978
12:15:00,461.91,344.332,353.42,185.523,395.962,442.233,447.713
12:30:00,459.807,345.276,368.799,199.774,372.463,432.033,439.187
12:45:00,468.972,350.243,395.71,193.833,381.923,445.493,441.761
13:00:00,478.273,351.768,395.177,170.831,408.771,457.914,432.232
13:15:00,470.996,375.0,383.549,168.752,424.084,448.17,423.398
13:30:00,475.304,349.692,362.244,193.702,405.501,443.536,428.687
13:45:00,499.781,359.107,366.836,186.474,386.626,442.021,449.102
14:00:00,507.554,361.357,369.994,201.061,385.048,433.586,423.304
14:15:00,490.132,352.42,374.564,205.312,375.658,433.909,410.448
14:30:00,472.897,368.594,364.911,196.179,366.213,456.002,414.497
14:45:00,488.399,372.342,345.551,212.509,370.551,451.987,404.318
15:00:00,468.193,375.771,336.554,208.534,379.007,461.501,415.417
15:15:00,467.522,355.614,335.978,188.263,398.091,433.336,414.85
15:30:00,471.759,367.407,386.397,204.397,404.037,429.076,402.008
15:45:00,476.061,337.979,394.484,215.358,381.112,413.388,417.607
16:00:00,488.041,327.326,408.731,188.011,367.831,416.189,420.547
16:15:00,474.592,346.871,385.331,186.881,371.954,407.747,414.482
16:30:00,466.902,347.049,405.159,183.947,370.247,410.621,398.591
16:45:00,465.122,327.248,389.534,170.697,340.352,402.272,393.482
17:00:00,442.412,315.858,378.444,173.186,354.853,403.807,389.44
17:15:00,430.997,302.521,385.364,177.066,354.881,401.751,392.384
17:30:00,430.988,333.328,385.769,193.858,331.008,410.497,391.926
17:45:00,422.866,317.208,365.632,68.766,349.552,375.659,386.306
18:00:00,398.358,318.019,359.626,73.844,325.186,344.73,377.796
18:15:00,444.78,329.952,349.276,85.342,325.973,337.199,400.619
18:30:00,477.471,376.908,401.939,123.396,337.073,373.709,441.239
18:45:00,454.472,420.359,375.71,170.608,377.49,425.819,485.21
19:00:00,460.492,445.477,397.909,182.753,367.258,416.958,456.851
19:15:00,457.816,420.409,392.612,148.544,375.638,410.471,452.71
19:30:00,448.512,418.549,400.103,154.13,385.231,388.914,428.931
19:45:00,462.004,443.526,402.796,161.981,369.619,412.747,445.708
20:00:00,473.428,410.326,385.712,155.73,385.814,411.757,436.666
20:15:00,464.427,429.347,406.206,156.61,370.457,417.483,458.41
20:30:00,476.657,414.279,381.573,133.323,385.566,421.027,433.17
20:45:00,467.168,440.458,417.39,150.078,319.409,416.158,425.262
21:00:00,450.621,417.621,433.113,165.049,344.842,427.9,400.37
21:15:00,431.254,415.667,398.143,154.566,343.046,461.944,434.918
21:30:00,459.503,389.22,343.352,147.353,370.9,440.941,439.25
21:45:00,451.38,383.836,355.394,76.352,364.591,434.291,412.84
22:00:00,456.223,299.94,328.891,100.063,343.653,419.45,434.463
22:15:00,450.148,276.89,344.738,83.997,364.409,428.261,409.497
22:30:00,420.122,276.558,326.581,72.274,338.254,429.388,428.061
22:45:00,429.668,257.098,325.916,93.747,346.834,433.466,431.024
23:00:00,457.388,253.244,335.619,67.472,380.662,428.192,436.942
23:15:00,430.252,247.542,298.669,81.198,350.116,415.283,395.254
23:30:00,448.362,282.713,299.599,91.14,358.351,397.994,352.923
23:45:00,426.859,276.712,306.109,62.672,366.649,384.638,349.737
