,P-FW1-MON,P-FW1-TUE,P-FW1-WED,P-FW1-THU,P-FW1-FRI,P-FW1-SAT,P-FW1-SUN
16:30:00,2404.662,2410.08,2439.501,2430.575,1847.509,2989.792,2867.875
16:45:00,2288.484,2370.242,2402.851,2414.736,1875.47,3029.244,2816.673
17:00:00,2267.56,2355.607,2328.461,2380.13,1881.291,3001.833,2799.982
17:15:00,2292.516,2364.474,2310.494,2405.359,1880.436,2987.313,2768.042
17:30:00,2335.531,2374.502,2291.663,2423.63,1871.397,2979.954,2729.869
17:45:00,2292.771,2312.051,2305.059,2414.303,2358.272,3000.292,2771.734
18:00:00,2388.229,2393.204,2399.149,2492.76,2719.824,3052.085,2772.551
18:15:00,2454.484,2468.372,2531.003,2566.202,2778.617,3103.243,2865.314
18:30:00,2601.865,2583.86,2653.428,2637.155,2948.353,3215.977,3016.967
18:45:00,2663.207,2721.122,2730.835,2752.637,3136.843,3310.302,3221.398
19:00:00,2693.625,2738.362,2763.099,2760.796,3142.473,3460.747,3217.976
19:15:00,2711.53,2792.467,2784.051,2776.337,3161.76,3461.518,3239.712
19:30:00,2744.268,2824.291,2809.537,2772.392,3216.077,3537.615,3296.946
19:45:00,2757.867,2852.845,2819.259,2850.812,3230.007,3540.794,3252.973
20:00:00,2814.673,2785.952,2775.67,2788.862,3193.094,3487.051,3275.081
20:15:00,2786.532,2782.534,2725.653,2749.809,3155.207,3463.373,3296.071
20:30:00,2793.06,2786.887,2700.153,2753.094,3166.428,3481.808,3313.951
20:45:00,2774.457,2764.127,2628.175,2795.43,3184.365,3382.047,3244.704
21:00:00,2773.42,2665.541,2582.463,2779.773,3201.699,3359.768,3266.268
21:15:00,2714.451,2621.762,2585.655,2692.652,3209.688,3306.115,3246.941
21:30:00,2710.806,2591.51,2570.294,2711.487,3174.165,3348.006,3229.489
21:45:00,2620.721,2603.164,2530.046,2684.279,3143.925,3292.898,3204.994
22:00:00,2602.811,2562.581,2557.732,2609.157,3181.172,3268.811,3171.766
22:15:00,2538.631,2505.413,2465.487,2644.09,3134.07,3223.03,3186.706
22:30:00,2479.627,2429.223,2450.175,2546.169,3064.247,3201.391,3133.171
22:45:00,2407.317,2348.684,2366.075,2498.756,3019.87,3127.941,3070.493
23:00:00,2331.64,2311.291,2327.406,2456.079,2954.993,3118.656,3082.426
23:15:00,2260.954,2229.916,2285.712,2381.006,2884.458,3094.532,2987.107
23:30:00,2216.069,2205.329,2241.373,2363.108,2869.913,3012.572,2968.547
23:45:00,2161.383,2185.684,2212.256,2298.456,2807.905,2932.769,2945.897
