,Q-JW1-MON,Q-JW1-TUE,Q-JW1-WED,Q-JW1-THU,Q-JW1-FRI,Q-JW1-SAT,Q-JW1-SUN,Q-JW2-MON,Q-JW2-TUE,Q-JW2-WED,Q-JW2-THU,Q-JW2-FRI,Q-JW2-SAT,Q-JW2-SUN,Q-JW3-MON,Q-JW3-TUE,Q-JW3-WED,Q-JW3-THU,Q-JW3-FRI,Q-JW3-SAT,Q-JW3-SUN,Q-JW4-MON,Q-JW4-TUE,Q-JW4-WED,Q-JW4-THU,Q-JW4-FRI,Q-JW4-SAT,Q-JW4-SUN,Q-FW1-MON,Q-FW1-TUE,Q-FW1-WED,Q-FW1-THU,Q-FW1-FRI,Q-FW1-SAT,Q-FW1-SUN,Q-FW2-MON,Q-FW2-TUE,Q-FW2-WED,Q-FW2-THU,Q-FW2-FRI,Q-FW2-SAT,Q-FW2-SUN,Q-FW3-MON,Q-FW3-TUE,Q-FW3-WED,Q-FW3-THU,Q-FW3-FRI,Q-FW3-SAT,Q-FW3-SUN
02:30:00,3219.031,3292.607,3295.76,3221.884,3055.775,3114.223,3181.623,3264.64,2950.238,2888.975,3038.35,3012.449,3135.694,2881.144,2890.19,3046.791,3209.24,3078.051,3257.968,3042.012,3100.968,3062.386,3085.176,3038.919,2896.219,2992.348,3155.724,2441.874,2353.332,2194.476,2390.089,2392.417,2531.125,2529.411,2690.559,2557.673,2561.98,2764.427,2577.237,2595.051,2549.897,2442.898,2625.656,1623.1,2724.773,2612.329,2576.255,2537.943,2669.581
02:45:00,3128.26,3344.591,3329.64,3127.457,2991.988,3132.448,3247.753,3246.252,2957.287,2832.441,3025.894,2964.662,3176.474,2906.12,2844.703,2929.631,3195.58,3099.878,3190.079,3067.603,3065.965,3089.321,3042.702,2968.506,2931.204,3017.636,3106.298,2452.208,2281.102,2214.019,2405.311,2401.423,2535.865,2520.737,2649.928,2607.453,2547.21,2749.836,2525.77,2640.595,2495.733,2362.182,2617.176,2629.941,2723.605,2567.264,2582.543,2577.913,2532.96
03:00:00,3175.443,3262.054,3249.858,3165.45,3027.947,3093.602,3164.616,3177.816,2991.205,2814.185,3038.839,3011.859,2968.595,2902.575,2830.474,3020.118,3070.667,3006.996,3173.069,2981.876,2999.394,3059.918,3033.409,3042.571,2964.254,3047.488,3070.261,2376.238,2363.838,2139.38,2387.988,2384.244,2457.307,2513.148,2582.579,2621.486,2509.226,2700.24,2492.974,2605.91,2506.461,2332.416,2661.76,2519.506,2686.594,2593.908,2556.215,2509.383,2528.546
03:15:00,3049.672,3205.337,3322.291,3096.895,2964.493,3089.24,3167.361,3183.512,2987.566,2806.077,3021.461,2960.06,2930.791,2818.969,2853.51,2952.338,3064.878,3082.333,3000.383,2934.261,3051.385,3017.119,2967.586,2962.094,3016.053,2946.651,3150.629,2388.281,2190.477,2132.34,2398.658,2357.197,2473.498,2520.11,2541.524,2621.174,2539.654,2712.353,2524.91,2610.063,2508.316,2465.826,2584.886,2468.401,2655.378,2527.266,2539.038,2514.495,2436.711
03:30:00,3049.23,3205.4,3138.405,3153.248,2972.628,3012.709,3155.076,3081.56,2937.151,2819.819,2988.909,3028.508,2963.902,2950.444,2850.909,2941.603,3146.145,3071.174,3096.24,2953.991,2991.507,3072.444,3016.941,2989.495,2976.271,2962.621,3073.206,2357.657,2286.599,2052.314,2387.401,2357.438,2475.405,2467.648,2507.139,2576.54,2402.615,2715.813,2433.422,2462.723,2492.021,2364.426,2524.666,2374.124,2600.668,2493.461,2583.41,2471.175,2405.959
03:45:00,3054.446,3206.027,3149.666,3099.813,3014.213,3014.301,3112.676,3135.477,2935.769,2816.507,2955.954,2960.115,2884.367,2945.82,2902.713,2946.286,3073.506,2976.334,2927.221,3015.34,2941.633,3002.334,2960.354,2969.881,2969.955,2996.219,3158.553,2340.686,2189.685,2084.867,2289.015,2301.919,2436.274,2459.07,2516.42,2505.715,2495.293,2645.138,2491.238,2520.36,2403.687,2390.111,2575.499,2548.964,2628.691,2531.467,2499.682,2516.59,2399.495
04:00:00,2967.079,3139.006,3126.671,3092.507,2983.208,2927.529,3136.335,3098.31,2917.265,2781.746,2975.725,2994.352,2954.492,2918.355,2875.148,2924.655,3040.856,2985.632,2993.203,3043.184,3004.741,2979.39,2959.064,2868.919,2916.654,2966.822,3073.49,2351.669,2264.499,2138.185,2281.077,2294.441,2486.961,2460.153,2496.694,2542.539,2422.586,2606.801,2471.813,2513.551,2456.059,2394.493,2557.349,2514.262,2619.174,2482.033,2530.496,2425.163,2370.987
04:15:00,3055.332,3209.169,3134.809,3182.966,2983.582,3032.832,3087.462,3219.742,2966.167,2841.538,2980.691,2945.384,2884.162,2852.406,2991.815,2963.377,3148.623,3079.259,3041.552,2954.298,2961.294,2961.494,2997.938,2878.027,2985.741,2977.327,3138.072,2321.875,2227.63,2067.145,2285.063,2271.929,2522.018,2464.741,2534.574,2535.916,2451.633,2674.886,2507.115,2486.862,2468.191,2390.934,2580.667,2536.167,2624.415,2550.964,2514.322,2488.172,2377.322
04:30:00,3008.512,3249.425,3221.944,3179.045,3105.301,2977.18,3033.606,3223.021,2912.252,2814.678,3008.73,2970.105,2892.998,2872.047,2888.022,2866.089,3116.883,2979.969,2974.464,3027.529,2949.312,3076.271,3038.135,2928.005,3027.62,3012.297,2991.074,2358.562,2189.041,2117.369,2235.977,2296.717,2456.944,2457.776,2544.913,2461.343,2384.422,2650.412,2521.032,2514.039,2398.386,2347.655,2585.067,2521.015,2599.775,2477.434,2452.498,2436.432,2347.892
04:45:00,3203.546,3261.589,3144.231,3167.684,3059.49,3039.664,3052.679,3151.165,2915.809,2749.256,3043.2,2942.303,2932.153,2819.302,2871.813,2964.234,3133.666,2991.972,2910.586,2946.142,2920.601,3043.955,3038.216,2893.388,2996.13,3084.076,3110.176,2269.16,2193.651,2020.034,2337.593,2318.355,2403.751,2458.311,2598.805,2555.546,2436.023,2548.076,2577.431,2573.924,2384.712,2370.868,2494.584,2510.312,2541.355,2466.17,2526.657,2445.044,2369.188
05:00:00,3259.67,3342.839,3191.727,3149.377,3123.356,2948.182,3040.337,3292.844,2977.263,2853.205,3014.527,2993.949,2916.116,2822.363,2852.527,2933.229,3145.673,3055.399,2947.542,2982.138,3003.459,3077.765,3158.754,2956.388,3137.948,3128.308,3105.052,2262.719,2339.619,2193.259,2421.785,2392.312,2519.813,2454.196,2519.254,2537.408,2410.187,2641.441,2575.213,2608.909,2383.345,2334.666,2607.441,2587.66,2794.173,2553.297,2559.875,2497.224,2306.984
05:15:00,3272.713,3374.324,3378.112,3287.444,3127.755,3030.144,3018.417,3208.112,3105.481,2816.754,3161.985,3128.348,2874.799,2936.984,3013.457,3079.179,3258.363,3169.2,3172.675,3033.189,2929.832,3104.857,3097.425,3035.696,3116.203,3137.168,3128.441,2181.421,2442.4,2156.396,2354.824,2381.741,2616.742,2437.785,2540.669,2500.549,2406.892,2657.25,2594.431,2565.652,2431.732,2317.416,2677.657,2704.108,2743.021,2638.201,2690.655,2489.696,2386.995
05:30:00,3395.66,3364.228,3380.299,3183.993,3276.116,2993.196,3019.357,3279.135,3067.194,2796.44,3133.283,3203.033,2888.394,2890.66,3005.05,3162.618,3234.919,3072.103,3064.899,3021.294,2941.786,3132.419,3155.089,3152.579,3117.978,3235.242,3190.286,2188.491,2418.888,2333.164,2370.329,2389.228,2520.699,2442.327,2466.851,2510.113,2445.902,2616.893,2531.447,2770.218,2388.539,2388.546,2698.536,2708.379,2846.635,2586.627,2695.788,2486.636,2337.309
05:45:00,3374.555,3377.392,3356.446,3224.488,3247.876,3016.697,3028.734,3332.833,3111.05,2866.841,3145.987,3228.606,2929.48,2859.017,2975.78,3134.992,3227.256,3138.212,3192.704,3019.622,2941.961,3196.473,3110.746,3120.079,3206.702,3280.381,3313.38,2132.844,2375.821,2267.604,2386.036,2467.327,2621.536,2480.295,2503.861,2517.004,2431.682,2692.573,2530.876,2821.637,2500.965,2426.594,2672.153,2724.602,2597.73,2586.802,2677.573,2485.577,2425.746
06:00:00,3364.908,3397.073,3269.224,3206.744,3305.744,2947.816,2966.744,3331.693,3069.443,2982.447,3222.616,3183.558,2869.898,2841.21,3101.933,3128.072,3240.343,3160.65,3275.474,3066.112,3004.575,3257.835,3036.27,3113.475,3200.228,3267.612,3328.709,2124.278,2553.604,2367.316,2352.741,2446.452,2675.96,2467.93,2410.448,2551.049,2483.546,2725.932,2570.447,2848.79,2548.693,2395.83,2651.75,2783.389,2820.854,2682.436,2613.504,2444.505,2347.332
06:15:00,3224.403,3244.717,3226.0,3094.57,3069.815,2803.703,2803.847,3138.528,2973.669,2869.098,3119.446,2996.545,2698.048,3003.226,2924.138,3010.203,3217.931,2998.4,3130.834,3175.804,2837.18,3163.627,3149.699,3016.929,3174.649,3004.283,3314.769,2096.095,2370.618,2272.014,2277.85,2420.175,2581.207,2389.288,2395.617,2384.673,2326.131,2572.684,2595.801,2740.186,2363.643,2265.826,2701.89,2596.873,2812.504,2642.207,2534.956,2255.701,2129.262
06:30:00,3066.961,3112.031,2975.733,2978.877,2968.424,2746.803,2632.545,2982.162,2881.596,2641.059,2827.875,2948.716,2394.581,2675.844,2821.368,2843.855,3011.523,2871.733,2790.287,2749.635,2469.455,2817.246,2863.245,2747.199,2874.455,2776.527,3018.499,1832.651,2227.155,2108.946,2128.039,2199.436,1139.194,2154.939,2245.153,2311.331,2179.825,2433.846,2374.459,2597.78,2080.087,2113.829,2486.034,2616.498,2745.374,2482.696,2429.224,2052.918,1958.676
