,Q-JW4-MON,Q-JW4-TUE,Q-JW4-WED,Q-JW4-THU,Q-JW4-FRI,Q-JW4-SAT,Q-JW4-SUN
00:00:00,3330.095,3152.452,3218.206,3166.526,3212.099,3245.725,2563.581
00:15:00,3309.281,3227.977,3083.264,3102.434,3177.128,3263.104,2536.19
00:30:00,3294.443,3224.17,3037.807,3123.106,3152.73,3275.031,2592.413
00:45:00,3278.965,3157.821,3041.592,3114.351,3202.27,3192.917,2417.136
01:00:00,3252.289,3079.304,3080.929,3072.861,3180.988,2923.48,2485.576
01:15:00,3228.217,3060.162,3042.234,3164.043,3235.652,2917.143,2453.528
01:30:00,3158.412,3094.662,2959.375,2966.536,3151.225,2299.103,2462.97
01:45:00,3118.738,3120.907,2974.514,3004.57,3125.36,2258.332,2457.386
02:00:00,3098.059,3056.725,2967.737,2947.832,3040.768,2308.883,2466.442
02:15:00,3105.884,3146.385,2979.173,3021.567,3027.555,3368.795,2428.004
02:30:00,3062.386,3085.176,3038.919,2896.219,2992.348,3155.724,2441.874
02:45:00,3089.321,3042.702,2968.506,2931.204,3017.636,3106.298,2452.208
03:00:00,3059.918,3033.409,3042.571,2964.254,3047.488,3070.261,2376.238
03:15:00,3017.119,2967.586,2962.094,3016.053,2946.651,3150.629,2388.281
03:30:00,3072.444,3016.941,2989.495,2976.271,2962.621,3073.206,2357.657
03:45:00,3002.334,2960.354,2969.881,2969.955,2996.219,3158.553,2340.686
04:00:00,2979.39,2959.064,2868.919,2916.654,2966.822,3073.49,2351.669
04:15:00,2961.494,2997.938,2878.027,2985.741,2977.327,3138.072,2321.875
04:30:00,3076.271,3038.135,2928.005,3027.62,3012.297,2991.074,2358.562
04:45:00,3043.955,3038.216,2893.388,2996.13,3084.076,3110.176,2269.16
05:00:00,3077.765,3158.754,2956.388,3137.948,3128.308,3105.052,2262.719
05:15:00,3104.857,3097.425,3035.696,3116.203,3137.168,3128.441,2181.421
05:30:00,3132.419,3155.089,3152.579,3117.978,3235.242,3190.286,2188.491
05:45:00,3196.473,3110.746,3120.079,3206.702,3280.381,3313.38,2132.844
06:00:00,3257.835,3036.27,3113.475,3200.228,3267.612,3328.709,2124.278
06:15:00,3163.627,3149.699,3016.929,3174.649,3004.283,3314.769,2096.095
06:30:00,2817.246,2863.245,2747.199,2874.455,2776.527,3018.499,1832.651
06:45:00,2794.146,2758.774,2737.512,2777.157,2701.848,2946.128,1911.433
07:00:00,2787.977,2731.966,2813.92,2807.917,2912.934,3812.362,1855.074
07:15:00,2839.833,2771.924,2761.956,2746.892,2903.143,2096.676,2003.258
07:30:00,2968.685,3083.01,2897.317,3151.398,2982.721,2151.899,1963.461
07:45:00,3035.311,3153.691,2876.035,3160.657,3003.94,2167.355,1965.899
08:00:00,3040.386,3317.56,3385.715,3244.654,3412.453,2278.46,2138.866
08:15:00,3259.01,3253.278,3396.386,3288.274,3519.333,2292.913,2119.193
08:30:00,3327.064,3410.093,3480.654,3654.044,3653.339,2229.248,2268.792
08:45:00,3398.482,3728.677,3478.965,3670.7,3791.134,2312.901,2228.673
09:00:00,3444.806,3900.215,3485.801,3868.242,3829.074,2548.35,2280.085
09:15:00,3789.031,3889.782,3649.799,3847.412,3890.855,2598.07,2233.759
09:30:00,3841.397,3926.634,3938.26,3870.82,3860.209,2583.207,2411.562
09:45:00,3892.694,3939.359,3968.311,3881.022,3985.577,2667.983,2423.927
10:00:00,3848.141,3874.855,4000.846,3804.64,3952.284,2678.955,2424.392
10:15:00,3974.484,4014.693,3960.013,4021.955,4046.933,2705.289,2482.905
10:30:00,3971.429,4063.858,4001.212,4056.797,4029.068,2706.793,2478.071
10:45:00,3934.143,4061.593,3982.953,4174.231,4026.178,2863.722,2484.78
11:00:00,3938.23,3919.156,4044.253,4190.241,4101.505,2775.816,2483.633
11:15:00,4163.039,3960.834,4011.429,4161.856,4041.524,2812.554,2801.987
11:30:00,4126.617,3977.161,3952.883,4175.568499999999,4033.096,2844.333,2802.873
11:45:00,4117.966,3977.294,3941.103,4189.281,3979.015,2785.55,2854.733
12:00:00,4187.392,3987.049,3910.447,4268.901,4069.214,2795.596,2774.418
12:15:00,4160.34,4119.864,4180.919,4170.017,4032.615,2802.119,2857.29
12:30:00,4111.693,4054.124,4238.365,4168.772,3991.072,2791.49,2808.869
12:45:00,4106.433,4113.749,4215.477,4166.32,3941.622,2762.534,2709.655
13:00:00,4132.642,3985.981,4269.365,4250.729,4105.874,2814.698,2783.071
13:15:00,4145.119,4158.927,4307.528,4244.071,4115.529,2811.055,2733.193
13:30:00,4174.288,4162.825,4310.398,4211.661,4146.617,2857.609,2713.006
13:45:00,4086.605,4140.328,4353.095,4343.848,4182.234,2841.23,2805.68
14:00:00,4089.677,4061.836,4345.004,4302.143,4198.945,2817.14,2825.23
14:15:00,4081.506,4121.749,4367.617,4309.747,4149.646,2872.108,2762.444
14:30:00,4137.023,4140.603,4362.337,4314.472,4153.409,2907.035,2726.431
14:45:00,4080.255,4056.195,4290.565,4263.971,4152.932,2876.374,2826.831
15:00:00,4036.626,4069.083,4250.312,4190.927,4200.981,2838.279,2761.33
15:15:00,4096.057,4039.24,4347.326,4320.384,4231.104,2826.931,2779.2
15:30:00,4048.361,4144.147,4235.816,4313.303,4247.762,2844.39,2778.708
15:45:00,4055.985,4071.654,4329.42,4367.174,4093.39,2836.534,2739.961
16:00:00,4102.161,4135.75,4234.307,4323.608,4074.63,2906.73,2814.115
16:15:00,4036.143,4037.102,4221.083,3981.249,4050.008,2893.311,2780.597
16:30:00,4044.874,4051.053,4178.629,3883.347,4057.336,2819.125,2753.109
16:45:00,3958.999,4001.606,3875.521,3875.284,3959.66,2795.98,2750.497
17:00:00,3912.535,3865.331,3691.121,3756.469,3911.064,2819.752,2707.835
17:15:00,3922.272,3884.682,3660.604,3639.634,3961.664,2836.948,2756.547
17:30:00,3768.092,3867.21,3634.829,3624.354,3933.327,2855.338,2337.86
17:45:00,3751.106,3772.304,3521.447,3547.149,3812.856,2705.581,2337.359
18:00:00,3890.977,3816.878,3656.169,3590.527,3872.954,2735.386,2443.5
18:15:00,3957.913,3854.038,3755.462,3824.926,3996.247,2820.048,2592.378
