,P-JW1-TUE,P-JW2-TUE,P-JW3-TUE,P-JW4-TUE,P-FW1-TUE,P-FW2-TUE,P-FW3-TUE,P-FW4-TUE
70,14399.09,14073.091,14298.412,14264.165,12047.223,11203.781,12588.367,12847.869
71,14530.039,14314.761,14565.765,14359.567,12115.089,11169.566,12507.305,13027.391
72,15233.451,14693.298,14871.645,14955.2,12373.032,11620.241,12673.055,13132.863
73,16335.118,15614.398,15945.693,15460.528,12648.517,11995.675,13043.012,13585.574
74,17127.36,16333.522,16702.479,16625.553,13584.661,12694.852,13976.526,14255.899
75,17418.888,16593.805,17158.175,17139.499,13955.444,13199.603,14435.894,14931.001
76,17553.198,16805.135,17307.567,17071.64,14168.669,13220.01,14905.449,15006.55
77,17388.733,16649.611,17200.508,17068.279,14031.888,13320.741,15003.852,15186.348
78,17435.871,16790.482,17153.533,17355.271,14266.662,13496.242,14902.335,15275.859
79,17580.408,16653.059,17143.202,17445.954,14323.841,13532.545,14932.972,15326.878
80,17593.007,16626.063,17263.735,17323.374,14075.532,13456.148,15043.263,15161.509
81,17595.77,16651.36,17153.456,17095.726,14036.063,13422.846,15033.71,15026.493
82,17391.976,16402.198,16940.264,16934.078,13827.957,13322.255,14922.07,14910.857
83,17194.331,16220.7,16909.514,16850.875,13254.682,13390.958,14748.671,14951.73
84,16834.746,15921.133,16731.68,16503.472,13313.928,13273.787,14447.584,14796.97
85,16636.791,15553.601,16464.893,16156.399,13081.039,13310.979,14238.547,14620.389
86,16283.296,15255.31,16199.266,15978.001,13009.306,13233.032,13938.896,13901.644
87,15978.22,14925.473,15661.314,15645.455,12706.727,12976.125,13652.209,13841.999
88,15680.462,14638.251,15343.057,15282.996,12445.194,12898.793,13485.815,13666.583
89,15432.809,14299.263,15035.634,14924.868,12201.146,12802.236,13437.518,13456.938
90,14866.77,13830.603,14813.962,14483.272,11897.492,12562.985,12975.442,13031.604
91,14753.519,13588.666,14452.561,14388.945,11688.98,12540.001,12788.625,12701.737
92,14406.334,13173.093,14145.458,13972.417,11513.294,12360.221,12524.52,12570.875
93,14054.312,13124.948,13868.111,13738.413,11372.238,12031.762,12433.664,12410.087
94,13818.953,12817.697,13484.459,13479.356,11126.1,11995.597,12087.533,12136.983
95,13648.047,12583.267,13340.789,13174.619,10789.544,11837.562,11988.365,11926.247
