durations
20
20
20
20
20
20
20
20
20
40
30
70
30
20
30
150
60
20
50
30
150
50
20
20
20
30
90
20
50
30
20
20
130
20
90
20
120
20
70
20
70
60
90
30
20
120
20
70
70
20
20
20
30
20
50
60
70
150
20
90
20
40
150
30
40
70
40
20
70
20
20
150
40
150
20
60
30
40
70
40
150
30
20
20
20
30
100
40
30
20
20
120
60
50
110
60
40
20
60
50
40
80
20
40
150
20
30
40
20
20
20
90
20
30
20
150
20
20
20
50
150
50
90
120
40
50
20
50
20
20
90
20
20
70
30
20
40
90
90
60
50
100
30
30
40
20
100
20
110
150
20
90
70
80
50
20
30
20
120
40
50
90
120
30
20
130
20
60
30
60
80
30
100
30
20
20
40
20
40
50
20
20
20
40
40
20
80
70
50
20
70
60
20
50
150
70
50
30
20
20
20
20
120
110
150
90
60
20
20
20
150
40
50
50
50
30
40
20
150
20
30
40
60
70
30
50
30
20
130
40
20
20
50
60
70
20
50
20
120
110
30
40
20
30
70
110
40
20
70
90
150
30
20
140
150
40
50
50
120
20
20
50
20
70
120
20
30
30
30
70
150
30
30
100
80
20
140
40
90
40
20
50
40
150
60
20
100
50
100
70
90
90
30
80
20
150
80
30
40
50
40
70
150
70
20
20
100
60
20
30
50
20
40
20
20
30
150
50
30
80
60
20
70
30
20
50
50
50
130
40
40
50
150
30
30
40
50
50
20
100
40
20
120
40
120
30
120
150
20
50
30
140
130
150
20
150
40
110
20
40
80
50
150
30
40
20
80
30
30
80
80
150
150
40
40
150
50
20
130
20
30
150
20
150
50
50
40
110
50
150
50
140
20
30
60
40
20
100
20
150
20
50
90
40
90
100
30
120
20
90
30
20
120
20
20
70
20
150
40
40
50
20
50
110
70
150
30
20
150
80
20
150
60
120
60
150
50
60
70
40
50
60
30
50
40
30
60
30
40
30
20
100
30
50
50
20
30
70
90
20
130
20
20
60
20
30
20
70
60
20
20
140
50
20
150
20
40
30
90
80
20
20
20
30
150
50
30
130
30
20
70
20
20
70
30
30
70
20
80
50
30
80
70
20
130
40
150
50
60
40
30
20
20
40
20
20
20
110
20
70
20
50
20
30
60
150
100
40
40
150
100
40
20
50
20
120
50
30
30
30
110
30
40
30
120
110
30
30
30
150
70
20
20
30
90
20
20
150
20
150
50
50
30
20
50
130
100
130
20
20
20
40
50
110
50
80
20
20
40
20
20
30
120
30
80
20
20
20
150
20
90
80
20
30
80
110
20
40
40
150
140
70
20
30
130
60
20
30
20
80
150
40
40
20
20
110
80
150
40
60
60
20
30
30
60
40
30
30
30
90
20
20
20
20
30
150
20
40
20
50
150
120
20
20
150
80
50
30
20
20
110
20
120
20
20
50
20
70
30
70
90
20
70
30
140
40
50
70
50
50
20
20
40
150
30
20
150
50
30
20
20
50
40
20
130
120
20
40
150
30
100
30
40
30
40
20
40
60
20
20
60
150
30
60
20
50
60
40
20
120
120
150
120
20
70
150
40
20
20
20
70
30
120
70
50
20
20
90
70
30
20
20
20
40
70
20
120
110
20
40
40
20
20
90
150
50
90
20
30
50
90
140
20
30
100
20
20
140
50
90
30
40
90
20
